g,LeveleV
16,0.000000,
14,0.671957,
18,1.038852,
16,1.044828,
12,1.066904,
14,1.134093,
20,1.207792,
10,1.326104,
22,1.403788,
18,1.429607,
20,1.449347,
16,1.529846,
14,1.530529,
12,1.622077,
10,1.623501,
14,1.869821,
18,1.875919,
16,1.876632,
12,1.957975,
16,1.965804,
16,2.002867,
18,2.038053,
20,2.068493,
18,2.071754,
10,2.072969,
14,2.074993,
16,2.093136,
12,2.099974,
14,2.115090,
20,2.217280,
18,2.273597,
12,2.292618,
14,2.301754,
16,2.302669,
16,2.312495,
18,2.323190,
16,2.325475,
10,2.325679,
12,2.333538,
14,2.338118,
14,2.339259,
16,2.390036,
12,2.487217,
16,2.488969,
20,2.495089,
16,2.500410,
22,2.505795,
14,2.509603,
14,2.511705,
18,2.518849,
12,2.540858,
14,2.540904,
18,2.541519,
18,2.555787,
20,2.582737,
12,2.584963,
14,2.609224,
16,2.612250,
20,2.630586,
10,2.649935,
18,2.650601,
20,2.663803,
22,2.665027,
18,2.672110,
14,2.676185,
16,2.688337,
14,2.725256,
16,2.729404,
14,2.730653,
14,2.747225,
10,2.747227,
16,2.755839,
14,2.776363,
12,2.778875,
14,2.778987,
18,2.786779,
16,2.789721,
12,2.791949,
12,2.801241,
20,2.835091,
14,2.848932,
22,2.897103,
16,2.898165,
12,2.898665,
16,2.906844,
18,2.913451,
14,2.924206,
16,2.953123,
16,2.955156,
10,2.958408,
18,2.961454,
14,2.968518,
12,2.968945,
14,2.970127,
14,2.976393,
14,2.977384,
16,2.989512,
18,2.989900,
12,2.993129,
18,3.008348,
10,3.019715,
16,3.019995,
18,3.020356,
16,3.022352,
20,3.025734,
14,3.049360,
16,3.057550,
20,3.059713,
22,3.064188,
14,3.067434,
14,3.069865,
18,3.074260,
12,3.132033,
16,3.133407,
22,3.167185,
20,3.167581,
16,3.172933,
12,3.176036,
18,3.181484,
10,3.199417,
14,3.214992,
16,3.219583,
22,3.221153,
16,3.226505,
10,3.228547,
14,3.239362,
18,3.241390,
16,3.248186,
14,3.251580,
14,3.259309,
12,3.278528,
16,3.280215,
18,3.283160,
12,3.289280,
18,3.302669,
18,3.304863,
12,3.305998,
14,3.307120,
20,3.319078,
16,3.324180,
16,3.337953,
16,3.342329,
14,3.344768,
12,3.353748,
22,3.392060,
14,3.400117,
20,3.405879,
12,3.427311,
16,3.428102,
20,3.430764,
14,3.434060,
14,3.437383,
18,3.462033,
18,3.501846,
18,3.510711,
20,3.520313,
22,3.531224,
16,3.541135,
18,3.578359,
22,3.581628,
12,3.604193,
16,3.606287,
14,3.628634,
18,3.650478,
20,3.653269,
22,3.664734,
16,3.667009,
16,3.675214,
20,3.681422,
14,3.688767,
16,3.698951,
16,3.716986,
14,3.720890,
14,3.723166,
16,3.725614,
18,3.736302,
12,3.737646,
18,3.760130,
14,3.761522,
20,3.772291,
22,3.779619,
18,3.791703,
16,3.815439,
18,3.819445,
20,3.845820,
16,3.848772,
18,3.857920,
16,3.898467,
14,3.907449,
16,3.910485,
18,3.941837,
14,3.944713,
10,3.972424,
16,4.050744,
10,4.064801,
16,4.092137,
16,4.102823,
12,4.260850,
14,4.296494,
10,4.344499,
16,4.506146,
18,4.509014,
14,4.545749,
20,4.553524,
16,4.554092,
18,4.561532,
16,4.570151,
14,4.571764,
14,4.574483,
16,4.582281,
12,4.591098,
16,4.627666,
18,4.631654,
18,4.635612,
16,4.637522,
14,4.637538,
12,4.641786,
16,4.647168,
16,4.664669,
16,4.668217,
16,4.694757,
16,4.741732,
14,4.760644,
14,4.775101,
14,4.814078,
16,4.847628,
16,4.856700,
14,4.904132,
16,4.919268,
16,4.947521,
,6.0215,

#ignore,test#240.34
