g,LeveleV
10,0.000000,
10,0.351493,
4,0.505724,
6,0.717201,
8,0.784065,
8,0.881107,
6,1.224659,
4,1.311589,
4,1.466868,
6,1.514897,
2,1.550507,
6,1.605802,
8,1.622693,
10,1.728315,
6,1.996557,
4,2.053842,
2,2.068205,
8,2.204345,
4,2.299540,
6,2.363216,
12,2.429253,
2,2.509031,
4,2.741320,
6,2.890116,
10,2.914361,
4,3.252041,
10,3.261714,
8,3.268863,
6,3.273700,
10,3.460875,
4,3.467844,
12,3.527638,
8,3.785195,
4,4.024971,
10,4.031152,
14,4.070498,
6,4.099516,
8,4.199894,
12,4.237839,
6,4.329507,
10,4.349465,
8,4.390359,
6,4.406441,
2,4.419781,
4,4.511804,
6,4.642728,
8,4.651306,
4,4.673305,
10,4.695491,
2,4.726394,
8,4.731019,
10,4.739885,
6,4.755802,
4,4.771500,
8,4.781829,
2,4.871250,
6,4.875625,
6,4.935311,
12,4.951962,
8,4.995471,
10,5.007701,
4,5.024426,
8,5.047493,
10,5.098070,
2,5.109430,
6,5.148099,
2,5.209127,
4,5.210949,
12,5.223680,
6,5.240547,
10,5.241963,
6,5.340220,
8,5.353160,
4,5.356228,
8,5.404745,
4,5.525957,
6,5.529295,
8,5.534986,
10,5.536196,
4,5.552687,
8,5.593135,
6,5.602344,
4,5.611418,
2,5.630775,
2,5.641672,
6,5.650070,
8,5.690360,
12,5.697983,
6,5.714908,
10,5.730589,
10,5.749351,
4,5.761774,
4,5.779911,
8,5.824656,
6,5.828632,
8,5.847730,
2,5.852527,
10,5.852745,
6,5.893873,
8,5.895286,
4,5.929536,
12,5.933694,
6,5.976853,
10,5.988343,
4,6.005897,
8,6.006867,
8,6.029255,
4,6.050666,
6,6.093382,
10,6.094891,
4,6.117692,
2,6.130554,
6,6.152260,
12,6.164391,
6,6.171855,
8,6.177332,
10,6.205495,
4,6.211696,
6,6.220272,
10,6.253076,
2,6.254385,
4,6.269152,
8,6.271169,
12,6.274391,
8,6.336577,
4,6.343842,
12,6.345008,
6,6.376154,
10,6.381558,
6,6.424210,
8,6.428876,
2,6.445185,
6,6.453595,
8,6.463806,
8,6.474997,
12,6.480193,
4,6.484826,
6,6.487762,
2,6.495331,
10,6.510273,
6,6.522209,
4,6.547180,
6,6.639717,
10,6.650768,
8,6.656338,
8,6.666866,
12,6.702746,
6,6.709929,
8,6.712607,
10,6.727853,
4,6.734812,
8,6.765329,
6,6.774411,
10,6.777911,
8,6.783312,
10,6.805819,
8,6.806090,
4,6.817318,
10,6.823587,
12,6.833279,
4,6.839077,
6,6.856797,
8,6.866493,
4,6.880792,
8,6.895925,
2,6.897906,
4,6.928911,
6,6.932399,
10,6.940518,
4,6.945173,
2,6.959089,
6,6.975941,
8,6.989123,
10,6.994702,
4,7.009874,
4,7.040842,
8,7.041385,
8,7.072406,
8,7.090240,
4,7.097794,
8,7.153573,
4,7.158481,
10,7.163186,
6,7.196293,
6,7.205694,
8,7.249454,
10,7.261825,
8,7.268586,
4,7.334337,
6,7.358961,
12,7.380267,
4,7.385008,
2,7.391805,
8,7.395375,
10,7.405064,
6,7.417296,
8,7.423928,
10,7.440571,
6,7.446795,
8,7.471665,
6,7.490069,
8,7.518818,
4,7.521146,
4,7.521270,
6,7.528565,
4,7.537545,
8,7.572299,
4,7.616534,
4,7.622718,
8,7.689356,
10,7.696917,
8,7.707467,
12,7.712892,
10,7.714410,
8,7.733852,
2,7.739813,
8,7.780899,
10,7.790597,
4,7.859516,
10,7.869242,
8,7.932035,
8,8.011631,
,8.96702,

#ignore,test#51.51
