g,LeveleV
2,0.00000000,
2,91.839353667,
2,91.83961304,
4,91.843030841,
2,108.8480984778,
2,108.848175812,
4,108.84918622311,
4,108.8491880200,
6,108.84954932554,
2,114.8010096962,
2,114.801042400,
4,114.801468575,
4,114.8014693419,
6,114.8016214842,
6,114.801621761,
8,114.8016980730,
2,117.5562933536,
2,117.5563101193,
4,117.556528294,
4,117.5565286896,
6,117.5566065829,
6,117.556606724,
8,117.5566457216,
8,117.5566457954,
10,117.5566692492,
2,119.0529640131,
2,119.0529737211,
4,119.0530999705,
4,119.0531002016,
6,119.0531452756,
6,119.0531453587,
8,119.0531679258,
8,119.0531679697,
10,119.05318151457,
10,119.0531815412,
12,119.05319059158,
2,119.9553968921,
2,119.9554030082,
4,119.9554825075,
4,119.9554826545,
6,119.9555110375,
6,119.9555110896,
8,119.9555253017,
8,119.9555253279,
10,119.95553385913,
10,119.9555338760,
12,119.95553956369,
12,119.95553957517,
14,119.95554364660,
2,120.5411042747,
2,120.5411083732,
4,120.5411616299,
4,120.5411617285,
6,120.5411807429,
6,120.5411807780,
8,120.5411902983,
8,120.5411903165,
10,120.54119603104,
10,120.5411960423,
12,120.54119985264,
12,120.54119986029,
14,120.541202582293,
14,120.54120258789,
16,120.541204633711,
2,120.9426598886,
2,120.9426627677,
4,120.9427001705,
4,120.9427002400,
6,120.9427135942,
6,120.9427136188,
8,120.9427203052,
8,120.9427203180,
10,120.94272433145,
10,120.9427243394,
12,120.94272701546,
12,120.94272702091,
14,120.942728932575,
14,120.94272893651,
16,120.942730370367,
16,120.942730373346,
18,120.942731490965,
2,121.2298882470,
2,121.2298903463,
4,121.2299176123,
4,121.2299176630,
6,121.2299273980,
6,121.2299274161,
8,121.22993229039,
8,121.2299322997,
10,121.22993522547,
10,121.22993523129,
12,121.22993718221,
12,121.22993718615,
14,121.229938579785,
14,121.22993858266,
16,121.229939627935,
16,121.229939630117,
18,121.229940443141,
18,121.229940444854,
20,121.229941096673,
2,121.4424035126,
2,121.44240508991,
4,121.4424255749,
4,121.4424256131,
6,121.4424329272,
6,121.4424329407,
8,121.44243660285,
8,121.4424366099,
10,121.44243880803,
10,121.44243881237,
12,121.44244027810,
12,121.44244028107,
14,121.442441328119,
14,121.44244133028,
16,121.442442115605,
16,121.442442117242,
18,121.442442728081,
18,121.442442729364,
20,121.4424432180514,
20,121.442443219089,
22,121.4424436197850,
2,121.6040380071,
2,121.60403922210,
24,121.6040691569435,
2,121.7298271232,
2,121.72982807911,
26,121.7298517945819,
2,121.82963657439,
2,121.82963733974,
28,121.8296564450419,
2,121.91015749164,
2,121.91015811384,
30,121.9101737299217,
2,121.97605777861,
2,121.97605829131,
32,121.97607121818594,
2,122.03067418916,
2,122.03067461662,
34,122.03068543770748,
2,122.07644317149,
2,122.07644353163,
36,122.07645268039977,
2,122.11517738274,
2,122.11517768896,
38,122.11518549287783,
2,122.14824796503,
2,122.14824822758,
40,122.14825493774936,
,122.45435914,

#ignore,test#2.0
