g,LeveleV
7,0.0000000,
5,1.1745014,
9,1.7761810,
7,1.8094049,
5,1.8326359,
3,1.8475137,
1,1.8547882,
13,3.415425,
11,3.418399,
9,3.419929,
7,3.420542,
5,3.420645,
5,3.703336,
7,3.7058299,
5,3.7095383,
3,3.7135045,
13,3.784458,
11,3.803774,
3,3.804450,
9,3.818225,
1,3.846263,
9,3.907326,
7,3.925593,
5,3.937888,
9,4.0651815,
1,4.068968,
3,4.0712369,
7,4.073782,
5,4.0740154,
11,4.1097923,
9,4.122308,
7,4.1260367,
11,4.3099509,
9,4.3283838,
7,4.3400408,
5,4.4974797,
3,4.5086407,
1,4.516524,
3,4.688076,
5,4.6925818,
7,4.6929866,
5,4.7568065,
7,4.7787381,
13,4.800700,
9,4.8114165,
9,4.823218,
7,4.9356240,
5,4.9362771,
3,4.9379075,
1,5.053549,
15,5.105994,
13,5.106975,
11,5.108692,
5,5.347626,
3,5.3699198,
5,5.3734072,
7,5.3772613,
7,5.3803433,
5,5.3914112,
11,5.3968661,
9,5.3979231,
3,5.4004014,
7,5.4176404,
5,5.4367494,
3,5.4725424,
13,5.494392,
9,5.5199674,
5,5.5477351,
7,5.5668720,
5,5.815271,
7,5.836388,
9,5.990647,
11,5.992538,
13,6.005305,
7,6.1113498,
9,6.1282130,
7,6.1328970,
11,6.139411,
5,6.1769182,
9,6.1846056,
7,6.1855626,
11,6.3917710,
7,6.4934578,
5,6.494219,
9,6.494761,
9,6.5281805,
1,6.5363112,
3,6.5732936,
5,6.6451983,
5,6.6577947,
7,6.6680853,
9,6.6710717,
1,6.8000707,
3,6.8114703,
5,6.8335544,
7,6.8652150,
9,6.9055496,
7,6.9132748,
3,7.052638,
9,7.3817036,
3,7.7570430,
5,7.7579639,
7,7.7598668,
5,7.991615,
7,7.9936854,
9,7.996254,
11,7.999323,
13,8.0031850,
7,8.118872,
9,8.129152,
5,8.1292795,
11,8.140635,
13,8.152559,
15,8.163991,
11,8.2502234,
1,8.2604839,
9,8.2627156,
3,8.2629413,
5,8.2668737,
7,8.2681019,
3,8.2938151,
5,8.2947281,
5,8.2982025,
7,8.3080841,
9,8.3435719,
13,8.399240,
5,8.4020145,
7,8.4076273,
11,8.4118617,
9,8.4143048,
9,8.4198363,
7,8.4662193,
5,8.4827133,
3,8.4925077,
5,8.5604778,
3,8.5816976,
1,8.594502,
3,8.697586,
5,8.7075923,
7,8.7214125,
9,8.7406120,
7,8.7431251,
11,8.7443092,
9,8.7466314,
11,8.7604253,
7,8.7713101,
5,8.7955095,
3,8.8126110,
3,8.835658,
5,8.842999,
7,8.8512924,
9,8.928232,
7,8.9575769,
5,8.9649540,
3,8.966664,
1,8.966846,
9,9.007311,
3,9.0986455,
7,9.0998753,
5,9.0999856,
9,9.1355822,
7,9.1476927,
5,9.1482460,
3,9.163867,
7,9.2442843,
1,9.3686847,
3,9.3880779,
5,9.4127696,
5,9.4692672,
17,9.64850,
13,9.651194,
15,9.664041,
11,9.681338,
13,9.713014,
15,9.729718,
5,9.7839874,
11,9.8087148,
15,9.813005,
5,9.851592,
7,9.858326,
3,9.861818,
5,9.862287,
7,9.863005,
9,9.864004,
11,9.865326,
13,9.868202,
11,9.886494,
9,9.894015,
9,9.907991,
5,10.061040,
7,10.070075,
9,10.0774071,
3,10.082700,
7,10.124509,
1,10.131127,
3,10.133479,
7,10.139518,
13,10.142318,
5,10.143517,
9,10.149720,
11,10.152616,
9,10.165942,
7,10.173108,
5,10.173451,
9,10.179101,
11,10.181238,
9,10.1836260,
13,10.184367,
7,10.1846328,
5,10.1854621,
3,10.1860433,
1,10.1863424,
5,10.190647,
11,10.195481,
3,10.196076,
7,10.214763,
7,10.218716,
9,10.241756,
7,10.255052,
5,10.257866,
3,10.262768,
9,10.2697054,
1,10.270790,
5,10.280496,
7,10.282765,
3,10.283130,
5,10.299481,
5,10.322427,
7,10.337282,
9,10.356341,
9,10.399233,
11,10.403814,
7,10.406469,
3,10.447926,
9,10.452761,
11,10.467761,
13,10.494511,
5,10.584292,
11,10.594172,
11,10.606022,
13,10.617532,
9,10.622199,
7,10.629742,
9,10.632812,
15,10.639274,
5,10.6496819,
7,10.656775,
7,10.6577588,
5,10.661302,
9,10.6697857,
7,10.670303,
5,10.686230,
3,10.688497,
7,10.700161,
9,10.718347,
13,10.770438,
7,10.7739579,
5,10.7788119,
3,10.7818050,
9,10.858578,
7,10.875604,
5,10.893063,
9,10.903312,
11,10.910053,
13,10.935178,
11,11.006369,
3,11.014744,
11,11.042366,
5,11.044442,
9,11.046563,
7,11.050227,
7,11.087830,
9,11.092293,
5,11.098994,
7,11.105520,
11,11.128858,
9,11.133824,
7,11.152425,
3,11.215622,
5,11.230805,
5,11.232573,
7,11.256029,
7,11.284827,
9,11.287247,
9,11.304743,
11,11.320013,
11,11.330293,
5,11.411498,
3,11.414096,
7,11.416848,
9,11.470606,
1,11.53752,
3,11.57588,
1,11.619758,
3,11.638211,
5,11.644743,
7,11.677110,
5,11.683180,
1,11.74724,
3,11.75314,
5,11.764494,
7,11.777230,
3,11.788506,
9,11.804098,
5,11.978601,
7,12.001694,
