g,LeveleV
8,0.0000000,
10,0.0636448,
12,0.1822698,
10,0.2045993,
14,0.3205562,
12,0.3802292,
16,0.4713792,
12,0.5501873,
14,0.5594781,
18,0.6305390,
14,0.6803825,
16,0.7421173,
10,0.7445586,
16,0.8229364,
12,0.8594337,
8,0.9329482,
18,0.9756205,
14,0.9856837,
14,0.9930899,
10,1.0439866,
4,1.0807014,
6,1.0906103,
16,1.1211594,
20,1.1364652,
8,1.1404556,
12,1.1602330,
16,1.1714256,
6,1.1995267,
10,1.2246124,
8,1.2285154,
12,1.2465613,
10,1.2511692,
18,1.2639947,
2,1.2715869,
14,1.2816371,
4,1.2942989,
22,1.3039158,
8,1.3225122,
12,1.3291472,
6,1.3373897,
14,1.3383214,
10,1.3493510,
6,1.3498463,
12,1.3566345,
18,1.3614135,
12,1.3747077,
10,1.4022966,
16,1.4101312,
8,1.4106383,
20,1.4124515,
4,1.4184691,
14,1.4358443,
10,1.4518072,
6,1.4566693,
12,1.4904562,
14,1.4913390,
10,1.4986162,
6,1.4991140,
14,1.5024907,
8,1.5153572,
8,1.5166603,
16,1.5201213,
12,1.5220567,
14,1.5283569,
12,1.5288919,
14,1.5292496,
18,1.5448425,
12,1.5487213,
20,1.5623007,
4,1.5805022,
8,1.5946128,
8,1.5967987,
12,1.5977949,
16,1.6002101,
12,1.6178215,
10,1.6196887,
10,1.6423158,
14,1.6488510,
16,1.6681119,
10,1.6815214,
14,1.6859204,
14,1.6880653,
16,1.6882532,
10,1.6990082,
12,1.6998506,
6,1.7115045,
10,1.7217655,
18,1.7248211,
10,1.7322589,
12,1.7419532,
8,1.7453900,
14,1.7469547,
12,1.7478902,
16,1.7519035,
14,1.7679378,
10,1.7708177,
22,1.7728866,
18,1.7731978,
8,1.7764785,
12,1.7810312,
14,1.7838103,
16,1.7955354,
6,1.7962620,
12,1.8132410,
10,1.8403650,
16,1.8466467,
18,1.8479696,
16,1.8545060,
12,1.8595045,
10,1.8614008,
14,1.8765244,
12,1.8770724,
12,1.8781126,
18,1.8815978,
6,1.8854531,
14,1.8969179,
8,1.9026442,
16,1.9041437,
14,1.9115003,
4,1.9118549,
10,1.9208556,
14,1.9211674,
6,1.9362234,
20,1.9450399,
20,1.9526538,
8,1.9561477,
14,1.9742326,
16,1.9792447,
24,1.9916927,
16,1.9977757,
18,1.9999705,
8,2.0016765,
10,2.0076482,
12,2.0131395,
18,2.0204130,
18,2.0241170,
10,2.0301284,
20,2.0435311,
12,2.0446160,
4,2.0468179,
10,2.0538609,
14,2.0545105,
18,2.0594457,
8,2.0658470,
6,2.0672288,
12,2.0681240,
16,2.0705355,
20,2.0842134,
10,2.0848135,
12,2.0850708,
16,2.0879286,
16,2.0914566,
6,2.0991566,
4,2.1021831,
8,2.1041718,
14,2.1075008,
16,2.1079204,
16,2.1085075,
12,2.1309003,
8,2.1326875,
10,2.1519750,
14,2.1654231,
18,2.1752463,
22,2.1764351,
12,2.1828639,
8,2.2051217,
12,2.2128706,
10,2.2155363,
20,2.2179143,
18,2.2246454,
14,2.2326994,
10,2.2371579,
8,2.2467059,
14,2.2510621,
22,2.2517303,
18,2.2529671,
20,2.2623006,
6,2.2756791,
12,2.2766270,
6,2.2875525,
16,2.2970962,
18,2.3014251,
12,2.3191870,
14,2.3255865,
10,2.3347712,
18,2.3366496,
8,2.3589302,
14,2.3697869,
16,2.3844926,
10,2.4183521,
16,2.4419612,
10,2.4423189,
12,2.4428619,
10,2.4497467,
16,2.4750296,
12,2.4836093,
10,2.4869358,
16,2.5166077,
14,2.5284612,
12,2.5562802,
14,2.5598937,
10,2.5630726,
8,2.5825946,
14,2.5866408,
12,2.5921773,
10,2.6099411,
6,2.6335577,
8,2.6398399,
14,2.6540739,
8,2.6546567,
12,2.6664705,
12,2.6770017,
18,2.6941215,
14,2.7116014,
8,2.7117216,
10,2.7174919,
10,2.7509180,
14,2.7535198,
12,2.7540294,
10,2.7720468,
8,2.7759864,
10,2.7841414,
14,2.7993357,
10,2.8099419,
12,2.8140532,
16,2.8155720,
8,2.8331065,
12,2.8674365,
12,2.8714703,
10,2.8728515,
8,2.8761573,
