g,LeveleV
4,0.000000,
6,3.324085,
4,3.326567,
4,5.017394,
2,5.017641,
6,14.857920,
4,14.878157,
2,14.888377,
6,20.579946,
4,20.580943,
2,22.9662478,
4,22.9793029,
6,22.9989602,
2,23.4191946,
4,23.4415082,
2,24.265006,
2,25.2856211,
2,25.6313478,
4,25.6382319,
6,25.6495863,
6,25.661218,
4,25.661347,
8,25.6650368,
2,25.8316247,
4,25.8373471,
6,25.8487467,
4,26.2254001,
6,26.2490334,
4,26.3047208,
4,26.358274,
2,26.379157,
2,26.5536859,
4,26.5610940,
6,28.358142,
8,28.361069,
6,28.509803,
4,28.512453,
2,28.591928,
4,28.6770648,
6,28.6837551,
8,28.6934114,
10,28.7060920,
6,28.8217045,
2,28.823901,
4,28.829685,
4,28.8307832,
2,28.8390335,
2,28.8525664,
4,28.8568239,
6,28.8570199,
8,28.8577953,
6,28.8630624,
8,28.8832609,
4,28.941697,
2,28.955839,
4,29.0622429,
6,29.0686699,
2,29.586034,
4,29.599076,
6,29.619076,
2,29.797124,
4,29.820351,
2,30.380752,
6,30.425722,
2,30.471394,
4,30.477387,
6,30.4881141,
8,30.5037449,
4,30.5362941,
2,30.5397984,
6,30.5566036,
4,30.5600365,
4,30.749350,
6,30.771222,
2,30.800949,
4,30.811970,
8,31.147582,
6,31.147904,
10,31.319435,
8,31.319581,
2,31.366419,
4,31.367183,
4,31.373797,
6,31.374055,
2,31.465948,
4,31.466247,
4,31.533845,
6,31.540144,
8,31.551524,
10,31.565137,
2,31.596961,
4,31.601262,
6,31.603128,
4,31.613683,
8,31.618417,
6,31.628990,
4,31.633627,
2,31.636190,
4,31.637492,
2,31.650925,
6,31.653427,
8,31.673760,
2,31.693188,
6,31.7015121,
8,31.7016866,
6,31.7097189,
8,31.7101222,
4,31.7167360,
6,31.7168283,
10,31.7185870,
8,31.718825,
4,31.720478,
6,31.727258,
4,31.729084,
2,31.729090,
12,31.7371628,
10,31.7379195,
4,31.7503204,
6,31.7508339,
8,31.7552335,
6,31.7555502,
10,31.7568211,
8,31.7577077,
2,31.950200,
4,31.963118,
6,31.983597,
2,32.038913,
4,32.063101,
6,32.147566,
4,32.147624,
2,32.320978,
2,32.348960,
4,32.354745,
6,32.365335,
8,32.382266,
2,32.386467,
4,32.392272,
6,32.404017,
4,32.436939,
4,32.446510,
6,32.467735,
2,32.519421,
4,32.529492,
6,32.88313,
4,32.88313,
6,32.90931,
4,32.91386,
8,32.92787,
6,32.934803,
8,32.934988,
10,32.942246,
8,32.942246,
6,32.944893,
8,32.945128,
10,32.950201,
8,32.950457,
4,32.950819,
6,32.950977,
8,32.954266,
10,32.954273,
10,32.956981,
12,32.956991,
6,32.957513,
8,32.957537,
6,32.96184,
2,32.966538,
4,32.966607,
12,32.970522,
10,32.971156,
4,32.974511,
6,32.975276,
6,32.977331,
4,32.977331,
8,32.978843,
12,32.978843,
14,32.978847,
6,32.978851,
10,32.979766,
8,32.980404,
6,32.980739,
8,32.980754,
10,32.982636,
8,32.982636,
12,32.982792,
10,32.982792,
6,33.051674,
8,33.052740,
4,33.057203,
6,33.059219,
2,33.06634,
4,33.07923,
6,33.100214,
2,33.11632,
4,33.140757,
2,33.160848,
4,33.164631,
4,33.199026,
6,33.199928,
8,33.201492,
2,33.27361,
4,33.28549,
6,33.295647,
8,33.31357,
6,33.32478,
8,33.608192,
10,33.608197,
10,33.621024,
8,33.621024,
10,33.622639,
12,33.622665,
6,33.623017,
8,33.623032,
6,33.644428,
4,33.644428,
12,33.645307,
14,33.645318,
8,33.646271,
6,33.646287,
8,33.647408,
10,33.647427,
10,33.647459,
12,33.647500,
4,33.81401,
6,33.82136,
8,33.84377,
6,33.85000,
6,34.06351,
8,34.06856,
4,34.08524,
6,34.08673,
4,34.17142,
10,34.200067,
8,34.200067,
8,34.204965,
6,34.204965,
4,34.217649,
2,34.21920,
4,34.227922,
6,34.227931,
6,34.228977,
10,34.233210,
12,34.233220,
4,34.252347,
2,34.252347,
4,34.485502,
6,34.485538,
2,34.990808,
,35.12112,
,35.13515,
,35.15908,
10,35.439459,
8,35.442339,
12,35.451924,
10,35.451924,
10,35.452208,
8,35.452208,
6,35.454483,
12,35.45682,
10,35.45682,
14,35.459519,
12,35.459519,
4,35.466335,
4,35.58912,
6,35.58930,
2,35.95426,
4,35.95545,
12,36.119449,
10,36.119449,
10,36.119578,
8,36.119578,
14,36.123830,
12,36.123830,
10,36.191047,
8,36.191170,
6,36.191326,
4,36.191472,
2,36.191571,
6,37.053303,
,37.63468,
,40.47546,

#ignore,test#4.4
