g,LeveleV
2,0.00000,
2,9.44230,
4,12.05356,
6,12.55359,
4,15.19647,
6,20.62705,
8,21.40797,
6,21.48013,
4,21.74544,
4,22.88244,
2,22.94991,
6,23.16236,
4,23.40315,
10,23.53531,
4,23.98938,
6,24.02514,
8,24.03498,
2,24.07133,
6,24.42788,
4,24.79952,
2,24.97793,
8,25.85373,
4,25.91919,
2,26.01057,
2,26.08253,
6,26.47313,
4,26.63704,
8,26.64327,
6,26.93134,
4,27.01028,
6,27.20978,
8,27.48934,
2,28.64202,
6,28.84350,
4,29.20651,
2,30.95081,
4,31.04602,
6,31.17213,
6,32.38418,
2,32.54516,
4,32.78602,
6,33.33615,
10,33.53732,
8,33.53766,
8,33.74986,
6,33.79548,
6,34.72525,
2,34.81856,
4,34.85366,
6,34.91390,
4,35.36973,
6,35.52420,
6,35.56136,
4,35.78204,
8,36.12689,
18,36.21785,
22,36.27070,
4,36.29606,
6,36.46450,
8,36.55782,
6,36.58238,
4,36.73119,
6,36.81853,
2,36.93814,
2,37.00130,
4,37.00343,
6,37.01858,
6,37.03626,
6,37.17592,
2,37.41307,
6,37.63145,
4,37.64691,
4,37.72811,
18,37.84359,
22,37.87918,
4,37.89341,
4,37.97077,
2,38.12191,
2,38.24143,
4,38.24774,
6,38.61283,
6,38.83427,
6,38.84084,
2,38.84643,
22,38.92352,
6,39.05029,
6,39.11704,
4,39.12588,
4,39.41123,
6,39.42678,
4,39.49328,
4,39.50913,
4,39.53572,
4,39.86897,
6,40.07194,
4,40.21905,
6,40.25833,
4,40.28636,
2,40.45094,
2,41.036,
4,41.222,
,42.33256,
2,43.714,
4,43.846,
2,46.618,
4,47.025,
2,50.059,
4,50.106,

#ignore,test#2.0
