g,LeveleV
9,0.000000,
11,0.266825,
13,0.544178,
5,0.619501,
7,0.795388,
9,0.849881,
9,1.230077,
5,2.149190,
1,2.651998,
3,2.728577,
13,2.753880,
5,2.871550,
9,7.584231,
5,7.619756,
7,7.855135,
9,7.882988,
7,7.950306,
11,8.088653,
5,8.098855,
9,8.138317,
9,8.247182,
3,8.302939,
11,8.418443,
13,8.440575,
5,8.481946,
7,8.492368,
3,8.772543,
1,8.783404,
7,8.892738,
5,8.949812,
11,9.331753,
3,9.767026,
5,12.430467,
7,12.465849,
9,12.804019,
7,12.863826,
7,16.967343,
5,17.007537,
5,17.32206,
7,17.342328,
9,17.385798,
7,17.513265,
5,17.646868,
9,17.675924,
3,17.729408,
9,17.968451,
7,17.970675,
11,18.012573,
9,18.02268,
5,18.173248,
5,23.96993,
9,24.00356,
7,24.02877,
9,24.05569,
11,24.14930,
9,24.29061,
9,24.37340,
9,24.40009,
11,24.43774,
13,24.44930,
7,24.56814,
11,24.58665,
7,24.69654,
11,24.74673,
7,24.76308,
3,24.77396,
9,24.82196,
11,24.82599,
7,24.84854,
5,24.88327,
13,24.90766,
3,24.96610,
9,25.04299,
11,25.08546,
7,25.10519,
7,25.12102,
5,25.14635,
15,25.16246,
3,25.20170,
11,25.29676,
9,25.35994,
7,25.36184,
13,25.39390,
5,25.48391,
9,25.50954,
13,25.57787,
3,25.58654,
5,25.67047,
,38.981,

#ignore,test#39.29
