g,LeveleV
1,0.000000,
3,0.036383,
5,0.100867,
7,0.185066,
9,0.282421,
11,0.388261,
13,0.499283,
1,1.8019,
5,3.258745,
7,3.392400,
3,3.457410,
5,3.499926,
3,3.550206,
7,3.610588,
11,3.642316,
5,3.690243,
3,3.725537,
9,3.744185,
7,3.794939,
5,3.837125,
11,3.890198,
9,3.912515,
7,3.924970,
11,4.009872,
9,4.041739,
13,4.075114,
13,4.179507,
11,4.187181,
3,4.320428,
5,4.378460,
7,4.454504,
3,4.506521,
9,4.565857,
5,4.578970,
7,4.676177,
11,4.678970,
9,4.799969,
13,4.805383,
11,4.918054,
3,6.343131,
5,6.376791,
7,6.439784,
9,6.589708,
,23.55,

#ignore,test#40.76
