g,LeveleV
3,0.000000,
5,0.127869,
7,0.327590,
5,0.394275,
1,0.511406,
9,0.547477,
3,0.660918,
5,0.701503,
11,0.767056,
7,0.846979,
5,1.201464,
9,1.208391,
3,1.328280,
7,1.458939,
5,1.472369,
7,1.541849,
1,1.562309,
9,1.575259,
11,1.590834,
3,1.670737,
5,1.681257,
9,1.761261,
5,1.797139,
7,1.807814,
3,1.813610,
7,1.949783,
9,1.965288,
5,2.128623,
9,2.136399,
3,2.154239,
9,2.292923,
5,2.293782,
7,2.300382,
5,2.842787,
9,2.861890,
5,2.888175,
1,2.898898,
3,2.901992,
7,2.928551,
9,3.029279,
7,3.083439,
11,3.150928,
7,3.326383,
5,3.627390,
3,4.179073,
5,4.180146,
7,4.477438,
5,4.485391,
7,4.558122,
3,4.585894,
5,4.616031,
5,4.775320,
3,4.777763,
7,4.830719,
7,4.872062,
9,4.927583,
1,4.962314,
5,4.988322,
3,4.997156,
5,5.101330,
3,5.127374,
7,5.152104,
11,5.171259,
9,5.179476,
9,5.222575,
5,5.226346,
7,5.326310,
5,5.339373,
7,5.398822,
3,5.399992,
9,5.455944,
3,5.480869,
5,5.487441,
7,5.508665,
1,5.509201,
11,5.527876,
9,5.532919,
7,5.558860,
3,5.608283,
5,5.634699,
3,5.724924,
9,5.738853,
11,5.739857,
5,5.751290,
9,5.783343,
7,5.806352,
5,5.808745,
7,5.848233,
9,5.862087,
5,5.891061,
3,5.901154,
1,5.926562,
7,5.929595,
13,5.930133,
1,5.959239,
5,5.971877,
5,5.978904,
9,6.009557,
5,6.033883,
3,6.047498,
7,6.070596,
11,6.082067,
5,6.085199,
7,6.141716,
5,6.148736,
7,6.155394,
3,6.185203,
9,6.191501,
7,6.332354,
5,6.347659,
3,6.363659,
5,6.389428,
7,6.462208,
3,6.466490,
7,6.519140,
3,6.549407,
7,6.628904,
5,6.651110,
5,6.761327,
7,6.775589,
7,6.835046,
7,6.886468,
5,6.945440,
9,6.960782,
9,7.036468,
,16.2,

#ignore,test#64.43
