g,LeveleV
6,0.000000,
10,0.318998,
8,0.403061,
6,0.458808,
4,0.496255,
2,0.518099,
8,1.303884,
6,1.371646,
4,1.435563,
2,1.474259,
6,1.643130,
4,1.756825,
2,1.820076,
10,1.826677,
8,1.896767,
6,1.937160,
4,1.955283,
12,1.986865,
10,2.000359,
8,2.019429,
6,2.035280,
6,2.036900,
14,2.052359,
8,2.092173,
12,2.125932,
8,2.142773,
10,2.148401,
10,2.172565,
4,2.442832,
10,2.453888,
2,2.458297,
6,2.466716,
8,2.467728,
4,2.508352,
8,2.527386,
6,2.544570,
12,2.558955,
6,2.564769,
8,2.576867,
10,2.629080,
6,2.629251,
4,2.659147,
10,2.659521,
12,2.692916,
8,2.696922,
6,2.717752,
4,2.718575,
10,2.749982,
6,2.760565,
4,2.790029,
8,2.804019,
8,2.884532,
6,2.908075,
8,2.908673,
4,2.924589,
8,2.970384,
10,2.993863,
14,3.041189,
12,3.045642,
8,3.106865,
6,3.121194,
4,3.149904,
6,3.173785,
4,3.321362,
6,3.333139,
12,3.337403,
8,3.341496,
14,3.381559,
10,3.393421,
6,3.411703,
8,3.429415,
6,3.464209,
10,3.468007,
4,3.490314,
2,3.508340,
12,3.575630,
8,3.624542,
10,3.662369,
6,3.727047,
12,3.727869,
10,3.736048,
8,3.766895,
6,3.785096,
4,3.797713,
2,3.804966,
10,3.857654,
6,3.893939,
8,3.894846,
4,3.905990,
8,3.918521,
6,3.958445,
6,3.969331,
4,3.998943,
4,3.999490,
2,4.017467,
8,4.044412,
6,4.102103,
4,4.134027,
2,4.151049,
6,4.279424,
4,4.332335,
2,4.373722,
8,4.663343,
6,4.738273,
8,4.741246,
4,4.751025,
4,4.780423,
6,4.785862,
8,4.806396,
10,4.858322,
12,4.864708,
6,4.892403,
8,4.905777,
4,4.906866,
6,4.909633,
10,4.930031,
8,4.938489,
4,4.940029,
6,4.945860,
6,4.956565,
4,4.971346,
8,4.988660,
12,4.989320,
6,4.996457,
10,5.009357,
8,5.009755,
14,5.025005,
6,5.061195,
2,5.062199,
4,5.092423,
8,5.094325,
6,5.095777,
4,5.114460,
8,5.148953,
12,5.155356,
4,5.160907,
10,5.170586,
8,5.173844,
6,5.178108,
4,5.181147,
10,5.194565,
6,5.197750,
8,5.206478,
12,5.211374,
6,5.220084,
10,5.234251,
4,5.234282,
8,5.237862,
6,5.238414,
6,5.243845,
12,5.262426,
14,5.266198,
8,5.272195,
10,5.274909,
12,5.281800,
10,5.283450,
6,5.293685,
8,5.303030,
12,5.303299,
10,5.308631,
10,5.313373,
4,5.319119,
6,5.319616,
16,5.330843,
6,5.332702,
8,5.340908,
10,5.343442,
12,5.352669,
14,5.355820,
10,5.364240,
8,5.364444,
8,5.379893,
12,5.394861,
6,5.399078,
4,5.400626,
10,5.411877,
4,5.429753,
6,5.430099,
8,5.431159,
14,5.437605,
8,5.443617,
10,5.451810,
6,5.456173,
4,5.458890,
8,5.466532,
8,5.467950,
6,5.468593,
4,5.468948,
12,5.472436,
2,5.473840,
6,5.485256,
8,5.488395,
4,5.494182,
4,5.496618,
6,5.497154,
8,5.497943,
10,5.499028,
12,5.500596,
6,5.521982,
10,5.526730,
8,5.540507,
4,5.544855,
6,5.555031,
8,5.559352,
6,5.563465,
4,5.564008,
10,5.569256,
4,5.573819,
8,5.577495,
6,5.588098,
4,5.592759,
2,5.602809,
4,5.612494,
2,5.641005,
10,5.667165,
10,5.711811,
6,5.716278,
8,5.752392,
8,5.778762,
8,5.784615,
10,5.790129,
12,5.800204,
14,5.807493,
4,5.831061,
6,5.856069,
6,5.862204,
12,5.863752,
10,5.869897,
8,5.875579,
6,5.883332,
2,5.910392,
10,5.928882,
8,5.934422,
6,5.968942,
10,5.977711,
8,5.978189,
10,5.986923,
14,5.992205,
12,6.001393,
10,6.003093,
8,6.008639,
6,6.022173,
14,6.033824,
8,6.048552,
12,6.049127,
16,6.056828,
10,6.060565,
6,6.068299,
10,6.072378,
10,6.087458,
8,6.091345,
12,6.097083,
8,6.105720,
4,6.115962,
6,6.117072,
10,6.117442,
12,6.122837,
4,6.128933,
8,6.145396,
6,6.145414,
8,6.146312,
10,6.147542,
4,6.166364,
8,6.176102,
10,6.176382,
6,6.191597,
10,6.192001,
14,6.235178,
12,6.240896,
8,6.241151,
12,6.295614,
10,6.338920,
14,6.343487,
8,6.348522,
12,6.350624,
8,6.375726,
10,6.378005,
10,6.490603,
12,6.669804,
6,6.688351,
12,6.812766,
14,6.827393,
12,6.957790,
,7.11938,
12,7.354160,
8,7.691764,
8,7.749233,
10,7.761346,
6,7.925896,
8,8.032428,

#ignore,test#79.72
