g,LeveleV
1,0.000000,
3,0.207090,
7,0.365913,
5,0.412313,
7,0.598844,
9,0.771099,
1,1.181329,
9,1.507891,
3,1.649870,
7,1.655011,
5,1.708218,
5,1.856810,
11,1.868433,
7,1.916797,
9,2.037223,
13,2.108785,
9,2.120999,
7,2.194667,
3,2.241985,
5,2.246202,
5,2.266491,
7,2.352539,
5,2.387137,
9,2.387469,
1,2.403983,
11,2.422033,
13,2.436108,
11,2.458116,
7,2.458319,
3,2.487656,
1,2.501282,
3,2.532729,
5,2.601563,
5,2.659307,
3,2.659945,
9,2.786753,
1,2.823589,
9,2.833386,
7,2.857502,
3,2.908052,
13,2.911742,
7,2.966952,
5,2.971240,
5,2.973488,
7,3.051360,
9,3.070269,
5,3.073526,
3,3.221556,
7,3.247047,
5,3.252077,
5,3.269126,
1,3.301632,
11,3.307462,
5,3.330419,
9,3.374084,
7,3.408091,
5,3.429715,
3,3.430702,
3,3.444095,
11,3.452935,
9,3.457880,
3,3.496218,
5,3.496875,
11,3.500500,
7,3.507746,
7,3.514654,
13,3.520246,
3,3.560935,
9,3.570403,
5,3.583014,
7,3.612790,
5,3.619823,
5,3.644317,
7,3.648917,
15,3.652696,
9,3.654970,
13,3.675271,
11,3.691424,
9,3.701382,
7,3.708721,
5,3.765921,
7,3.792260,
3,3.804274,
5,3.853156,
3,3.883617,
11,3.891750,
9,3.897184,
5,3.944883,
9,3.984349,
7,3.994512,
7,3.997005,
3,4.014410,
1,4.015422,
7,4.069983,
9,4.070168,
7,4.086219,
5,4.109007,
11,4.116475,
13,4.127657,
11,4.137358,
9,4.162091,
5,4.208527,
7,4.209617,
9,4.230549,
7,4.243806,
9,4.252911,
3,4.257920,
7,4.259363,
7,4.273218,
5,4.275702,
9,4.293895,
3,4.304648,
9,4.353926,
9,4.376620,
5,4.378075,
7,4.401334,
11,4.402316,
5,4.430198,
7,4.456385,
9,4.473635,
3,4.487049,
11,4.497539,
1,4.536374,
5,4.546959,
7,4.571838,
5,4.575533,
9,4.605562,
11,4.625746,
7,4.638758,
5,4.645229,
7,4.670991,
3,4.683374,
9,4.711538,
7,4.717977,
13,4.736583,
7,4.736987,
9,4.743561,
3,4.755518,
1,4.782832,
9,4.804194,
5,4.839134,
3,4.858098,
11,4.880143,
11,4.911516,
3,4.914315,
7,4.915528,
5,4.923043,
15,4.923293,
9,4.924647,
5,4.960794,
9,4.988377,
7,4.992763,
3,5.010340,
11,5.018436,
9,5.031659,
7,5.041923,
3,5.054932,
5,5.067036,
11,5.072439,
7,5.073908,
5,5.096311,
1,5.099145,
13,5.104608,
9,5.107918,
13,5.135118,
7,5.145274,
5,5.155660,
7,5.169439,
5,5.174373,
9,5.191459,
1,5.203027,
5,5.204686,
13,5.236976,
7,5.238520,
3,5.239857,
5,5.263080,
9,5.263159,
7,5.271082,
9,5.273373,
3,5.278440,
7,5.281874,
11,5.314707,
9,5.320254,
11,5.335548,
1,5.338001,
3,5.358266,
5,5.359547,
9,5.362441,
15,5.382340,
3,5.387359,
7,5.390657,
5,5.395133,
9,5.420697,
11,5.423239,
7,5.436811,
3,5.441991,
11,5.445913,
5,5.452232,
9,5.453496,
7,5.457908,
3,5.499128,
5,5.500869,
13,5.503711,
7,5.510728,
11,5.523094,
5,5.529234,
3,5.546707,
5,5.569350,
13,5.569854,
9,5.571921,
15,5.575671,
7,5.581092,
5,5.581647,
9,5.593767,
1,5.607213,
9,5.611841,
1,5.617338,
3,5.625659,
5,5.631642,
11,5.635286,
7,5.647644,
7,5.663312,
3,5.673616,
11,5.677130,
9,5.687044,
5,5.691182,
7,5.711707,
3,5.716244,
13,5.716440,
3,5.739431,
5,5.743909,
7,5.751064,
3,5.760095,
7,5.764846,
11,5.766055,
1,5.779362,
9,5.780769,
13,5.786618,
5,5.803260,
11,5.809255,
9,5.818807,
5,5.837102,
3,5.858941,
5,5.869138,
9,5.871915,
7,5.872107,
5,5.882124,
7,5.887226,
13,5.894402,
7,5.900835,
9,5.912723,
3,5.928917,
11,5.932748,
9,5.947351,
9,5.948209,
5,5.960952,
11,5.968398,
7,5.972387,
5,5.981530,
15,5.982324,
1,5.984050,
5,5.990773,
7,5.991711,
3,5.999590,
1,6.026059,
9,6.035065,
13,6.036131,
3,6.048949,
7,6.084170,
11,6.084386,
9,6.093569,
5,6.094064,
11,6.098525,
5,6.108721,
11,6.119200,
7,6.127039,
3,6.130238,
7,6.138996,
5,6.139358,
9,6.154144,
7,6.156564,
5,6.161960,
9,6.172997,
1,6.174225,
7,6.194998,
11,6.216264,
7,6.222234,
9,6.234501,
7,6.236874,
13,6.252421,
5,6.260525,
5,6.264345,
3,6.265362,
5,6.288342,
7,6.298452,
11,6.299150,
7,6.310067,
3,6.311564,
9,6.311970,
3,6.316880,
13,6.317226,
7,6.332143,
9,6.338462,
5,6.345806,
3,6.355514,
1,6.358587,
11,6.359240,
15,6.360008,
9,6.381844,
7,6.397649,
5,6.398425,
5,6.409221,
3,6.417849,
9,6.429337,
5,6.439347,
13,6.444535,
7,6.447457,
7,6.449073,
3,6.454345,
9,6.454590,
5,6.455123,
11,6.457232,
5,6.466101,
5,6.469892,
1,6.476079,
7,6.478893,
7,6.482484,
9,6.494072,
11,6.496214,
9,6.501290,
3,6.506389,
5,6.509593,
5,6.528212,
11,6.543154,
7,6.547179,
13,6.553306,
5,6.556966,
7,6.564155,
3,6.565821,
9,6.570256,
5,6.571624,
3,6.576370,
9,6.585829,
11,6.595246,
3,6.599311,
13,6.599483,
9,6.600722,
5,6.606488,
7,6.614002,
7,6.619568,
5,6.654153,
9,6.668614,
9,6.676379,
11,6.678126,
3,6.679681,
5,6.684304,
7,6.684844,
5,6.690098,
11,6.691936,
7,6.709698,
9,6.709874,
7,6.728594,
1,6.731801,
11,6.733619,
3,6.741616,
3,6.747179,
7,6.764135,
7,6.776674,
13,6.786074,
5,6.801668,
13,6.806232,
7,6.806844,
9,6.808172,
3,6.811817,
11,6.820274,
5,6.823181,
9,6.824504,
5,6.829548,
9,6.860433,
9,6.862054,
11,6.866369,
3,6.866788,
7,6.867398,
5,6.867505,
13,6.871313,
11,6.875587,
11,6.880158,
7,6.886834,
9,6.893137,
5,6.895959,
15,6.904782,
11,6.917758,
5,6.922673,
13,6.924230,
3,6.925673,
9,6.926655,
9,6.937580,
11,6.941615,
5,6.947737,
7,6.956560,
9,6.964766,
9,6.974812,
11,6.977886,
7,6.984278,
7,7.003164,
9,7.005368,
13,7.008401,
15,7.012199,
11,7.014225,
7,7.032028,
11,7.038342,
15,7.041137,
9,7.046229,
13,7.046382,
5,7.067013,
7,7.083438,
11,7.084889,
13,7.085570,
9,7.106185,
7,7.110781,
9,7.125595,
11,7.136633,
7,7.143890,
13,7.154173,
7,7.157913,
9,7.166740,
13,7.181062,
7,7.202438,
11,7.213324,
7,7.216624,
3,7.227061,
9,7.230320,
9,7.232014,
7,7.251528,
11,7.260847,
5,7.264906,
7,7.270942,
5,7.272382,
13,7.285431,
9,7.287518,
9,7.296334,
11,7.303163,
13,7.331037,
11,7.333616,
9,7.336357,
5,7.341287,
11,7.347754,
15,7.358088,
7,7.364629,
13,7.365966,
5,7.367389,
11,7.398549,
5,7.438940,
9,7.458681,
11,7.467467,
9,7.486797,
13,7.490484,
11,7.530974,
15,7.585460,
11,7.622127,
9,7.629430,
11,7.706176,
13,7.751991,
13,7.772259,
8,7.846712,
8,7.847877,
8,7.848944,
8,7.849886,
8,7.851547,
8,7.852936,
8,7.853543,
4,7.853717,
12,7.853990,
8,7.854114,
4,7.854287,
12,7.854535,
8,7.854610,
4,7.854771,
12,7.854994,
8,7.855093,
4,7.855242,
12,7.855440,
8,7.855540,
4,7.855676,
12,7.855837,
8,7.855936,
4,7.856060,
12,7.856222,
8,7.856333,
4,7.856432,
12,7.856581,
8,7.856680,
4,7.856779,
12,7.856903,
8,7.857015,
4,7.857102,
12,7.857226,
8,7.857313,
4,7.857437,
12,7.857499,
8,7.857610,
12,7.857747,
8,7.857895,
12,7.858032,
8,7.858143,
8,7.858379,
8,7.858602,
,7.86403,
13,7.877061,

#ignore,test#64.4
