g,LeveleV
6,0.00000,
4,0.34208,
10,15.96046,
8,16.16334,
6,16.34168,
4,16.46229,
8,16.85580,
6,17.16926,
6,18.37194,
4,18.49730,
4,18.75255,
2,18.77027,
6,18.79282,
4,19.47479,
2,19.58076,
10,19.94732,
8,19.95141,
2,24.71861,
8,24.96037,
6,25.25367,
10,25.34820,
12,25.44912,
4,25.47293,
8,25.53963,
2,25.60435,
6,25.68646,
10,25.75611,
8,25.90294,
10,25.90898,
6,26.02416,
4,26.05988,
8,26.18416,
6,26.23130,
8,26.26279,
4,26.46812,
6,26.55336,
4,27.45335,
6,27.49193,
2,27.53937,
6,27.72403,
4,27.89615,
8,27.90047,
2,27.94777,
6,28.02665,
4,28.10535,
6,28.41257,
4,28.42101,
2,28.42372,
8,28.50123,
6,28.72627,
4,28.79480,
4,28.88064,
10,28.88596,
2,29.07354,
12,29.08954,
8,29.11176,
2,29.25723,
6,29.27382,
4,29.28198,
8,30.04385,
10,30.08353,
2,34.06420,
4,34.32932,
8,37.70324,
6,37.77543,
14,37.82346,
12,37.86620,
12,37.93028,
10,37.94209,
6,37.98504,
8,37.99013,
10,38.03048,
2,38.08294,
4,38.12548,
4,38.13747,
10,38.18302,
12,38.19680,
4,38.20722,
6,38.22346,
8,38.23847,
8,38.29247,
2,38.29853,
10,38.29879,
8,38.39714,
6,38.42086,
4,38.42942,
6,38.43699,
10,38.44043,
8,38.58864,
6,39.11623,
4,39.13189,
8,40.07839,
6,40.09545,
8,40.23218,
10,40.24192,
4,40.24562,
4,40.27799,
6,40.38480,
8,40.49893,
6,40.55859,
10,40.79655,
8,40.79998,
6,40.83982,
4,40.85395,
8,40.86160,
6,40.87015,
6,40.96939,
4,41.02270,
4,41.15172,
2,41.16644,
12,41.45768,
14,41.47942,
8,41.71815,
6,41.75746,
10,41.92466,
12,41.96430,
10,41.97103,
8,41.97299,
10,42.4681,
12,42.4991,
6,42.5811,
10,42.5927,
8,42.6318,
8,42.7831,
4,42.8022,
6,42.8408,
6,42.8669,
8,42.9208,
6,42.9666,
4,43.0298,
8,43.0779,
4,43.1317,
6,43.1651,
6,43.78181,
4,43.96781,
6,44.7096,
4,44.7169,
6,44.8137,
8,44.8461,
4,44.9061,
6,45.1634,
4,45.1800,
6,45.3394,
4,45.3495,
4,45.4082,
6,45.4552,
4,45.5406,
2,45.5449,
8,45.7689,
2,45.7734,
4,45.8135,
8,45.8370,
6,45.8402,
2,46.0818,
4,46.0894,
6,46.0977,
8,46.0977,
4,46.1089,
8,46.1236,
6,46.1301,
10,46.1824,
8,46.1978,
12,46.2516,
4,46.2641,
2,46.2787,
6,46.2790,
,46.2946,
4,46.3209,
8,46.3266,
6,46.3526,
8,46.5558,
10,46.5703,
6,46.75086,
4,46.78940,
6,48.0450,
8,48.0729,
4,48.0930,
6,48.1002,
2,48.1312,
4,48.1317,
8,48.5406,
6,48.5449,
4,48.5536,
8,48.5719,
6,48.6271,
2,48.6714,
8,48.6767,
6,48.6888,
6,48.6888,
4,48.7007,
8,48.7407,
6,48.7407,
6,49.3095,
8,49.3095,
4,49.4500,
2,49.4546,
6,49.4978,
4,49.5057,
6,49.5562,
8,49.5772,
6,49.5836,
6,49.5872,
8,49.5872,
4,49.7865,
6,49.8072,
4,50.7788,
8,50.7922,
6,50.7963,
2,51.0532,
4,51.0573,
4,51.0758,
6,51.0772,
8,51.0772,
2,51.0773,
4,51.1724,
2,51.2592,
6,51.2592,
8,51.2880,
4,51.2903,
6,51.2928,
6,51.4960,
4,51.5144,
6,51.5499,
4,51.5932,
4,52.0967,
2,52.1721,
6,53.0309,
4,53.0504,
6,53.0510,
8,53.0530,
8,53.0569,
6,53.0575,
8,53.5705,
6,53.6049,
8,53.6160,
6,53.6446,
4,53.6446,
8,54.4567,
6,54.4645,
4,54.5005,
2,54.5047,
6,54.5356,
4,54.5361,
6,54.5504,
,59.573,

#ignore,test#8.84
