,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
471,203.3877,6.094054,4227000.0,20.0,Ca,I,2.709009,2.0,8.803002000000001,1.0,K88,1.0,3.0
662,205.0354,6.04509,36990000.0,20.0,Ca,I,0.0,0.0,6.045029,1.0,K88,1.0,3.0
1134,209.1676,5.925682,1428000.0,20.0,Ca,I,2.709009,2.0,8.634631,1.0,K88,1.0,3.0
1218,209.7437,5.909406,1292000.0,20.0,Ca,I,0.0,0.0,5.909347,1.0,K88,1.0,3.0
1299,210.3235,5.893117,81660000.0,20.01,Ca,II,3.123349,0.5,9.016407000000001,1.5,BWL,2.0,4.0
1388,210.9153,5.876583,5515000.0,20.0,Ca,I,2.709009,2.0,8.585533999999999,1.0,K88,1.0,3.0
1452,211.2757,5.866561,98170000.0,20.01,Ca,II,3.1509840000000002,1.5,9.017486,2.5,BWL,2.0,6.0
1458,211.3146,5.865482,16140000.0,20.01,Ca,II,3.1509840000000002,1.5,9.016407000000001,1.5,BWL,2.0,4.0
1714,213.1505,5.814967,834500.0,20.01,Ca,II,1.699932,2.5,7.5148410000000005,1.5,BWL,2.0,4.0
1722,213.2304,5.812787999999999,916500.0,20.01,Ca,II,1.6924080000000001,1.5,7.5051380000000005,0.5,BWL,2.0,2.0
2012,215.0795,5.76282,6047000.0,20.0,Ca,I,0.0,0.0,5.762762,1.0,NBS,1.0,3.0
2664,219.7787,5.639615,31110000.0,20.01,Ca,II,3.123349,0.5,8.762908,0.5,BWL,2.0,2.0
2706,220.0727,5.632083000000001,15260000.0,20.0,Ca,I,0.0,0.0,5.632027,1.0,NBS,1.0,3.0
2800,220.8611,5.61198,61460000.0,20.01,Ca,II,3.1509840000000002,1.5,8.762908,0.5,BWL,2.0,2.0
3210,223.5023,5.545666000000001,2139000.0,20.0,Ca,I,2.709009,2.0,8.25462,1.0,K88,1.0,3.0
3257,224.0063,5.53319,820800.0,20.0,Ca,I,2.522987,2.0,8.056121000000001,1.0,K88,1.0,3.0
3578,226.1227,5.481408999999999,758700.0,20.0,Ca,I,1.8793400000000002,0.0,7.3606940000000005,1.0,K88,1.0,3.0
3616,226.2719,5.477793,325600.0,20.0,Ca,I,1.885807,1.0,7.363544999999999,2.0,K88,1.0,5.0
3630,226.3898,5.474941,515300.0,20.0,Ca,I,1.885807,1.0,7.3606940000000005,1.0,K88,1.0,3.0
3695,226.8156,5.464665,846300.0,20.0,Ca,I,1.8989349999999998,2.0,7.363544999999999,2.0,K88,1.0,5.0
3715,226.934,5.4618139999999995,632300.0,20.0,Ca,I,1.8989349999999998,2.0,7.3606940000000005,1.0,K88,1.0,3.0
3811,227.5466,5.4471110000000005,30030000.0,20.0,Ca,I,0.0,0.0,5.447057,1.0,NBS,1.0,3.0
4103,229.3115,5.405191,7743000.0,20.0,Ca,I,2.709009,2.0,8.114146,1.0,K88,1.0,3.0
5446,236.7956,5.234369,1476000.0,20.0,Ca,I,2.5212630000000003,1.0,7.75558,1.0,K88,1.0,3.0
5453,236.8485,5.233201,592600.0,20.0,Ca,I,2.522987,2.0,7.7561350000000004,1.0,K88,1.0,3.0
5459,236.8736,5.232646,573700.0,20.0,Ca,I,2.522987,2.0,7.75558,1.0,K88,1.0,3.0
6063,239.8559,5.167590000000001,16700000.0,20.0,Ca,I,0.0,0.0,5.1675379999999995,1.0,NBS,1.0,3.0
6507,241.7713,5.126654,941700.0,20.0,Ca,I,1.885807,1.0,7.012410000000001,1.0,K88,1.0,3.0
6560,241.9583,5.122693,703500.0,20.0,Ca,I,2.5212630000000003,1.0,7.643905,1.0,K88,1.0,3.0
6634,242.2981,5.115507,538500.0,20.0,Ca,I,1.885807,1.0,7.001264,2.0,K88,1.0,5.0
6661,242.392,5.113526,1435000.0,20.0,Ca,I,1.8989349999999998,2.0,7.012410000000001,1.0,K88,1.0,3.0
7026,243.8494,5.082967,488100.0,20.0,Ca,I,2.522987,2.0,7.605902,1.0,K88,1.0,3.0
7403,245.553,5.047706,838400.0,20.0,Ca,I,2.709009,2.0,7.756664999999999,1.0,K88,1.0,3.0
7674,246.717,5.023893,807900.0,20.0,Ca,I,2.522987,2.0,7.546829,1.0,K88,1.0,3.0
7734,247.0102,5.0179290000000005,3216000.0,20.0,Ca,I,2.5212630000000003,1.0,7.539142,1.0,K88,1.0,3.0
7740,247.0372,5.017380999999999,443800.0,20.0,Ca,I,3.910399,1.0,8.92773,1.0,K88,1.0,3.0
7755,247.0951,5.016205,1256000.0,20.0,Ca,I,2.522987,2.0,7.539142,1.0,K88,1.0,3.0
7906,247.7265,5.003421,892900.0,20.0,Ca,I,2.5212630000000003,1.0,7.524634,1.0,K88,1.0,3.0
8011,248.1692,4.994496,451100.0,20.0,Ca,I,2.522987,2.0,7.517432,1.0,K88,1.0,3.0
8240,249.1097,4.975642,559700.0,20.0,Ca,I,2.709009,2.0,7.684601,1.0,K88,1.0,3.0
8617,250.5664,4.946717,361300.0,20.0,Ca,I,2.709009,2.0,7.655677000000001,1.0,K88,1.0,3.0
8770,251.0866,4.936468,901800.0,20.0,Ca,I,2.5212630000000003,1.0,7.457682000000001,1.0,K88,1.0,3.0
8792,251.1743,4.934744,2476000.0,20.0,Ca,I,2.522987,2.0,7.457682000000001,1.0,K88,1.0,3.0
9232,252.5867,4.907154,1045000.0,20.0,Ca,I,2.709009,2.0,7.616114,1.0,K88,1.0,3.0
9278,252.7446,4.9040870000000005,466000.0,20.0,Ca,I,4.130814,0.0,9.034852,1.0,K88,1.0,3.0
9842,254.7168,4.866119,565800.0,20.0,Ca,I,3.910399,1.0,8.776469,1.0,K88,1.0,3.0
10082,255.4763,4.851654,514100.0,20.0,Ca,I,1.8793400000000002,0.0,6.730946,1.0,K88,1.0,3.0
10101,255.5212,4.850802,4354000.0,20.0,Ca,I,2.709009,2.0,7.559763,1.0,K88,1.0,3.0
10163,255.7135,4.847153,250300.0,20.0,Ca,I,1.885807,1.0,6.732912,2.0,K88,1.0,5.0
10199,255.8173,4.845187,381000.0,20.0,Ca,I,1.885807,1.0,6.730946,1.0,K88,1.0,3.0
10209,255.8595,4.8443879999999995,1458000.0,20.0,Ca,I,1.885807,1.0,6.7301470000000005,0.0,K88,1.0,1.0
10303,256.2043,4.837868,547700.0,20.0,Ca,I,2.709009,2.0,7.546829,1.0,K88,1.0,3.0
10361,256.408,4.834026000000001,997800.0,20.0,Ca,I,1.8989349999999998,2.0,6.732912,2.0,K88,1.0,5.0
10387,256.5123,4.832058999999999,569500.0,20.0,Ca,I,1.8989349999999998,2.0,6.730946,1.0,K88,1.0,3.0
10390,256.5193,4.831928,10240000.0,20.0,Ca,I,4.130814,0.0,8.962694,1.0,K88,1.0,3.0
10917,258.3892,4.796964,2297000.0,20.0,Ca,I,4.130814,0.0,8.92773,1.0,K88,1.0,3.0
10939,258.4842,4.7952,1678000.0,20.0,Ca,I,2.5212630000000003,1.0,7.316414999999999,1.0,K88,1.0,3.0
10966,258.5771,4.793476999999999,5255000.0,20.0,Ca,I,2.522987,2.0,7.316414999999999,1.0,K88,1.0,3.0
11160,259.3209,4.779730000000001,746600.0,20.0,Ca,I,4.130814,0.0,8.910496,1.0,K88,1.0,3.0
11320,259.9086,4.768921,5130000.0,20.0,Ca,I,2.5212630000000003,1.0,7.290137,1.0,K88,1.0,3.0
11337,260.0026,4.7671980000000005,1610000.0,20.0,Ca,I,2.522987,2.0,7.290137,1.0,K88,1.0,3.0
11915,262.0,4.730857,593100.0,20.0,Ca,I,2.5212630000000003,1.0,7.252072999999999,1.0,K88,1.0,3.0
12007,262.3648,4.72428,381900.0,20.0,Ca,I,3.910399,1.0,8.634631,1.0,K88,1.0,3.0
12051,262.5126,4.72162,427000.0,20.0,Ca,I,2.522987,2.0,7.244559,1.0,K88,1.0,3.0
12146,262.8796,4.715028,416100.0,20.0,Ca,I,2.709009,2.0,7.423989999999999,1.0,K88,1.0,3.0
12335,263.6363,4.7014949999999995,719000.0,20.0,Ca,I,4.130814,0.0,8.832262,1.0,K88,1.0,3.0
12756,265.2875,4.672235,1307000.0,20.0,Ca,I,4.130814,0.0,8.803002000000001,1.0,K88,1.0,3.0
12904,265.9172,4.6611709999999995,1359000.0,20.01,Ca,II,6.467875,0.5,11.128999,1.5,K88,2.0,4.0
12915,265.9565,4.660483,1359000.0,20.01,Ca,II,6.467875,0.5,11.128311,0.5,K88,2.0,2.0
13145,266.8027,4.645702,1443000.0,20.0,Ca,I,4.130814,0.0,8.776469,1.0,K88,1.0,3.0
13324,267.4897,4.633769999999999,466800.0,20.0,Ca,I,3.910399,1.0,8.544122999999999,1.0,K88,1.0,3.0
13803,269.2684,4.6031629999999994,929800.0,20.0,Ca,I,2.5212630000000003,1.0,7.12438,1.0,K88,1.0,3.0
13839,269.3693,4.601439,2858000.0,20.0,Ca,I,2.522987,2.0,7.12438,1.0,K88,1.0,3.0
14749,272.724,4.544842,6536000.0,20.0,Ca,I,2.709009,2.0,7.253806,1.0,K88,1.0,3.0
14885,273.28,4.535595,958400.0,20.0,Ca,I,2.709009,2.0,7.244559,1.0,K88,1.0,3.0
14957,273.4813,4.5322569999999995,1205000.0,20.0,Ca,I,0.0,0.0,4.532211,1.0,K88,1.0,3.0
15363,274.9338,4.508314,760800.0,20.0,Ca,I,1.885807,1.0,6.394076,1.0,K88,1.0,3.0
15432,275.2056,4.503862000000001,2821000.0,20.0,Ca,I,4.130814,0.0,8.634631,1.0,K88,1.0,3.0
15575,275.7368,4.495186,1296000.0,20.0,Ca,I,1.8989349999999998,2.0,6.394076,1.0,K88,1.0,3.0
15725,276.2085,4.487508999999999,296000.0,20.0,Ca,I,1.8793400000000002,0.0,6.366804,1.0,K88,1.0,3.0
15813,276.4722,4.483229,443200.0,20.0,Ca,I,1.885807,1.0,6.368991,2.0,K88,1.0,5.0
