,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
30485,334.747,3.7027900000000002,208200.0,55.0,Cs,I,0.0,0.5,3.702753,1.5,WA,1.0,4.0
31772,339.7946,3.647788,300200.0,55.0,Cs,I,0.0,0.5,3.6477510000000004,1.5,WA,1.0,4.0
33653,347.679,3.5650690000000003,465000.0,55.0,Cs,I,0.0,0.5,3.565033,1.5,WA,1.0,4.0
36856,361.1431,3.4321599999999997,793300.0,55.0,Cs,I,0.0,0.5,3.4321260000000002,1.5,WA,1.0,4.0
43324,387.6106,3.197805,1574000.0,55.0,Cs,I,0.0,0.5,3.1977729999999998,1.5,WA,1.0,4.0
43629,388.8565,3.187559,442900.0,55.0,Cs,I,0.0,0.5,3.187527,0.5,WA,1.0,2.0
56916,455.5225,2.721038,4186000.0,55.0,Cs,I,0.0,0.5,2.721011,1.5,WA,1.0,4.0
57491,459.3108,2.698595,1576000.0,55.0,Cs,I,0.0,0.5,2.698568,0.5,WA,1.0,2.0
68584,556.8411,2.225967,379700.0,55.0,Cs,I,1.3859290000000002,0.5,3.611874,0.5,WA,1.0,2.0
69513,566.3948,2.188421,1602000.0,55.0,Cs,I,1.3859290000000002,0.5,3.574328,1.5,WA,1.0,4.0
70288,574.5724,2.157275,522600.0,55.0,Cs,I,1.454621,1.5,3.611874,0.5,WA,1.0,2.0
71194,583.8835,2.122873,566500.0,55.0,Cs,I,1.3859290000000002,0.5,3.508781,0.5,WA,1.0,2.0
71251,584.505,2.120616,2589000.0,55.0,Cs,I,1.454621,1.5,3.575216,2.5,WA,1.0,6.0
71281,584.7498,2.119728,419600.0,55.0,Cs,I,1.454621,1.5,3.574328,1.5,WA,1.0,4.0
72593,601.0487,2.062247,2845000.0,55.0,Cs,I,1.3859290000000002,0.5,3.4481559999999996,1.5,WA,1.0,4.0
72768,603.409,2.0541810000000003,909100.0,55.0,Cs,I,1.454621,1.5,3.508781,0.5,WA,1.0,2.0
73945,621.3077,1.995004,4170000.0,55.0,Cs,I,1.454621,1.5,3.4496050000000005,2.5,WA,1.0,6.0
73974,621.7595,1.993555,699200.0,55.0,Cs,I,1.454621,1.5,3.4481559999999996,1.5,WA,1.0,4.0
74791,635.4555,1.9505880000000002,965400.0,55.0,Cs,I,1.3859290000000002,0.5,3.336497,0.5,WA,1.0,2.0
76242,658.651,1.881895,1681000.0,55.0,Cs,I,1.454621,1.5,3.336497,0.5,WA,1.0,2.0
77110,672.3279,1.8436130000000002,5268000.0,55.0,Cs,I,1.3859290000000002,0.5,3.229523,1.5,WA,1.0,4.0
78697,697.3269,1.77752,7514000.0,55.0,Cs,I,1.454621,1.5,3.232123,2.5,WA,1.0,6.0
78759,698.3484,1.77492,1296000.0,55.0,Cs,I,1.454621,1.5,3.229523,1.5,WA,1.0,4.0
80150,722.8534,1.71475,7774000.0,55.0,Cs,I,1.797679,1.5,3.5124120000000003,2.5,WA,1.0,6.0
80427,727.9902,1.702651,467200.0,55.0,Cs,I,1.8097779999999999,2.5,3.5124120000000003,2.5,WA,1.0,6.0
80429,727.9957,1.702638,7007000.0,55.0,Cs,I,1.8097779999999999,2.5,3.512399,3.5,WA,1.0,8.0
82118,760.8904,1.62903,1969000.0,55.0,Cs,I,1.3859290000000002,0.5,3.014942,0.5,WA,1.0,2.0
82122,760.9395,1.628925,66700.0,55.0,Cs,I,1.797679,1.5,3.426587,0.5,WA,1.0,2.0
82306,764.0168,1.622364,62180.0,55.0,Cs,I,1.8097779999999999,2.5,3.4321260000000002,1.5,WA,1.0,4.0
83811,794.3882,1.560337,3621000.0,55.0,Cs,I,1.454621,1.5,3.014942,0.5,WA,1.0,2.0
