,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
5,200.0519,6.195658,116300000.0,25.01,Mn,II,3.937881,2.0,10.133476,1.0,K88,2.0,3.0
22,200.2195,6.1904699999999995,1655000.0,25.0,Mn,I,2.114214,4.5,8.304623,3.5,K88,1.0,8.0
35,200.3347,6.186913,350000.0,25.01,Mn,II,1.8094029999999999,3.0,7.9962539999999995,4.0,K88,2.0,9.0
36,200.3414,6.186704,877700.0,25.01,Mn,II,4.0712269999999995,1.0,10.257869,2.0,K88,2.0,5.0
37,200.3426,6.186669,1996000.0,25.01,Mn,II,3.937881,2.0,10.124488000000001,3.0,K88,2.0,7.0
42,200.3841,6.185387,75690000.0,25.0,Mn,I,0.0,2.5,6.185325,3.5,K88,1.0,8.0
49,200.4092,6.184611,321400.0,25.01,Mn,II,4.309952,5.0,10.494501,6.0,K88,2.0,13.0
51,200.4239,6.184158,360600.0,25.01,Mn,II,4.073772,3.0,10.257869,2.0,K88,2.0,5.0
55,200.4315,6.183923,1656000.0,25.01,Mn,II,4.074008,2.0,10.257869,2.0,K88,2.0,5.0
57,200.4545,6.183216000000001,24630000.0,25.01,Mn,II,4.823208,4.0,11.006362,5.0,K88,2.0,11.0
58,200.4587,6.183084,4951000.0,25.01,Mn,II,4.692576,2.0,10.875599000000001,3.0,K88,2.0,7.0
61,200.5153,6.181339,2435000.0,25.01,Mn,II,4.073772,3.0,10.255049,3.0,K88,2.0,7.0
63,200.523,6.181103,2205000.0,25.01,Mn,II,4.074008,2.0,10.255049,3.0,K88,2.0,7.0
74,200.6352,6.1776480000000005,1718000.0,25.01,Mn,II,4.508635,1.0,10.68622,2.0,K88,2.0,5.0
79,200.6681,6.176635,2151000.0,25.01,Mn,II,4.0651779999999995,4.0,10.241750999999999,4.0,K88,2.0,9.0
98,200.79,6.172884,1070000.0,25.01,Mn,II,4.497475,2.0,10.670297,3.0,K88,2.0,7.0
102,200.818,6.1720239999999995,1239000.0,25.01,Mn,II,4.5165169999999994,0.0,10.688479,1.0,K88,2.0,3.0
115,200.9063,6.169311,1438000.0,25.01,Mn,II,4.936267,2.0,11.105516,3.0,K88,2.0,7.0
120,200.9477,6.16804,3753000.0,25.01,Mn,II,4.073772,3.0,10.241750999999999,4.0,K88,2.0,9.0
122,200.9611,6.167631,2136000.0,25.01,Mn,II,5.369917,1.0,11.537486,0.0,K88,2.0,1.0
129,201.0227,6.165739,5601000.0,25.01,Mn,II,5.472534,1.0,11.638211,1.0,K88,2.0,3.0
131,201.0259,6.165642,4572000.0,25.01,Mn,II,4.692984,3.0,10.858564999999999,4.0,K88,2.0,9.0
138,201.0984,6.1634199999999995,1089000.0,25.01,Mn,II,5.815263,2.0,11.978622,2.0,K88,2.0,5.0
141,201.1183,6.1628099999999995,1667000.0,25.01,Mn,II,3.90732,4.0,10.070068,3.0,K88,2.0,7.0
145,201.1451,6.16199,640800.0,25.0,Mn,I,2.1426950000000002,3.5,8.304623,3.5,K88,1.0,8.0
150,201.173,6.161135,724000.0,25.01,Mn,II,4.937899,1.0,11.098972,2.0,K88,2.0,5.0
153,201.1932,6.160515,52790000.0,25.01,Mn,II,4.122301,4.0,10.282755,3.0,K88,2.0,7.0
156,201.2109,6.159974,58790000.0,25.01,Mn,II,4.109792,5.0,10.269703999999999,4.0,K88,2.0,9.0
159,201.2312,6.159351,1417000.0,25.01,Mn,II,4.497475,2.0,10.656764,3.0,K88,2.0,7.0
169,201.2795,6.157873,14150000.0,25.01,Mn,II,4.309952,5.0,10.467764,5.0,K88,2.0,11.0
172,201.3153,6.156781,5808000.0,25.01,Mn,II,4.126035,3.0,10.282755,3.0,K88,2.0,7.0
185,201.3892,6.154521,39250000.0,25.01,Mn,II,4.126035,3.0,10.280494000000001,2.0,K88,2.0,5.0
195,201.4319,6.1532160000000005,383200.0,25.0,Mn,I,2.1426950000000002,3.5,8.29585,2.5,K88,1.0,6.0
197,201.4482,6.152719,730400.0,25.01,Mn,II,4.508635,1.0,10.661292,2.0,K88,2.0,5.0
198,201.4757,6.151879,3091000.0,25.01,Mn,II,3.925583,3.0,10.0774,4.0,K88,2.0,9.0
213,201.5929,6.148301999999999,1671000.0,25.01,Mn,II,3.7033440000000004,2.0,9.851583,2.0,K88,2.0,5.0
220,201.6204,6.147465,5242000.0,25.01,Mn,II,4.122301,4.0,10.269703999999999,4.0,K88,2.0,9.0
221,201.6265,6.147277,9370000.0,25.01,Mn,II,5.472534,1.0,11.619749,0.0,K88,2.0,1.0
231,201.7057,6.144865,18130000.0,25.01,Mn,II,3.937881,2.0,10.082684,1.0,K88,2.0,3.0
233,201.7089,6.144767,257800.0,25.01,Mn,II,4.074008,2.0,10.218713000000001,3.0,K88,2.0,7.0
235,201.7161,6.144547,4298000.0,25.01,Mn,II,3.925583,3.0,10.070068,3.0,K88,2.0,7.0
237,201.743,6.143730000000001,467700.0,25.01,Mn,II,4.126035,3.0,10.269703999999999,4.0,K88,2.0,9.0
242,201.7712,6.142869999999999,1607000.0,25.01,Mn,II,4.309952,5.0,10.452761,4.0,K88,2.0,9.0
247,201.8313,6.141041,622000.0,25.01,Mn,II,4.073772,3.0,10.214752,3.0,K88,2.0,7.0
248,201.8391,6.140805,1931000.0,25.01,Mn,II,4.074008,2.0,10.214752,3.0,K88,2.0,7.0
251,201.8681,6.139921,1856000.0,25.0,Mn,I,2.114214,4.5,8.254074000000001,5.5,K88,1.0,12.0
253,201.8838,6.139444,1053000.0,25.01,Mn,II,4.328380999999999,4.0,10.467764,5.0,K88,2.0,11.0
254,201.8915,6.139211,3400000.0,25.01,Mn,II,5.4367589999999995,2.0,11.575909,1.0,K88,2.0,3.0
269,202.0135,6.135505,4520000.0,25.01,Mn,II,3.925583,3.0,10.061026,2.0,K88,2.0,5.0
270,202.0145,6.135473999999999,814900.0,25.01,Mn,II,5.5477300000000005,2.0,11.683143,2.0,K88,2.0,5.0
273,202.0447,6.134558,2985000.0,25.01,Mn,II,4.800671,6.0,10.935167,6.0,K88,2.0,13.0
284,202.1023,6.13281,4630000.0,25.01,Mn,II,4.122301,4.0,10.255049,3.0,K88,2.0,7.0
289,202.1207,6.132249,2463000.0,25.01,Mn,II,3.937881,2.0,10.070068,3.0,K88,2.0,7.0
292,202.1324,6.131895,17160000.0,25.01,Mn,II,4.126035,3.0,10.257869,2.0,K88,2.0,5.0
302,202.1826,6.130375,18880000.0,25.01,Mn,II,4.0651779999999995,4.0,10.195491,5.0,K88,2.0,11.0
315,202.2254,6.129075,424700.0,25.01,Mn,II,4.126035,3.0,10.255049,3.0,K88,2.0,7.0
329,202.2879,6.127182,7867000.0,25.01,Mn,II,4.068954,0.0,10.196075,1.0,K88,2.0,3.0
338,202.363,6.124909,6287000.0,25.01,Mn,II,4.0712269999999995,1.0,10.196075,1.0,K88,2.0,3.0
340,202.3785,6.124441,18290000.0,25.01,Mn,II,4.328380999999999,4.0,10.452761,4.0,K88,2.0,9.0
345,202.4193,6.123207,341500.0,25.01,Mn,II,3.937881,2.0,10.061026,2.0,K88,2.0,5.0
354,202.4549,6.122128,544600.0,25.01,Mn,II,4.074008,2.0,10.196075,1.0,K88,2.0,3.0
361,202.5428,6.119472,954600.0,25.01,Mn,II,4.0712269999999995,1.0,10.190638,2.0,K88,2.0,5.0
375,202.6349,6.116691,667500.0,25.01,Mn,II,4.074008,2.0,10.190638,2.0,K88,2.0,5.0
382,202.7238,6.1140099999999995,470900.0,25.01,Mn,II,4.936267,2.0,11.050216,3.0,K88,2.0,7.0
387,202.7645,6.112783,1908000.0,25.01,Mn,II,4.340038,3.0,10.452761,4.0,K88,2.0,9.0
393,202.8234,6.111007,822900.0,25.01,Mn,II,4.93562,3.0,11.046565,4.0,K88,2.0,9.0
402,202.8754,6.109442,1510000.0,25.01,Mn,II,4.800671,6.0,10.910051,5.0,K88,2.0,11.0
419,203.0107,6.1053690000000005,652500.0,25.01,Mn,II,4.073772,3.0,10.17908,4.0,K88,2.0,9.0
421,203.019,6.105119999999999,218200.0,25.0,Mn,I,2.1426950000000002,3.5,8.247753999999999,4.5,K88,1.0,10.0
425,203.047,6.104279,1590000.0,25.01,Mn,II,3.8037739999999998,5.0,9.907993,4.0,K88,2.0,9.0
431,203.075,6.103436,1727000.0,25.01,Mn,II,5.472534,1.0,11.575909,1.0,K88,2.0,3.0
433,203.1136,6.102277,8900000.0,25.01,Mn,II,4.0712269999999995,1.0,10.173442999999999,2.0,K88,2.0,5.0
434,203.1199,6.1020900000000005,5874000.0,25.01,Mn,II,3.7844559999999996,6.0,9.886485,5.0,K88,2.0,11.0
437,203.162,6.100825,963600.0,25.01,Mn,II,4.0651779999999995,4.0,10.165942,4.0,K88,2.0,9.0
441,203.2062,6.099496,4074000.0,25.01,Mn,II,4.074008,2.0,10.173442999999999,2.0,K88,2.0,5.0
442,203.2097,6.099393,1462000.0,25.01,Mn,II,4.073772,3.0,10.173103999999999,3.0,K88,2.0,7.0
443,203.2175,6.099157,7044000.0,25.01,Mn,II,4.074008,2.0,10.173103999999999,3.0,K88,2.0,7.0
457,203.307,6.0964730000000005,542600.0,25.01,Mn,II,4.122301,4.0,10.218713000000001,3.0,K88,2.0,7.0
472,203.3923,6.093918,19580000.0,25.01,Mn,II,4.309952,5.0,10.403808999999999,5.0,K88,2.0,11.0
477,203.4392,6.092512,239800.0,25.01,Mn,II,4.122301,4.0,10.214752,3.0,K88,2.0,7.0
481,203.4486,6.092230000000001,12670000.0,25.01,Mn,II,4.073772,3.0,10.165942,4.0,K88,2.0,9.0
487,203.5134,6.09029,7420000.0,25.01,Mn,II,3.8037739999999998,5.0,9.894003,4.0,K88,2.0,9.0
488,203.5289,6.089828,322400.0,25.01,Mn,II,3.818226,4.0,9.907993,4.0,K88,2.0,9.0
491,203.5452,6.08934,1433000.0,25.01,Mn,II,4.309952,5.0,10.399232000000001,4.0,K88,2.0,9.0
495,203.6069,6.087494,2036000.0,25.01,Mn,II,4.0651779999999995,4.0,10.152611,5.0,K88,2.0,11.0
498,203.6267,6.086904,272800.0,25.01,Mn,II,4.823208,4.0,10.910051,5.0,K88,2.0,11.0
502,203.665,6.08576,340900.0,25.01,Mn,II,4.109792,5.0,10.195491,5.0,K88,2.0,11.0
509,203.7315,6.083772,143500000.0,25.01,Mn,II,3.7844559999999996,6.0,9.868167999999999,6.0,K88,2.0,13.0
513,203.765,6.082772,121100000.0,25.01,Mn,II,3.8037739999999998,5.0,9.886485,5.0,K88,2.0,11.0
520,203.8343,6.080703,2620000.0,25.01,Mn,II,3.7033440000000004,2.0,9.783986,2.0,K88,2.0,5.0
522,203.8527,6.080157,5571000.0,25.01,Mn,II,4.823208,4.0,10.903303999999999,4.0,K88,2.0,9.0
532,203.9203,6.0781410000000005,3190000.0,25.01,Mn,II,4.328380999999999,4.0,10.406461,3.0,K88,2.0,7.0
534,203.9284,6.0779,324300.0,25.01,Mn,II,5.566868,3.0,11.644707,2.0,K88,2.0,5.0
545,203.9926,6.0759870000000005,242900.0,25.01,Mn,II,4.073772,3.0,10.149699,4.0,K88,2.0,9.0
547,203.9976,6.075838,117000000.0,25.01,Mn,II,3.818226,4.0,9.894003,4.0,K88,2.0,9.0
570,204.1151,6.072341000000001,940000.0,25.01,Mn,II,4.0712269999999995,1.0,10.143507000000001,2.0,K88,2.0,5.0
576,204.1632,6.070911,13730000.0,25.01,Mn,II,4.328380999999999,4.0,10.399232000000001,4.0,K88,2.0,9.0
582,204.2086,6.06956,675700.0,25.01,Mn,II,4.074008,2.0,10.143507000000001,2.0,K88,2.0,5.0
583,204.2157,6.069349,7752000.0,25.01,Mn,II,4.109792,5.0,10.17908,4.0,K88,2.0,9.0
584,204.2504,6.06832,4668000.0,25.01,Mn,II,3.818226,4.0,9.886485,5.0,K88,2.0,11.0
590,204.3122,6.066484,32300000.0,25.01,Mn,II,4.340038,3.0,10.406461,3.0,K88,2.0,7.0
593,204.3617,6.0650129999999995,5371000.0,25.01,Mn,II,5.472534,1.0,11.537486,0.0,K88,2.0,1.0
595,204.3735,6.0646629999999995,2366000.0,25.01,Mn,II,4.126035,3.0,10.190638,2.0,K88,2.0,5.0
