element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Mo	6	"200.2474"	"0.0005"	"200.2481"	"0.0010"	"250000"	"2.23e+09"		"48.996610"	"55.18614"	"4p6.5g"	"2G"	"9/2"	"4p6.6h"	"2H*"	"11/2"	10	12		"T8723"	"L15083"	
Mo	6	"200.2525"	"0.0005"	"200.2510"	"0.0010"	"200000"	"2.19e+09"		"48.996242"	"55.18568"	"4p6.5g"	"2G"	"7/2"	"4p6.6h"	"2H*"	"9/2"	8	10		"T8723"	"L15083"	
Mo	6	"200.3675"	"0.0005"	"200.3675"	"0.0010"	"15000"	"9.12e+08"		"48.855404"	"55.041243"	"4p5.(2P*).4d2.(1S)"	"2F*"	"5/2"	"4p6.6g"	"2G"	"7/2"	6	8		"T8723"	"L15083"	
Mo	6	"201.4286"	"0.0005"	"201.4287"	"0.0010"	"100"	"7.75e+07"		"47.926360"	"54.079614"	"4p6.6d"	"2D"	"5/2"	"4p6.6f"	"2F*"	"5/2"	6	6		"T8723"	"L15083"	
Mo	5	"201.4782"	"0.0005"	"201.4780"	"0.0003"	"2000"	"3.8e+08"	C	"29.260521"	"35.412270"	"4p6.4d.5d"	"1P"	"1"	"4p6.4d.6p"	"1P*"	"1"	3	3		"T9479"	"L19131"	
Mo	6	"203.6226"	"0.0005"	"203.6231"	"0.0010"	"200"	"1.59e+07"		"41.79148"	"47.878431"	"4p5.(2P*).4d2.(1D)"	"2F*"	"5/2"	"4p6.6d"	"2D"	"3/2"	6	4		"T8723"	"L15083"	
Mo	6	"207.2178"	"0.0030"	"207.2098"	"0.0010"	"150*"	"2.87e+08"		"55.18568"	"61.167279"	"4p6.6h"	"2H*"	"9/2"	"4p6.8i"	"2I"	"11/2"	10	12		"T8723"	"L15083"	
Mo	6	"207.2178"	"0.0030"	"207.2222"	"0.0010"	"150*"	"2.91e+08"		"55.18614"	"61.167380"	"4p6.6h"	"2H*"	"11/2"	"4p6.8i"	"2I"	"13/2"	12	14		"T8723"	"L15083"	
Mo	5	"210.0330"	"0.0005"	"210.0335"	"0.0004"	"50000"	"1.8e+08"	C	"12.321599"	"18.222795"	"4p6.4d.5s"	"1D"	"2"	"4p6.4d.5p"	"1D*"	"2"	5	5		"T9479"	"L19131"	
Mo	5	"211.2819"	"0.0005"	"211.2818"	"0.0003"	"350"	"7.e+07"	E	"28.911914"	"34.778246"	"4p6.4d.5d"	"3D"	"1"	"4p6.4d.6p"	"3P*"	"1"	3	3		"T9479"	"L19131"	
Mo	5	"212.2973"	"0.0005"	"212.2977"	"0.0004"	"220"	"2.2e+08"	E	"28.911914"	"34.750178"	"4p6.4d.5d"	"3D"	"1"	"4p6.4d.6p"	"3P*"	"0"	3	1		"T9479"	"L19131"	
Mo	5	"213.0750"	"0.0005"	"213.0751"	"0.0003"	"640"	"3.0e+07"	E	"28.833904"	"34.650869"	"4p6.4d.5d"	"1F"	"3"	"4p6.4d.6p"	"3D*"	"3"	7	7		"T9479"	"L19131"	
Mo	6	"215.0690"	"0.0005"	"215.0692"	"0.0010"	"50"	"8.74e+06"		"43.233573"	"48.996610"	"4p5.(2P*).4d2.(1G)"	"2G*"	"7/2"	"4p6.5g"	"2G"	"9/2"	8	10		"T8723"	"L15083"	
Mo	5	"215.2719"	"0.0005"	"215.2723"	"0.0003"	"1900"	"7.9e+07"	C	"28.833904"	"34.591505"	"4p6.4d.5d"	"1F"	"3"	"4p6.4d.6p"	"3F*"	"3"	7	7		"T9479"	"L19131"	
Mo	5	"215.3080"	"0.0005"	"215.3084"	"0.0004"	"190"	"9.e+07"	D	"29.655634"	"35.412270"	"4p6.4d.5d"	"3S"	"1"	"4p6.4d.6p"	"1P*"	"1"	3	3		"T9479"	"L19131"	
