g,LeveleV
8,0.000000,
8,3.496362,
6,3.549487,
8,3.936001,
10,3.961817,
18,3.976582,
12,3.989756,
16,4.005654,
14,4.006443,
4,4.197636,
6,4.264363,
8,4.352944,
4,4.417230,
10,4.459976,
12,4.582740,
2,4.717612,
14,4.719747,
8,4.739801,
4,4.750660,
6,4.814128,
4,4.837164,
10,4.863368,
16,4.871301,
8,4.907252,
6,4.914347,
6,4.930734,
12,4.975873,
8,5.005447,
10,5.023645,
18,5.041124,
8,5.067309,
6,5.070664,
10,5.103130,
12,5.154422,
12,5.205836,
10,5.217782,
8,5.273161,
14,5.288943,
14,5.312732,
6,5.380387,
16,5.413021,
8,5.441080,
10,5.523967,
12,5.618189,
2,5.715225,
6,5.716761,
14,5.721976,
4,5.767653,
8,5.801640,
16,5.835920,
6,5.848749,
10,5.915874,
8,5.950468,
2,5.983430,
6,6.012791,
4,6.054013,
10,6.065946,
12,6.085904,
8,6.111499,
6,6.150957,
6,6.187511,
12,6.190030,
10,6.193845,
8,6.252068,
8,6.299089,
14,6.318891,
12,6.403879,
10,6.428355,
14,6.459561,
12,6.566213,
2,9.792503,
4,9.848955,
2,9.874016,
6,9.937764,
4,9.950176,
8,10.050096,
6,10.051062,
8,10.164861,
10,10.179332,
10,10.285063,
4,10.291871,
12,10.321473,
6,10.387022,
12,10.409705,
14,10.475023,
4,10.477947,
2,10.484486,
8,10.494092,
6,10.531019,
10,10.598161,
8,10.626079,
6,10.653750,
12,10.697612,
10,10.756880,
4,10.778384,
8,10.779785,
14,10.791750,
16,10.874673,
6,10.888414,
12,10.905625,
10,10.931248,
8,11.004025,
14,11.056729,
10,11.113841,
12,11.177800,
,24.84,

#ignore,test#12.66
