g,LeveleV
4,0.0000000,
2,0.9426481,
6,6.7736857,
4,6.9546309,
2,7.5501719,
4,7.6646757,
2,7.8341595,
6,8.0473543,
4,8.0577323,
6,8.1388777,
8,8.1420408,
2,8.1652224,
8,8.1848197,
6,8.1854949,
4,8.2269830,
4,8.3146444,
2,8.3439293,
10,8.3970053,
4,8.4990849,
8,8.5002996,
6,8.5038107,
2,8.5072668,
6,8.6976404,
4,8.7228877,
2,8.8650537,
2,8.9037960,
6,8.9149271,
4,8.9239828,
4,8.9634229,
6,8.9924725,
4,9.0269379,
4,9.0576158,
2,9.0650807,
2,9.0988512,
2,9.1100904,
4,9.1301096,
6,9.1494545,
8,9.1720677,
4,9.2476609,
6,9.2945542,
4,9.3049538,
6,9.3207892,
6,9.3225376,
8,9.3228748,
2,9.3363902,
8,9.3621869,
4,9.3758620,
10,9.3861171,
2,9.3873920,
4,9.4009666,
6,9.4102634,
8,9.4233857,
6,9.4360093,
4,9.4397109,
2,9.4745976,
4,9.5154125,
6,9.5347902,
10,9.5847918,
8,9.5848811,
6,9.5848877,
8,9.5856472,
4,9.5910005,
6,9.5913661,
12,9.5916814,
10,9.5917650,
2,9.5969178,
4,9.5972181,
6,9.6026641,
4,9.6156967,
4,9.7222515,
2,9.7223040,
6,9.7442370,
6,9.7615526,
2,9.7674884,
4,9.771869,
8,9.7754477,
6,9.7767426,
2,9.7810540,
4,9.7812606,
8,9.7828568,
6,9.7877269,
8,9.7951975,
4,9.7985942,
10,9.8015689,
8,9.8134175,
4,9.8226055,
2,9.8301210,
2,9.8435029,
4,9.8438366,
6,9.8466377,
2,9.8817379,
10,9.8976090,
8,9.8980249,
4,9.898267,
6,9.8989172,
6,9.8994525,
8,9.8998510,
12,9.9012553,
10,9.9013248,
4,9.9040292,
2,9.9040726,
10,9.904840,
12,9.904842,
8,9.904851,
10,9.904853,
8,9.905767,
6,9.905792,
12,9.906305,
14,9.906309,
4,9.906925,
6,9.906940,
6,9.9081578,
4,9.9121800,
4,9.9236678,
6,9.934290,
10,9.992789,
4,9.995126,
6,9.996142,
6,10.000445,
8,10.000722,
8,10.002570,
6,10.003060,
4,10.004402,
2,10.004777,
2,10.008110,
10,10.014494,
4,10.015750,
4,10.017648,
4,10.021096,
8,10.026498,
6,10.028126,
4,10.0517232,
10,10.067485,
8,10.067723,
6,10.068185,
8,10.068402,
4,10.069582,
12,10.069628,
10,10.069687,
6,10.069891,
2,10.070727,
4,10.070894,
6,10.074020,
4,10.089131,
2,10.105555,
2,10.117709,
6,10.122350,
4,10.125276,
8,10.128150,
4,10.128791,
6,10.128827,
6,10.129014,
8,10.129174,
4,10.132348,
4,10.134163,
2,10.135070,
10,10.137019,
8,10.140695,
10,10.169769,
8,10.169923,
6,10.170167,
2,10.170244,
8,10.170338,
4,10.170863,
12,10.171134,
10,10.171174,
6,10.171809,
4,10.172332,
6,10.175894,
4,10.178335,
6,10.184621,
4,10.186513,
6,10.193229,
4,10.195899,
8,10.202600,
6,10.209392,
8,10.209505,
10,10.214492,
8,10.215698,
6,10.215987,
4,10.219292,
4,10.219602,
4,10.220160,
6,10.227676,
4,10.228223,
10,10.236049,
8,10.236145,
6,10.236302,
12,10.236969,
10,10.236991,
4,10.237062,
6,10.237226,
4,10.237569,
6,10.239180,
4,10.242197,
2,10.243048,
6,10.246200,
8,10.262472,
6,10.264998,
10,10.266483,
8,10.267433,
10,10.281413,
8,10.281481,
6,10.281582,
4,10.282060,
12,10.282072,
10,10.282093,
4,10.282592,
10,10.303068,
8,10.303277,
10,10.313820,
8,10.313862,
12,10.314307,
10,10.314316,
10,10.329760,
10,10.337764,
12,10.338127,
10,10.338143,
12,10.356233,
,10.451260,
18,10.705085,
14,10.783677,
22,10.783993,
18,10.785227,
,11.250698,
,11.329936,
,12.153216,
,14.108955,

#ignore,test#4.88
