g,LeveleV
4,0.00000000,
2,0.09676024,
2,26.910472,
6,27.16875174,
4,27.2329339,
2,27.27000770,
4,27.78324821,
2,27.85915908,
6,30.52396899,
6,30.54897749,
4,30.54939418,
4,30.55156804,
2,30.57421575,
8,30.88553180,
6,30.92735780,
4,30.95829705,
2,30.97616485,
6,31.12141637,
4,31.18476555,
2,31.34301510,
4,31.36223939,
4,31.51244241,
2,31.52821065,
6,34.01687000,
8,34.02239020,
4,34.25396207,
2,34.2830939,
2,34.3035902,
4,34.3839892,
6,34.38630670,
8,34.6086522,
6,34.61869947,
4,34.63187052,
2,34.6440204,
10,34.7370230,
8,34.7480986,
6,34.7489205,
4,34.77428890,
8,34.80245657,
2,34.81085841,
6,34.81442056,
4,34.83299812,
4,34.83826076,
6,34.84277499,
6,34.86080527,
2,34.8807871,
4,34.92886254,
6,34.96332866,
4,35.01007584,
2,35.04793112,
4,35.12749222,
2,35.19841919,
6,36.00153059,
4,36.02771897,
2,36.05507591,
8,36.1044477,
6,36.14077610,
4,36.1788195,
2,36.1994328,
6,36.2074931,
4,36.25939694,
2,36.2711665,
4,36.2841366,
4,36.46207411,
2,36.4926649,
8,37.4185624,
6,37.4253334,
4,37.4367781,
2,37.4503262,
10,37.4671457,
8,37.4739467,
6,37.4813807,
4,37.4960221,
2,37.5021924,
8,37.5363133,
4,37.5445181,
10,37.5460164,
8,37.5462806,
2,37.5463535,
6,37.5472841,
8,37.5478097,
6,37.5478811,
6,37.5536404,
4,37.5551307,
6,37.5552644,
10,37.5591893,
12,37.5591918,
4,37.5623819,
2,37.5658308,
4,37.5659481,
6,37.5761142,
4,37.5967073,
6,37.6019142,
4,37.6302529,
6,37.6303838,
4,37.6314588,
10,37.6326419,
8,37.6327393,
8,37.6415915,
6,37.6416644,
8,37.6694014,
6,37.6694582,
2,37.6822788,
4,37.6880053,
2,37.7457753,
10,37.8603113,
8,37.8604491,
4,37.8646002,
2,37.8658278,
4,37.8854700,
2,37.8873702,
2,37.9405355,
6,37.9693434,
4,37.9717422,
6,38.0243755,
8,38.0244230,
6,38.0506625,
4,38.0718040,
8,38.0929919,
2,38.1015169,
6,38.1153245,
4,38.1591977,
6,38.1740924,
2,38.1879819,
2,38.1899796,
6,38.1996861,
4,38.1997309,
4,38.2041026,
4,38.2091012,
4,38.2786348,
2,38.3082452,
8,38.7107823,
6,38.7150642,
4,38.7234437,
10,38.7336086,
2,38.7345146,
8,38.7377045,
6,38.7456240,
4,38.7542089,
2,38.7556217,
10,38.7777806,
8,38.7779776,
8,38.7787847,
6,38.7788391,
4,38.7827565,
6,38.7828416,
10,38.7835808,
12,38.7835817,
8,38.7836930,
10,38.7836960,
12,38.7843216,
10,38.7843264,
6,38.7853272,
8,38.7853291,
12,38.7864002,
14,38.7864024,
4,38.787601,
6,38.7876037,
2,38.7876635,
4,38.7877813,
6,38.7950853,
8,38.8063550,
2,38.8078231,
4,38.8097589,
6,38.8160168,
4,38.8229897,
6,38.8242289,
4,38.8293979,
6,38.8499635,
4,38.8590081,
6,38.8591320,
4,38.8598104,
10,38.8605494,
8,38.8606478,
6,38.8637778,
8,38.8637841,
10,38.8643291,
12,38.8643301,
8,38.8653146,
6,38.8653769,
8,38.8665890,
10,38.8665929,
