g,LeveleV
4,0.0000000,
4,1.0553690,
6,1.2217425,
2,2.0327654,
4,2.2892693,
2,5.3622344,
4,5.6964962,
2,5.8261487,
6,5.9924568,
4,6.1237200,
2,6.4070616,
4,6.5231165,
6,6.6260834,
4,6.6366207,
2,6.7195242,
6,6.8341259,
4,6.8357764,
6,6.83588,
,6.84000,
4,6.8480146,
6,6.8503913,
6,6.9094241,
4,6.9263559,
2,6.9423536,
4,6.9619362,
8,7.0085951,
2,7.0297315,
4,7.0340156,
6,7.1026892,
6,7.1179750,
8,7.1359546,
2,7.1411430,
4,7.2004488,
2,7.2075308,
4,7.2641737,
2,7.2720466,
4,7.2836199,
6,7.2946707,
6,7.2980681,
8,7.3081429,
2,7.4065216,
6,7.4892004,
4,7.5110742,
2,7.5339361,
4,7.5586559,
4,7.5630728,
8,7.5786260,
2,7.6109571,
6,7.6412782,
4,7.6633019,
6,7.7443516,
8,7.7447902,
6,7.7492266,
2,7.8060843,
4,7.8349375,
6,7.8750153,
2,7.8861800,
4,7.8915275,
,7.89288,
6,7.9090694,
4,7.9099993,
2,7.9133856,
4,7.9226556,
2,7.9471833,
8,7.9499758,
2,7.9609547,
6,7.9614851,
4,7.9623405,
4,7.9689426,
4,7.9885988,
6,7.9985168,
6,7.9986800,
2,8.0303542,
4,8.0395596,
6,8.0439656,
8,8.0536702,
6,8.0557272,
8,8.0562756,
4,8.0570618,
4,8.076777,
6,8.0891321,
2,8.0909065,
8,8.1090375,
6,8.1160241,
8,8.1169003,
2,8.1184378,
10,8.1244108,
8,8.1248593,
4,8.1290532,
6,8.1294346,
2,8.1401094,
2,8.16601,
2,8.1762246,
4,8.17787,
2,8.1841612,
4,8.1858214,
4,8.186651,
4,8.1969942,
6,8.2223439,
8,8.2227873,
2,8.2268300,
6,8.2277938,
8,8.2332181,
10,8.2360345,
10,8.249312,
4,8.2501012,
2,8.267899,
8,8.2750929,
4,8.2857808,
6,8.2868028,
4,8.3017098,
6,8.303073,
4,8.3135288,
6,8.3137839,
6,8.3272903,
8,8.3274504,
2,8.330746,
4,8.3402302,
6,8.345004,
8,8.3513526,
4,8.3534638,
2,8.356733,
2,8.3598856,
4,8.364606,
4,8.3696938,
4,8.3730460,
6,8.40547,
6,8.41124,
6,8.4302288,
8,8.4305566,
4,8.4328184,
6,8.4338845,
4,8.4339868,
6,8.43658,
4,8.439617,
8,8.4408065,
4,8.44847,
6,8.4493023,
6,8.4504047,
8,8.4512653,
4,8.47403,
10,8.49313,
6,8.51163,
2,8.548177,
4,8.550806,
6,8.55389,
6,8.559534,
2,8.560154,
4,8.561580,
,8.608389,
2,8.66563,
6,8.78809,
6,8.81363,

#ignore,test#8.17
