g,LeveleV
4,0.000000,
6,0.024504,
2,3.166472,
2,7.699952,
4,7.758705,
4,13.918171,
6,13.923791,
2,14.241133,
2,15.883259,
4,15.905084,
6,16.970197,
8,16.970228,
4,18.365783,
6,18.368276,
2,18.497702,
2,19.278276,
4,19.288866,
6,19.772038,
8,19.772038,
8,19.846421,
10,19.846421,
4,20.530860,
6,20.532191,
2,20.600864,
2,21.032426,
4,21.03837,
8,21.298953,
6,21.298953,
10,21.347278,
8,21.347278,
10,21.353125,
12,21.353125,
4,21.753899,
6,21.754709,
2,21.795893,
6,22.219791,
8,22.219791,
8,22.252342,
10,22.252342,
10,22.256201,
12,22.256201,
10,22.839701,
8,22.839701,
,24.756839,

#ignore,test#9.94
