g,LeveleV
4,0.000000,
6,0.249221,
8,0.491463,
10,0.696920,
2,0.750032,
4,0.752449,
6,1.147279,
8,1.203314,
2,1.209958,
4,1.236843,
10,1.325431,
4,1.357654,
6,1.394032,
2,1.462038,
6,1.462535,
8,1.516917,
6,1.595177,
10,1.655369,
6,1.844352,
12,1.873915,
10,1.908242,
4,1.971816,
6,2.135562,
8,2.155232,
4,2.155422,
6,2.230939,
2,2.294293,
6,2.377825,
4,2.437254,
2,2.521887,
8,2.549147,
8,2.559845,
4,2.575439,
6,2.615016,
10,2.622679,
6,2.624449,
4,2.650907,
6,2.680900,
4,2.709683,
6,2.733535,
2,2.756909,
8,2.774832,
12,2.780787,
6,2.781507,
10,2.812174,
8,2.822030,
4,2.832151,
12,2.86917,
2,2.895702,
6,2.896654,
6,2.915159,
14,2.915471,
10,2.964820,
8,2.966530,
4,3.005801,
2,3.039682,
6,3.043341,
2,3.062249,
4,3.067249,
8,3.089426,
10,3.091494,
8,3.097355,
12,3.100700,
6,3.122061,
10,3.122652,
6,3.127385,
10,3.146274,
4,3.158907,
2,3.163163,
10,3.214456,
12,3.226409,
6,3.250819,
4,3.268681,
8,3.294883,
8,3.296235,
4,3.296744,
10,3.30770,
6,3.322127,
2,3.330966,
8,3.342671,
6,3.368380,
10,3.438507,
8,3.444358,
12,3.44465,
6,3.488157,
8,3.494197,
12,3.507016,
4,3.557021,
10,3.566610,
6,3.578433,
6,3.638125,
8,3.685176,
2,3.707409,
8,3.721461,
10,3.722154,
12,3.764312,
8,3.792794,
4,3.801933,
4,3.830451,
4,3.851735,
6,3.896582,
2,3.905625,
10,3.909224,
4,3.912184,
8,3.918018,
6,3.962711,
8,3.983907,
4,3.994144,
6,4.027844,
12,4.100192,
6,4.114412,
8,4.115996,
10,4.153117,
10,4.167790,
6,4.215607,
4,4.225186,
8,4.227199,
6,4.313686,
8,4.314614,
10,4.366468,
4,4.369568,
10,4.401148,
4,4.42884,
8,4.431961,
12,4.440304,
6,4.448115,
6,4.454143,
6,4.465163,
6,4.47201,
8,4.483161,
2,4.50630,
4,4.535349,
10,4.541684,
8,4.562604,
6,4.565838,
10,4.596926,
8,4.605176,
6,4.605467,
2,4.644629,
4,4.652326,
8,4.657001,
6,4.665537,
4,4.681726,
10,4.704313,
12,4.735480,
8,4.742816,
6,4.766943,
2,4.774326,
4,4.779058,
8,4.795591,
6,4.804853,
10,4.812238,
2,4.816197,
4,4.834681,
6,4.842763,
4,4.866760,
14,4.880102,
10,4.887755,
12,4.893486,
2,4.896153,
8,4.90069,
4,4.908263,
8,4.914887,
6,4.920710,
6,4.932900,
8,4.951449,
4,4.987886,
2,4.989712,
8,5.000658,
4,5.00142,
12,5.022647,
10,5.044473,
8,5.053088,
6,5.064954,
14,5.072420,
8,5.081094,
6,5.084601,
2,5.102106,
2,5.10566,
4,5.107860,
8,5.115162,
6,5.155384,
6,5.155875,
4,5.157102,
4,5.169229,
6,5.192363,
2,5.195300,
8,5.209562,
4,5.229500,
10,5.237960,
4,5.257942,
6,5.269526,
8,5.300538,
4,5.303883,
6,5.312070,
8,5.32551,
6,5.32919,
10,5.342514,
4,5.352035,
8,5.353312,
12,5.354269,
6,5.360980,
10,5.379886,
2,5.390610,
10,5.392474,
6,5.392897,
8,5.39744,
6,5.399609,
4,5.432818,
6,5.440531,
4,5.450903,
8,5.453126,
4,5.467201,
12,5.472825,
2,5.473426,
8,5.475834,
10,5.476831,
4,5.498723,
6,5.503212,
10,5.505216,
6,5.512536,
4,5.515308,
2,5.519541,
8,5.538279,
4,5.540768,
8,5.541275,
10,5.555315,
12,5.586398,
8,5.593511,
4,5.609260,
4,5.609816,
6,5.611026,
4,5.613557,
10,5.658246,
8,5.659663,
6,5.667898,
4,5.669001,
12,5.683281,
8,5.68363,
8,5.71079,
6,5.717771,
8,5.724653,
4,5.725189,
6,5.743358,
8,5.754081,
12,5.771729,
4,5.813345,
6,5.818997,
4,5.824037,
6,5.825012,
8,5.828872,
12,5.866879,
12,5.869347,
6,5.876486,
8,5.904361,
8,5.904749,
10,5.926421,
8,5.928572,
8,5.942706,
8,5.959872,
6,5.987253,
6,5.997035,
10,6.009385,
10,6.093737,
8,6.14354,
8,6.149518,
8,6.18464,
6,6.196894,
10,6.200954,
4,6.217256,
10,6.25368,
10,6.26240,
4,6.308037,
8,6.37503,
8,6.44501,
10,6.536909,
4,6.55973,
4,6.749770,
6,6.754794,
10,6.847968,
6,6.94934,
4,7.239656,
4,7.263475,
,7.549571,
2,7.631372,
6,7.65441,
4,7.660892,

#ignore,test#78.44
