g,LeveleV
16,0.0000000,
14,0.0353975,
16,0.0572906,
12,0.0632127,
10,0.1699879,
12,0.2864147,
8,0.2999773,
14,0.3436439,
10,0.3521362,
6,0.3935971,
4,0.4594631,
14,0.4611846,
8,0.4736010,
2,0.4981945,
18,0.5761335,
12,0.5790626,
6,0.5821684,
12,0.6637333,
16,0.6726217,
4,0.6799269,
10,0.7228105,
10,0.7655931,
2,0.7760283,
14,0.7875166,
8,0.8044442,
12,0.8274898,
6,0.8432401,
4,0.8492570,
12,0.8665032,
14,0.8753160,
10,0.9225701,
16,0.9629871,
10,0.9700759,
8,0.9720175,
10,1.0040085,
6,1.0080758,
16,1.0154882,
14,1.0262222,
4,1.0335707,
18,1.0546976,
12,1.0719934,
12,1.1074417,
8,1.1151957,
10,1.1338640,
14,1.2104602,
8,1.2234327,
10,1.2271621,
10,1.238197,
6,1.2436049,
8,1.2801046,
6,1.2964618,
10,1.324172,
4,1.3539298,
12,1.3635596,
8,1.377101,
12,1.396113,
20,1.404882,
14,1.416636,
16,1.435821,
18,1.472833,
10,1.4823867,
10,1.516113,
8,1.518929,
22,1.522935,
6,1.524565,
12,1.543993,
14,1.546795,
16,1.565756,
8,1.567820,
8,1.5763413,
10,1.584061,
14,1.600214,
16,1.603445,
12,1.620635,
14,1.626236,
8,1.646167,
20,1.661190,
12,1.688202,
14,1.688998,
12,1.694425,
8,1.702194,
10,1.704958,
18,1.737875,
16,1.806409,
18,1.824813,
16,1.845890,
14,1.859627,
16,1.872031,
12,1.883225,
18,1.883228,
16,1.884686,
10,1.901884,
16,1.907843,
18,1.958782,
10,1.962071,
12,1.978002,
14,1.989148,
16,1.990150,
14,2.019235,
16,2.026311,
16,2.037200,
8,2.039974,
12,2.051187,
16,2.072893,
8,2.073333,
14,2.114206,
12,2.122451,
10,2.127883,
18,2.138677,
6,2.144100,
14,2.150124,
12,2.151247,
20,2.157476,
16,2.158518,
10,2.159434,
14,2.162417,
6,2.177264,
12,2.199554,
10,2.201139,
14,2.216339,
18,2.223337,
4,2.223849,
16,2.237058,
8,2.246689,
14,2.248563,
12,2.254402,
4,2.255633,
8,2.263999,
12,2.274326,
2,2.281007,
16,2.282617,
12,2.288980,
10,2.293361,
2,2.302749,
14,2.307004,
10,2.307528,
10,2.311747,
6,2.319743,
14,2.331525,
10,2.337214,
16,2.341037,
12,2.341103,
6,2.345214,
8,2.358807,
16,2.365635,
4,2.369195,
18,2.371997,
10,2.374925,
18,2.375824,
14,2.389173,
4,2.389981,
8,2.394176,
2,2.394532,
12,2.395037,
12,2.396922,
2,2.408009,
10,2.411548,
16,2.429866,
14,2.430899,
14,2.437332,
10,2.441388,
8,2.441832,
6,2.449907,
12,2.452560,
8,2.467428,
16,2.469816,
8,2.472411,
12,2.474545,
8,2.483716,
10,2.484031,
6,2.484969,
14,2.497047,
12,2.510740,
14,2.517624,
12,2.525992,
10,2.533730,
8,2.538382,
18,2.545977,
6,2.554904,
10,2.557330,
8,2.564493,
4,2.564988,
16,2.566552,
20,2.572759,
8,2.574234,
14,2.578017,
12,2.578382,
6,2.581766,
14,2.594756,
14,2.602412,
6,2.604261,
16,2.614048,
10,2.619859,
12,2.628112,
14,2.630688,
8,2.631389,
6,2.638707,
18,2.643885,
16,2.653003,
8,2.655996,
12,2.663107,
6,2.665193,
10,2.667987,
12,2.687199,
6,2.687891,
8,2.694132,
4,2.694415,
8,2.699474,
16,2.704353,
18,2.707557,
14,2.709654,
12,2.711898,
6,2.712697,
10,2.713662,
22,2.721014,
12,2.726083,
10,2.729031,
16,2.738109,
4,2.749803,
6,2.750437,
10,2.752762,
14,2.755249,
16,2.755409,
2,2.760457,
12,2.762235,
20,2.766283,
10,2.768317,
14,2.775029,
6,2.776588,
14,2.788774,
12,2.792639,
8,2.796684,
4,2.804258,
14,2.807566,
10,2.809863,
6,2.815248,
14,2.817898,
18,2.818999,
12,2.821259,
12,2.830627,
16,2.831649,
10,2.832164,
4,2.835371,
6,2.842664,
8,2.843377,
12,2.846554,
10,2.853994,
16,2.855584,
14,2.857021,
12,2.864458,
18,2.864934,
