Element;Ion;Line;Relative Intensity

H;1;365.51234;6.0534092306326686e-05

H;1;365.55993;6.534638503775975e-05

H;1;365.61134;7.068386335413981e-05

H;1;365.66697999999997;7.661998004102363e-05

H;1;365.72735;8.323864510612477e-05

H;1;365.79299;9.06489665884016e-05

H;1;365.86453;9.89655334167933e-05

H;1;365.94271000000003;0.00010833774609240275

H;1;366.02837;0.00011893352007140609

H;1;366.12248999999997;0.00013095392990809942

H;1;366.22625;0.000144667101376518

H;1;366.34098;0.0001603636558365015

H;1;366.46831000000003;0.0001784230654986449

H;1;366.61016;0.00019931585165491788

H;1;366.76881000000003;0.00022361358693203545

H;1;366.94705;0.00025204495136291487

H;1;367.14822999999996;0.00028553272476399515

H;1;367.37649;0.0003252627630920844

H;1;367.63692000000003;0.00037276487584976905

H;1;367.93589;0.00043005473704278604

H;1;368.28143;0.0004997824087887731

H;1;368.68376;0.0005855736151648212

H;1;369.15611;0.0006923706672984317

H;1;369.71581000000003;0.0008270657421764292

H;1;370.38593;0.0009995151257325358

H;1;371.19774;0.0012240975733154278

H;1;372.19449;0.0015223523129907009

H;1;373.43746;0.0019276596999848186

H;1;375.01583999999997;0.0024937050845023367

H;1;377.06368;0.0033104417118083778

H;1;379.79044;0.0045373929624128164

H;1;383.53909;0.006475936066277918

H;1;388.90557;0.009747831867587296

H;1;397.00788;0.01578313341627828

H;1;410.1702284;0.006956950914011824

H;1;410.1704339;0.00019876916811573537

H;1;410.17082180000006;0.004637696840551694

H;1;410.17104989999996;0.002318933443312999

H;1;410.17415;0.028422928809635855

H;1;410.17631;0.012521920520541557

H;1;410.176386;0.0013912928305960907

H;1;410.17659150000003;0.000397570787016029

H;1;434.0426937;0.015049107447400028

H;1;434.0430904;0.00041149112492296736

H;1;434.04335679999997;0.00948050841375391

H;1;434.04379819999997;0.004740363768564918

H;1;434.0471;0.060600266153378865

H;1;434.0494419;0.027087332592006935

H;1;434.04958889999995;0.0030097065347457225

H;1;434.0499857;0.0008230780457078652

H;1;486.12786239999997;0.04471773152287029

H;1;486.1286949;0.025153073351026775

H;1;486.12883700000003;0.0011179620112715663

H;1;486.1297761;0.012576998245074923

H;1;486.1333;0.17523460478486022

H;1;486.1361516;0.08048942317023071

H;1;486.1365118;0.008943286136250096

H;1;486.1374864;0.002236158175231639

H;1;656.27097;0.2714823740571866

H;1;656.272483;0.11311387416063096

H;1;656.275181;0.005302529166700064

H;1;656.277153;0.05656021678692104

H;1;656.2819;1.0

H;1;656.285177;0.4886555024066395

H;1;656.286734;0.05429445923986462

H;1;656.2909440000001;0.010606318080897681

H;1;839.2397;0.00034901237598873445

H;1;841.3318;0.00040944087575846586

H;1;843.7956;0.0004848154106800015

H;1;846.7254;0.0005801470090637782

H;1;850.2483;0.0007025563191716866

H;1;854.5383;0.0008625779744820372

H;1;859.8392;0.0010760783303849326

H;1;866.5018;0.0013679081434192475

H;1;875.0472;0.0017782510019599363

H;1;886.2783;0.002375850985655617

He;1;267.71280319999994;0.00022546675527749293

He;1;267.7128514;0.0006764008288377789

He;1;267.71285530000006;0.0011273347910506432

He;1;269.6117588;0.00031762809199897303

He;1;269.61182599999995;0.0009528853674185384

He;1;269.6118315;0.0015881424270625171

He;1;272.3191;0.0004691634133979912

He;1;272.3191979;0.0014074925450028107

He;1;272.3192059;0.002345821221037796

He;1;276.3801579;0.0007381718509877367

He;1;276.3803093;0.0022145209960153464

He;1;276.38032169999997;0.0036908690653132104

He;1;282.90784069999995;0.0012690030511373622

He;1;282.9080946;0.0038070241268771355

He;1;282.9081153;0.00634504224505953

He;1;294.5098925;0.0024893890170927073

He;1;294.5103735;0.007468218390176712

He;1;294.5104128;0.012447037629387534

He;1;318.77331749999996;0.006038886904602762

He;1;318.77443900000003;0.018116908531136563

He;1;318.7745305;0.030194881228424175

He;1;323.12703839999995;0.0007794337199957249

He;1;325.8273495;0.001098158213034431

He;1;329.67729280000003;0.0016229911469313927

He;1;335.4555087;0.002557284605385023

He;1;344.75890219999997;0.004410214501334461

He;1;355.4406135;5.561491576343353e-05

He;1;355.4406284;0.0008341627195205773

He;1;355.4406294;0.00046716679210076766

He;1;355.4415793;0.0008342237364515027

He;1;355.4415942;0.002502488158561732

He;1;355.4540649;0.0011122983152686708

He;1;356.29690689999995;0.00041412549252774124

He;1;356.29787739999995;0.0002484783781837025

He;1;356.3104232;8.282355717201942e-05

He;1;358.7261792;7.937401441311163e-05

He;1;358.7262;0.0011905262908720553

He;1;358.7262015;0.006667315541278127

He;1;358.72716299999996;0.0011906259969462893

He;1;358.7271838;0.0035717103788893206

He;1;358.73988039999995;0.001587543411260692

He;1;359.9304497;0.0005963921172459312

He;1;359.93144010000003;0.00035783846319576925

He;1;359.94424300000003;0.00011927842344918624

He;1;361.364208;0.00871741838996303

He;1;363.42307610000006;0.00011946358905370031

He;1;363.4231065;0.0017918058347865657

He;1;363.4231087;0.010035113962762247

He;1;363.4240858;0.001791887830175882

He;1;363.4241162;0.005375610020834401

He;1;363.4371384;0.0023892387782591946

He;1;365.1981525;0.0009082523081593246

He;1;365.19917210000006;0.0005449413185555456

He;1;365.21235260000003;0.0001816471061851819

He;1;370.4995268;0.0001933808044955524

He;1;370.499574;0.0029005371834694912

He;1;370.4995773;0.016244405939624153

He;1;370.5005762;0.0029007120674332857

He;1;370.5006234;0.008701552843399681

He;1;370.5141421;0.003867792210862318

He;1;373.28634710000006;0.0014942584859256852

He;1;373.2874124;0.0008965550915554112

He;1;373.3011831;0.0002988516971851371

He;1;381.96019689999997;0.00034807675927212895

He;1;381.9602767;0.005220700586957893

He;1;381.9602822;0.029238196363031786

He;1;381.96131230000003;0.005221151389081934

He;1;381.961392;0.01566210176087368

He;1;381.9757304;0.0069615351854425776

He;1;383.3548698;0.0024574758110096338

He;1;383.810011;0.00019140527822396504

He;1;386.7472336;0.00275506501953433

He;1;386.7483771;0.001653018741966187

