Number;Label;Name;Type;Period;Group;Special
1;H;Hydrogen;nm;1;1;
2;He;Helium;ng;1;18;
3;Li;Lithium;am;2;1;
4;Be;Beryllium;aem;2;2;
5;B;Boron;met;2;13;
6;C;Carbon;nm;2;14;
7;N;Nitrogen;nm;2;15;
8;O;Oxygen;nm;2;16;
9;F;Fluorine;h;2;17;
10;Ne;Neon;ng;2;18;
11;Na;Sodium;am;3;1;
12;Mg;Magnesium;aem;3;2;
13;Al;Aluminum;pmt;3;13;
14;Si;Silicon;met;3;14;
15;P;Phosphorus;nm;3;15;
16;S;Sulfur;nm;3;16;
17;Cl;Chlorine;h;3;17;
18;Ar;Argon;ng;3;18;
19;K;Potassium;am;4;1;
20;Ca;Calcium;aem;4;2;
21;Sc;Scandium;tm;4;3;
22;Ti;Titanium;tm;4;4;
23;V;Vanadium;tm;4;5;
24;Cr;Chromium;tm;4;6;
25;Mn;Manganese;tm;4;7;
26;Fe;Iron;tm;4;8;
27;Co;Cobalt;tm;4;9;
28;Ni;Nickel;tm;4;10;
29;Cu;Copper;tm;4;11;
30;Zn;Zinc;tm;4;12;
31;Ga;Gallium;pmt;4;13;
32;Ge;Germanium;met;4;14;
33;As;Arsenic;met;4;15;
34;Se;Selenium;nm;4;16;
35;Br;Bromine;h;4;17;
36;Kr;Krypton;ng;4;18;
37;Rb;Rubidium;am;5;1;
38;Sr;Strontium;aem;5;2;
39;Y;Yttrium;tm;5;3;
40;Zr;Zirconium;tm;5;4;
41;Nb;Niobium;tm;5;5;
42;Mo;Molybdenum;tm;5;6;
43;Tc;Technetium;tm;5;7;
44;Ru;Ruthenium;tm;5;8;
45;Rh;Rhodium;tm;5;9;
46;Pd;Palladium;tm;5;10;
47;Ag;Silver;tm;5;11;
48;Cd;Cadmium;tm;5;12;
49;In;Indium;pmt;5;13;
50;Sn;Tin;pmt;5;14;
51;Sb;Antimony;met;5;15;
52;Te;Tellurium;met;5;16;
53;I;Iodine;h;5;17;
54;Xe;Xenon;ng;5;18;
55;Cs;Cesium;am;6;1;
56;Ba;Barium;aem;6;2;
57;La;Lanthanum;lac;6;3;
58;Ce;Cerium;lac;6;;1
59;Pr;Praseodymium;lac;6;;2
60;Nd;Neodymium;lac;6;;3
61;Pm;Promethium;lac;6;;4
62;Sm;Samarium;lac;6;;5
63;Eu;Europium;lac;6;;6
64;Gd;Gadolinium;lac;6;;7
65;Tb;Terbium;lac;6;;8
66;Dy;Dysprosium;lac;6;;9
67;Ho;Holmium;lac;6;;10
68;Er;Erbium;lac;6;;11
69;Tm;Thulium;lac;6;;12
70;Yb;Ytterbium;lac;6;;13
71;Lu;Lutetium;lac;6;;14
72;Hf;Hafnium;tm;6;4;
73;Ta;Tantalum;tm;6;5;
74;W;Tungsten;tm;6;6;
75;Re;Rhenium;tm;6;7;
76;Os;Osmium;tm;6;8;
77;Ir;Iridium;tm;6;9;
78;Pt;Platinum;tm;6;10;
79;Au;Gold;tm;6;11;
80;Hg;Mercury;tm;6;12;
81;Tl;Thallium;pmt;6;13;
82;Pb;Lead;pmt;6;14;
83;Bi;Bismuth;pmt;6;15;
84;Po;Polonium;met;6;16;
85;At;Astatine;h;6;17;
86;Rn;Radon;ng;6;18;
87;Fr;Francium;am;7;1;
88;Ra;Radium;aem;7;2;
89;Ac;Actinium;ac;7;3;
90;Th;Thorium;ac;7;;1
91;Pa;Protactinium;ac;7;;2
92;U;Uranium;ac;7;;3
93;Np;Neptunium;ac;7;;4
94;Pu;Plutonium;ac;7;;5
95;Am;Americium;ac;7;;6
96;Cm;Curium;ac;7;;7
97;Bk;Berkelium;ac;7;;8
98;Cf;Californium;ac;7;;9
99;Es;Einsteinium;ac;7;;10
100;Fm;Fermium;ac;7;;11
101;Md;Mendelevium;ac;7;;12
102;No;Nobelium;ac;7;;13
103;Lr;Lawrencium;ac;7;;14
104;Rf;Rutherfordium;tm;7;4;
105;Db;Dubnium;tm;7;5;
106;Sg;Seaborgium;tm;7;6;
107;Bh;Bohrium;tm;7;7;
108;Hs;Hassium;tm;7;8;
109;Mt;Meitnerium;tm;7;9;
110;Ds;Darmstadtium;tm;7;10;
111;Rg;Roentgenium;tm;7;11;
112;Cn;Copernicium;tm;7;12;
113;Nh;Nihonium;pmt;7;13;
114;Fl;Flerovium;pmt;7;14;
115;Mc;Moscovium;pmt;7;15;
116;Lv;Livermorium;pmt;7;16;
117;Ts;Tennessine;h;7;17;
118;Og;Oganesson;ng;7;18;
