,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
968,207.8684,5.962712000000001,325200000.0,49.01,In,II,5.681824,2.0,11.644476,1.0,WA,2.0,3.0
4315,230.6149,5.374645,3962000.0,49.01,In,II,0.0,0.0,5.374591000000001,1.0,WA,2.0,3.0
4921,234.0186,5.296478,3502000.0,49.0,In,I,0.0,0.5,5.296425,0.5,PS,1.0,2.0
5899,238.9544,5.187083,3429000.0,49.0,In,I,0.0,0.5,5.187031,1.5,PS,1.0,4.0
6073,239.9177,5.166258999999999,3704000.0,49.0,In,I,0.27432199999999995,1.5,5.440529,0.5,PS,1.0,2.0
7499,246.0085,5.03836,6323000.0,49.0,In,I,0.0,0.5,5.03831,0.5,PS,1.0,2.0
7688,246.8024,5.022153,6140000.0,49.0,In,I,0.27432199999999995,1.5,5.296425,0.5,PS,1.0,2.0
9080,252.1372,4.9159,6201000.0,49.0,In,I,0.27432199999999995,1.5,5.190173000000001,2.5,PS,1.0,6.0
9141,252.2985,4.912758,1472000.0,49.0,In,I,0.27432199999999995,1.5,5.187031,1.5,PS,1.0,4.0
10252,256.0151,4.841443,22870000.0,49.0,In,I,0.0,0.5,4.841394,1.5,PS,1.0,4.0
11381,260.1752,4.764035,11440000.0,49.0,In,I,0.27432199999999995,1.5,5.03831,0.5,PS,1.0,2.0
14295,271.0266,4.573303,31460000.0,49.0,In,I,0.27432199999999995,1.5,4.847580000000001,2.5,PS,1.0,6.0
14380,271.3937,4.567118,5428000.0,49.0,In,I,0.27432199999999995,1.5,4.841394,1.5,PS,1.0,4.0
15490,275.3879,4.500881,14620000.0,49.0,In,I,0.0,0.5,4.500836,0.5,PS,1.0,2.0
16149,277.5355,4.466055,1973000.0,49.0,In,I,0.0,0.5,4.46601,1.5,CB,1.0,4.0
17953,283.6903,4.369165,9121000.0,49.0,In,I,0.27432199999999995,1.5,4.643444000000001,2.5,CB,1.0,6.0
18512,285.8128,4.336721,2242000.0,49.0,In,I,0.0,0.5,4.336677,0.5,CB,1.0,2.0
20395,293.2629,4.2265559999999995,8286000.0,49.0,In,I,0.27432199999999995,1.5,4.500836,0.5,PS,1.0,2.0
20607,294.1048,4.214457,429400000.0,49.01,In,II,7.815196,1.0,12.029611000000001,0.0,WA,2.0,1.0
21039,295.6995,4.191730000000001,1047000.0,49.0,In,I,0.27432199999999995,1.5,4.46601,1.5,CB,1.0,4.0
23102,303.9357,4.078144,129800000.0,49.0,In,I,0.0,0.5,4.078103,1.5,PS,1.0,4.0
28212,325.6087,3.806708,155000000.0,49.0,In,I,0.27432199999999995,1.5,4.080992,2.5,PS,1.0,6.0
28264,325.8559,3.8038190000000003,37650000.0,49.0,In,I,0.27432199999999995,1.5,4.078103,1.5,PS,1.0,4.0
48511,410.1765,3.021881,55840000.0,49.0,In,I,0.0,0.5,3.021851,0.5,PS,1.0,2.0
56223,451.1307,2.7475560000000003,100300000.0,49.0,In,I,0.27432199999999995,1.5,3.021851,0.5,PS,1.0,2.0
77973,684.744,1.810184,2243000.0,49.0,In,I,3.021851,0.5,4.832016,1.5,CB,1.0,4.0
78285,690.0132,1.796361,2163000.0,49.0,In,I,3.021851,0.5,4.818193,0.5,CB,1.0,2.0
