,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
21991,299.3179,4.141058999999999,186900000.0,60.01,Nd,II,1.3291469999999999,5.5,5.470164,4.5,MC',2.0,10.0
22350,300.7972,4.120694,156400000.0,60.01,Nd,II,1.251169,4.5,5.371822,3.5,MC',2.0,8.0
22502,301.4166,4.112227,20070000.0,60.01,Nd,II,0.204599,4.5,4.316784999999999,3.5,MC',2.0,8.0
22606,301.8332,4.1065510000000005,120600000.0,60.01,Nd,II,1.251169,4.5,5.357679,3.5,MC',2.0,8.0
22806,302.6478,4.095498,187100000.0,60.01,Nd,II,1.374708,5.5,5.470164,4.5,MC',2.0,10.0
23955,307.5455,4.030279,212300000.0,60.01,Nd,II,0.471379,7.5,4.501618,0.5,MC',2.0,2.0
24054,307.9364,4.025164,186600000.0,60.01,Nd,II,1.502491,6.5,5.527614,6.5,MC',2.0,14.0
24375,309.2939,4.007498,25940000.0,60.01,Nd,II,0.18227000000000002,5.5,4.1897269999999995,5.5,MC',2.0,12.0
24531,309.8461,4.000356,28290000.0,60.01,Nd,II,0.380229,5.5,4.380545,4.5,MC',2.0,10.0
24554,309.9517,3.998993,4691000.0,60.01,Nd,II,0.0,3.5,3.9989529999999998,4.5,MC',2.0,10.0
24692,310.5407,3.9914089999999995,190700000.0,60.01,Nd,II,1.3383209999999999,6.5,5.32969,5.5,MC',2.0,12.0
24708,310.6165,3.9904339999999996,231900000.0,60.01,Nd,II,1.6882529999999998,7.5,5.678647,7.5,MC',2.0,16.0
24761,310.8,3.988078,93270000.0,60.01,Nd,II,1.3291469999999999,5.5,5.317186,5.5,MC',2.0,12.0
24935,311.5167,3.978904,369600000.0,60.01,Nd,II,1.3383209999999999,6.5,5.317186,5.5,MC',2.0,12.0
24957,311.6132,3.977672,261000000.0,60.01,Nd,II,1.246561,5.5,5.224193,4.5,MC',2.0,10.0
25373,313.36,3.9554989999999997,381800000.0,60.01,Nd,II,1.246561,5.5,5.202021,4.5,MC',2.0,10.0
25665,314.4839,3.941363,128400000.0,60.01,Nd,II,1.246561,5.5,5.187885,4.5,MC',2.0,10.0
25778,314.9527,3.9354970000000002,128100000.0,60.01,Nd,II,1.246561,5.5,5.182019,4.5,MC',2.0,10.0
26070,316.2629,3.919194,10490000.0,60.01,Nd,II,0.06364500000000001,4.5,3.982799,3.5,MC',2.0,8.0
26391,317.5984,3.902714,120300000.0,60.01,Nd,II,1.246561,5.5,5.149237,4.5,MC',2.0,10.0
26512,318.1457,3.896001,41930000.0,60.01,Nd,II,1.246561,5.5,5.142524,6.5,MC',2.0,14.0
26988,320.062,3.872675,192900000.0,60.01,Nd,II,1.7115049999999998,2.5,5.5841400000000005,2.5,MC',2.0,6.0
27047,320.3487,3.86921,17120000.0,60.01,Nd,II,0.320556,6.5,4.1897269999999995,5.5,MC',2.0,12.0
28171,325.4064,3.809074,8892000.0,60.01,Nd,II,0.18227000000000002,5.5,3.991306,4.5,MC',2.0,10.0
28227,325.6903,3.8057529999999997,4348000.0,60.01,Nd,II,0.18227000000000002,5.5,3.9879839999999995,4.5,MC',2.0,10.0
28284,325.923,3.803036,18390000.0,60.01,Nd,II,0.06364500000000001,4.5,3.866643,3.5,MC',2.0,8.0
28321,326.0657,3.801372,9530000.0,60.01,Nd,II,0.0,3.5,3.8013339999999998,2.5,MC',2.0,6.0
28428,326.5366,3.79589,4101000.0,60.01,Nd,II,0.06364500000000001,4.5,3.859497,3.5,MC',2.0,8.0
28485,326.7246,3.793706,19920000.0,60.01,Nd,II,0.471379,7.5,4.265048,6.5,MC',2.0,14.0
28629,327.3253,3.786744,8789000.0,60.01,Nd,II,0.204599,4.5,3.991306,4.5,MC',2.0,10.0
28668,327.5212,3.784479,46700000.0,60.01,Nd,II,0.6305390000000001,8.5,4.414981,7.5,MC',2.0,16.0
28803,328.1483,3.777247,90920000.0,60.01,Nd,II,1.5946129999999998,3.5,5.371822,3.5,MC',2.0,8.0
28832,328.2766,3.7757709999999998,3375000.0,60.01,Nd,II,0.0,3.5,3.7757330000000002,3.5,MC',2.0,8.0
28889,328.5085,3.773106,26460000.0,60.01,Nd,II,0.0,3.5,3.773068,2.5,MC',2.0,6.0
28930,328.6606,3.7713589999999995,9358000.0,60.01,Nd,II,0.320556,6.5,4.0918779999999995,5.5,MC',2.0,12.0
29027,329.0648,3.7667269999999995,7695000.0,60.01,Nd,II,0.06364500000000001,4.5,3.8303339999999997,3.5,MC',2.0,8.0
29092,329.3817,3.7631040000000002,124600000.0,60.01,Nd,II,1.5946129999999998,3.5,5.357679,3.5,MC',2.0,8.0
29112,329.4657,3.762144,5865000.0,60.01,Nd,II,0.204599,4.5,3.966706,4.5,MC',2.0,10.0
29238,330.0143,3.75589,26220000.0,60.01,Nd,II,0.0,3.5,3.7558519999999995,2.5,MC',2.0,6.0
