,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
21,200.2028,6.190987000000001,210800000.0,52.0,Te,I,0.589013,1.0,6.7799380000000005,1.0,CB,1.0,3.0
1001,208.1172,5.955586,114400000.0,52.0,Te,I,1.30901,2.0,7.264536,2.0,CB,1.0,5.0
1892,214.2822,5.78426,192600000.0,52.0,Te,I,0.0,2.0,5.784202,1.0,CB,1.0,3.0
1955,214.726,5.772307,115100000.0,52.0,Te,I,1.30901,2.0,7.081258999999999,2.0,CB,1.0,5.0
2132,215.9864,5.738624,10470000.0,52.0,Te,I,1.30901,2.0,7.047575999999999,3.0,CB,1.0,7.0
3541,225.9034,5.486728,6562000.0,52.0,Te,I,0.0,2.0,5.486673000000001,2.0,CB,1.0,5.0
5773,238.3277,5.200723,215000000.0,52.0,Te,I,0.5835319999999999,0.0,5.784202,1.0,CB,1.0,3.0
5814,238.5792,5.195241,270100000.0,52.0,Te,I,0.589013,1.0,5.784202,1.0,CB,1.0,3.0
9361,253.0738,4.897709,14740000.0,52.0,Te,I,0.589013,1.0,5.486673000000001,2.0,CB,1.0,5.0
26373,317.5147,3.903743,205700000.0,52.0,Te,I,2.876234,0.0,6.7799380000000005,1.0,CB,1.0,3.0
