element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Cl	7	""	"217.88"	""	"4.3e+08"	C	"57.5290"	"63.2177"	"2p6.4s"	"2S"	"1/2"	"2p6.4p"	"2P*"	"3/2"	2	4		"T1619interp,LS"	""	
Cl	7	""	"221.20"	""	"4.0e+08"	C	"57.5290"	"63.1324"	"2p6.4s"	"2S"	"1/2"	"2p6.4p"	"2P*"	"1/2"	2	2		"T1619interp,LS"	""	
Cl	3	""	"223.114"	""	"6.7e+06"	E	"24.961853"	"30.51712?"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	"3s2.3p2.(3P).5s"	"4P"	"5/2"	4	6		"T1619CA,LS"	""	
Cl	3	"225.307"	"225.291"	"700"	"6.1e+07"	D	"25.015530"	"30.51712?"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	"3s2.3p2.(3P).5s"	"4P"	"5/2"	6	6		"T1619CA,LS"	"L480"	
Cl	3	""	"225.562"	""	"1.7e+07"	E	"24.929802"	"30.42478?"	"3s2.3p2.(3P).4p"	"4D*"	"1/2"	"3s2.3p2.(3P).5s"	"4P"	"3/2"	2	4		"T1619CA,LS"	""	
Cl	3	"226.895"	"226.885"	"500"	"1.1e+08"	D	"24.961853"	"30.42478?"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	"3s2.3p2.(3P).5s"	"4P"	"3/2"	4	4		"T1619CA,LS"	"L480"	
Cl	3	"227.834"	"227.829"	"500"	"1.8e+08"	D	"24.929802"	"30.37012?"	"3s2.3p2.(3P).4p"	"4D*"	"1/2"	"3s2.3p2.(3P).5s"	"4P"	"1/2"	2	2		"T1619CA,LS"	"L480"	
Cl	3	"228.393"	"228.393"	"700"	"2.7e+08"	D	"25.090263"	"30.51712?"	"3s2.3p2.(3P).4p"	"4D*"	"7/2"	"3s2.3p2.(3P).5s"	"4P"	"5/2"	8	6		"T1619CA,LS"	"L480"	
Cl	3	""	"229.137"	""	"2.2e+08"	D	"25.015530"	"30.42478?"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	"3s2.3p2.(3P).5s"	"4P"	"3/2"	6	4		"T1619CA,LS"	""	
Cl	3	""	"229.1744"	""	"3.4e+07"	D	"25.421347"	"30.829717"	"3s2.3p2.(3P).4p"	"2D*"	"3/2"	"3s2.3p2.(3P).4d"	"2D"	"5/2"	4	6		"T1619CA,LS"	""	
Cl	3	""	"229.179"	""	"1.8e+08"	D	"24.961853"	"30.37012?"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	"3s2.3p2.(3P).5s"	"4P"	"1/2"	4	2		"T1619CA,LS"	""	
Cl	3	""	"229.8538"	""	"4.2e+08"	D	"25.421347"	"30.813731"	"3s2.3p2.(3P).4p"	"2D*"	"3/2"	"3s2.3p2.(3P).4d"	"2D"	"3/2"	4	4		"T1619CA,LS"	""	
