element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ge	1	"204.17121"	"0.00010"	"204.17121"	"2400r"	"1.1e+08"	C	"0.00000000"	"6.0706114"	"4s2.4p2"	"3P"	"0"	"4s2.4p.4d"	"3D*"	"1"	1	3		"T4515"	"L3476"	
Ge	1	"206.52149"	"0.00010"	"206.52147"	"750r"	"8.5e+07"	C	"0.06907582"	"6.0706114"	"4s2.4p2"	"3P"	"1"	"4s2.4p.4d"	"3D*"	"1"	3	3		"T4515"	"L3476"	
Ge	1	"206.86562"	"0.00010"	"206.86562"	"2600r"	"1.2e+08"	C	"0.06907582"	"6.0606282"	"4s2.4p2"	"3P"	"1"	"4s2.4p.4d"	"3D*"	"2"	3	5		"T4515"	"L3476"	
Ge	1	"208.60208"	"0.00010"	"208.60206"	"420"	"4.0e+07"	C	"0.06907582"	"6.0107599"	"4s2.4p2"	"3P"	"1"	"4s2.4p.4d"	"1D*"	"2"	3	5		"T4515"	"L3476"	
Ge	1	"209.42582"	"0.00010"	"209.42582"	"2000r"	"9.7e+07"	C	"0.17481287"	"6.0931287"	"4s2.4p2"	"3P"	"2"	"4s2.4p.4d"	"3D*"	"3"	5	7		"T4515"	"L3476"	
Ge	1	"210.58241"	"0.00010"	"210.58238"	"240"	"1.7e+07"	C	"0.17481287"	"6.0606282"	"4s2.4p2"	"3P"	"2"	"4s2.4p.4d"	"3D*"	"2"	5	5		"T4515"	"L3476"	
Ge	1	"225.60007"	"0.00010"	"225.60007"	"18"	"3.2e+06"	C	"0.88342447"	"6.3774747"	"4s2.4p2"	"1D"	"2"	"4s2.4p.4d"	"3P*"	"2"	5	5		"T4515"	"L3476"	
Ge	1	"241.73672"	"0.00010"	"241.73674"	"130"	"9.6e+07"	C	"0.88342447"	"6.0107599"	"4s2.4p2"	"1D"	"2"	"4s2.4p.4d"	"1D*"	"2"	5	5		"T4515"	"L3476"	
Ge	1	"249.79625"	"0.00010"	"249.796251"	"90"	"1.3e+07"	C	"0.00000000"	"4.96191710"	"4s2.4p2"	"3P"	"0"	"4s2.4p.5s"	"1P*"	"1"	1	3		"T4515"	"L3476"	
Ge	1	"253.32305"	"0.00010"	"253.323048"	"70"	"1.0e+07"	C	"0.06907582"	"4.96191710"	"4s2.4p2"	"3P"	"1"	"4s2.4p.5s"	"1P*"	"1"	3	3		"T4515"	"L3476"	
Ge	1	"258.91878"	"0.00010"	"258.918784"	"28"	"5.1e+06"	C	"0.17481287"	"4.96191710"	"4s2.4p2"	"3P"	"2"	"4s2.4p.5s"	"1P*"	"1"	5	3		"T4515"	"L3476"	
Ge	1	"259.25340"	"0.00010"	"259.253402"	"500"	"7.1e+07"	C	"0.06907582"	"4.85000174"	"4s2.4p2"	"3P"	"1"	"4s2.4p.5s"	"3P*"	"2"	3	5		"T4515"	"L3476"	
Ge	1	"265.11720"	"0.00010"	"265.117199"	"1200"	"2.0e+08"	C	"0.17481287"	"4.85000174"	"4s2.4p2"	"3P"	"2"	"4s2.4p.5s"	"3P*"	"2"	5	5		"T4515"	"L3476"	
Ge	1	"265.15683"	"0.00010"	"265.156832"	"500"	"8.5e+07"	C	"0.00000000"	"4.67449011"	"4s2.4p2"	"3P"	"0"	"4s2.4p.5s"	"3P*"	"1"	1	3		"T4515"	"L3476"	
Ge	1	"269.13411"	"0.00010"	"269.134104"	"500"	"6.1e+07"	C	"0.06907582"	"4.67449011"	"4s2.4p2"	"3P"	"1"	"4s2.4p.5s"	"3P*"	"1"	3	3		"T4515"	"L3476"	
Ge	1	"270.96237"	"0.00010"	"270.962371"	"850"	"2.8e+08"	C	"0.06907582"	"4.64341768"	"4s2.4p2"	"3P"	"1"	"4s2.4p.5s"	"3P*"	"0"	3	1		"T4515"	"L3476"	
Ge	1	"275.45878"	"0.00010"	"275.458782"	"650"	"1.1e+08"	C	"0.17481287"	"4.67449011"	"4s2.4p2"	"3P"	"2"	"4s2.4p.5s"	"3P*"	"1"	5	3		"T4515"	"L3476"	
Ge	1	"303.90671"	"0.00010"	"303.906713"	"750"	"2.8e+08"	C	"0.88342447"	"4.96191710"	"4s2.4p2"	"1D"	"2"	"4s2.4p.5s"	"1P*"	"1"	5	3		"T4515"	"L3476"	
Ge	1	"312.48164"	"0.00010"	"312.481663"	"20"	"3.1e+06"	C	"0.88342447"	"4.85000174"	"4s2.4p2"	"1D"	"2"	"4s2.4p.5s"	"3P*"	"2"	5	5		"T4515"	"L3476"	
Ge	1	"326.94889"	"0.00010"	"326.948887"	"110"	"2.9e+07"	C	"0.88342447"	"4.67449011"	"4s2.4p2"	"1D"	"2"	"4s2.4p.5s"	"3P*"	"1"	5	3		"T4515"	"L3476"	
Ge	1	"422.65625"	"0.00010"	"422.656259"	"70"	"2.1e+07"	C	"2.02929069"	"4.96191710"	"4s2.4p2"	"1S"	"0"	"4s2.4p.5s"	"1P*"	"1"	1	3		"T4515"	"L3476"	
Ge	1	"468.58286"	"0.00010"	"468.582849"	"10"	"9.5e+06"	C	"2.02929069"	"4.67449011"	"4s2.4p2"	"1S"	"0"	"4s2.4p.5s"	"3P*"	"1"	1	3		"T4515"	"L3476"	
Ge	2	"474.18056"	"0.00010"	"474.18054"	"1000"	"4.6e+07"	D	"9.7956013"	"12.4095747"	"4s2.5p"	"2P*"	"1/2"	"4s2.5d"	"2D"	"3/2"	2	4		"T4515"	"L3335"	
Ge	2	"481.46084"	"0.00010"	"481.46084"	"1000"	"5.1e+07"	D	"9.8401911"	"12.4146385"	"4s2.5p"	"2P*"	"3/2"	"4s2.5d"	"2D"	"5/2"	4	6		"T4515"	"L3335"	
Ge	2	"482.40973"	"0.00010"	"482.40972"	"50"	"8.6e+06"	D	"9.8401911"	"12.4095747"	"4s2.5p"	"2P*"	"3/2"	"4s2.5d"	"2D"	"3/2"	4	4		"T4515"	"L3335"	
Ge	2	"513.17517"	"0.00010"	"513.17516"	"100"	"1.9e+08"	D	"10.0224958"	"12.4378438"	"4s2.4d"	"2D"	"3/2"	"4s2.4f"	"2F*"	"5/2"	4	6		"T4515"	"L3335"	
Ge	2	"517.8460"	"0.0005"	"517.84615"	"10"	"1.3e+07"	D	"10.0442820"	"12.4378438"	"4s2.4d"	"2D"	"5/2"	"4s2.4f"	"2F*"	"5/2"	6	6		"T4515"	"L3335"	
Ge	2	"517.86475"	"0.00010"	"517.86474"	"200"	"2.0e+08"	D	"10.0442820"	"12.4377579"	"4s2.4d"	"2D"	"5/2"	"4s2.4f"	"2F*"	"7/2"	6	8		"T4515"	"L3335"	
Ge	2	"589.33886"	"0.00010"	"589.33885"	"1000"	"9.2e+07"	D	"7.7369894"	"9.8401911"	"4s2.5s"	"2S"	"1/2"	"4s2.5p"	"2P*"	"3/2"	2	4		"T4515"	"L3335"	
Ge	2	"602.10414"	"0.00010"	"602.10412"	"500"	"8.4e+07"	D	"7.7369894"	"9.7956013"	"4s2.5s"	"2S"	"1/2"	"4s2.5p"	"2P*"	"1/2"	2	2		"T4515"	"L3335"	
Ge	2	"633.63766"	"0.00010"	"633.63765"	"100"	"4.4e+07"	D	"9.7956013"	"11.7517655"	"4s2.5p"	"2P*"	"1/2"	"4s2.6s"	"2S"	"1/2"	2	2		"T4515"	"L3335"	
Ge	2	"648.41812"	"0.00010"	"648.41813"	"100"	"8.5e+07"	D	"9.8401911"	"11.7517655"	"4s2.5p"	"2P*"	"3/2"	"4s2.6s"	"2S"	"1/2"	4	2		"T4515"	"L3335"	
