element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Na	7	""	""	"200.3"	"0.6"	""	"4.98e+06"	C	"172.685"	"178.873"	"2p2.(1D).3p"	"2D*"	"3/2"	"2s.2p.(3P*).4p"	"2P"	"1/2"	4	2		"T7192c3,LS"	""	
Na	3	"200.4215"	"0.0005"	"200.4214"	"0.0011"	"10"	"2.07e+08"	B+	"51.690167"	"57.874340"	"2s2.2p4.(3P).3p"	"2S*"	"1/2"	"2s2.2p4.(3P).3d"	"2P"	"3/2"	2	4		"c51,T7317"	"L1882"	
Na	3	"200.5217"	"0.0005"	"200.5216"	"0.0011"	"11"	"9.67e+07"	B	"45.570413"	"51.751498"	"2s2.2p4.(3P).3s"	"4P"	"1/2"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"	2	4		"c51,T7317"	"L1882"	
Na	3	"200.5546"	"0.0005"	"200.5548"	"0.0011"	"9"	"1.50e+08"	B+	"51.474802"	"57.654863"	"2s2.2p4.(3P).3p"	"2D*"	"3/2"	"2s2.2p4.(3P).3d"	"2D"	"3/2"	4	4		"c51,T7317"	"L1882"	
Na	4	""	""	"200.574"	"0.057"	""	"3.12e+08"	B+	"73.9664"	"80.1458"	"2s2.2p3.(2D*).3p"	"1D"	"2"	"2s2.2p3.(2D*).3d"	"1F*"	"3"	5	7		"T7663c11"	""	
Na	7	""	""	"200.6"	"0.6"	""	"1.06e+08"	B+	"155.449"	"161.627"	"2s.2p.(1P*).3p"	"2P"	"3/2"	"2s.2p.(1P*).3d"	"2D*"	"5/2"	4	6		"T7192c3,LS"	""	
Na	3	""	""	"200.7572"	"0.0011"	""	"1.93e+06"	D+	"51.364403"	"57.538235"	"2s2.2p4.(3P).3p"	"2D*"	"5/2"	"2s2.2p4.(3P).3d"	"4F"	"3/2"	6	4		"c51,T7317"	""	
Na	3	"200.8470"	"0.0005"	"200.8468"	"0.0011"	"11"	"1.45e+08"	D	"51.474802"	"57.645879"	"2s2.2p4.(3P).3p"	"2D*"	"3/2"	"2s2.2p4.(3P).3d"	"4P"	"5/2"	4	6		"c51,T7317"	"L1882"	
Na	3	"201.1865"	"0.0005"	"201.1865"	"0.0011"	"15"	"6.37e+08"	B+	"51.364403"	"57.525063"	"2s2.2p4.(3P).3p"	"2D*"	"5/2"	"2s2.2p4.(3P).3d"	"2F"	"7/2"	6	8		"c51,T7317"	"L1882"	
Na	7	""	""	"201.3"	"0.6"	""	"1.74e+07"	B	"155.449"	"161.607?"	"2s.2p.(1P*).3p"	"2P"	"3/2"	"2s.2p.(1P*).3d"	"2D*"	"3/2"	4	4		"T7192c3,LS"	""	
