element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ti	3	"200.7360"	"0.0010"	"200.7357+"	"0.0006"	"4"	"3.4e+08"	D	"10.035181"	"16.209672"	"3p6.3d.4p"	"3P*"	"1"	"3p6.3d.4d"	"3S"	"1"	3	3		"T1216"	"L3593"	
Ti	3	"200.7604"	"0.0010"	"200.7586+"	"0.0006"	"2"	"1.2e+08"	D	"10.035885"	"16.209672"	"3p6.3d.4p"	"3P*"	"0"	"3p6.3d.4d"	"3S"	"1"	1	3		"T1216"	"L3593"	
Ti	3	"201.0800"	"0.0010"	"201.0801+"	"0.0006"	"6"	"5.4e+08"	D	"10.045754"	"16.209672"	"3p6.3d.4p"	"3P*"	"2"	"3p6.3d.4d"	"3S"	"1"	5	3		"T1216"	"L3593"	
Ti	4	"206.7564"	"0.0010"	"206.7563+"	"0.0006"	"20"	"5.1e+08"	D	"9.966956"	"15.961675"	"3p6.4s"	"2S"	"1/2"	"3p6.4p"	"2P*"	"3/2"	2	4		"T2757"	"L2753,L11926"	
Ti	3	"209.7299"	"0.0010"	"209.7301+"	"0.0006"	"9"	"3.3e+08"	D	"10.045754"	"15.955486"	"3p6.3d.4p"	"3P*"	"2"	"3p6.3d.4d"	"3D"	"3"	5	7		"T1216"	"L3593"	
Ti	3	"209.9862"	"0.0010"	"209.9856+"	"0.0006"	"7"	"2.5e+08"	D	"10.035181"	"15.937720"	"3p6.3d.4p"	"3P*"	"1"	"3p6.3d.4d"	"3D"	"2"	3	5		"T1216"	"L3593"	
Ti	4	"210.3106"	"0.0010"	"210.3159+"	"0.0006"	"18"	"5.0e+08"	D	"9.966956"	"15.860227"	"3p6.4s"	"2S"	"1/2"	"3p6.4p"	"2P*"	"1/2"	2	2		"T2757"	"L2753,L11926"	
Ti	3	"210.360"	"0.010"	"210.3625+"	"0.0006"	"5"	"5.6e+07"	D	"10.045754"	"15.937720"	"3p6.3d.4p"	"3P*"	"2"	"3p6.3d.4d"	"3D"	"2"	5	5		"T1216"	"L3593"	
Ti	3	"210.4857"	"0.0010"	"210.4852+"	"0.0006"	"4"	"1.1e+08"	D	"10.035181"	"15.923712"	"3p6.3d.4p"	"3P*"	"1"	"3p6.3d.4d"	"3D"	"1"	3	3		"T1216"	"L3593"	
Ti	3	"210.5092"	"0.0010"	"210.5104+"	"0.0006"	"5"	"1.7e+08"	D	"10.035885"	"15.923712"	"3p6.3d.4p"	"3P*"	"0"	"3p6.3d.4d"	"3D"	"1"	1	3		"T1216"	"L3593"	
Ti	3	"219.9223"	"0.0010"	"219.9216+"	"0.0007"	"10"	"5.7e+08"	D	"10.389487"	"16.025380"	"3p6.3d.4p"	"1P*"	"1"	"3p6.3d.4d"	"1P"	"1"	3	3		"T1216"	"L3593,L11926"	
Ti	3	"223.7773"	"0.0010"	"223.7762+"	"0.0007"	"12"	"2.4e+08"	D	"10.305186"	"15.844011"	"3p6.3d.4p"	"1F*"	"3"	"3p6.3d.4d"	"1F"	"3"	7	7		"T1216"	"L3593,L11926"	
