g,LeveleV
2,0.0000000000,
2,3.663988150,
6,3.7495671196,
4,3.77812896,
4,4.304015538,
2,5.27628977,
2,5.98811517,
4,6.01333411,
4,6.04348192,
6,6.04599260,
2,6.43316376,
2,6.70023465,
4,6.71016219,
4,6.72033026,
6,6.72052988,
8,6.7205319,
6,6.7216253,
2,6.8911962,
6,6.9708242,
2,7.0200939,
4,7.0250187,
6,7.02882229,
8,7.02883742,
4,7.0298832,
6,7.03058187,
18,7.0313379,
2,7.1198023,
2,7.191728,
4,7.194443,
6,7.1962892,
8,7.1962987,
4,7.1972794,
6,7.1977028,
8,7.1978668,
10,7.1978671,
22,7.1981680,
2,7.250354,
4,7.2536442,
8,7.2890160,
2,7.294517,
4,7.296449,
6,7.2970292,
8,7.2970596,
4,7.298015,
6,7.2982806,
18,7.2982857,
10,7.302923,
2,7.331928,
6,7.354916,
4,7.363294,
6,7.3634943,
2,7.386304,
4,7.408198,
6,7.408243,
10,7.439994,
2,7.505687,
,7.576234,
4,7.593071,
8,7.658891,
6,7.709567,
4,7.876884,
6,7.96778,
2,8.00634,
8,8.138044,
4,8.18038,
2,8.1870,
4,8.22520,
6,8.303507,
4,8.9497,
8,8.96831,
6,9.11625,
2,9.473,
6,9.52324,
4,9.66361,
8,9.84596,
6,9.93907,
4,10.07575,
6,10.17552,
2,10.41256,
4,10.48844,
6,10.72272,
4,10.76632,
10,10.77374,
4,10.78493,
,10.79212,
12,10.80184,
6,10.80443,
6,10.81411,
8,10.81478,
8,10.82537,
10,10.83092,
4,10.84022,
,10.94754,
2,10.96562,
4,10.97835,
10,10.98422,
8,10.99639,
6,11.00202,
8,11.01210,
4,11.01390,
6,11.02047,
8,11.20393,
6,11.28021,
4,11.35749,
6,11.38994,
6,11.42542,
4,11.66059,

#ignore,test#2.63
