g,LeveleV
1,0.000000,
3,1.652139,
5,2.1116614,
5,4.2078647,
1,5.4768492,
1,8.5715101,
3,8.6291111,
5,9.4412370,
5,9.8060517,
3,9.9902836,
5,10.1728579,
7,10.1985993,
3,10.4494435,
1,10.7963924,
3,10.9808694,
5,11.0062562,
5,11.0084923,
3,11.1444034,
3,11.7093438,
5,11.7698993,
7,11.9102142,
5,12.2758401,
9,12.36,
1,12.4210403,
3,12.4597835,
3,12.5646120,
1,12.5798627,
5,12.6875098,
7,12.7708070,
5,13.0289455,
5,13.0519340,
7,13.0542630,
7,13.0742633,
5,13.0837049,
9,13.1086088,
3,13.1980543,
3,13.2181072,
1,13.3873,
7,13.3914164,
3,13.4060063,
7,13.4250900,
3,13.4406662,
5,13.5004557,
3,13.5273531,
5,13.5338830,
5,13.6266057,
1,13.9669284,
1,14.2059980,
3,14.2102471,
7,14.3743010,
7,14.3934471,
9,14.3996322,
5,14.4087471,
5,14.4990609,
7,14.5066,
7,14.5339926,
3,14.5340,
5,15.1605429,
3,15.2090,
7,15.5146221,
9,15.5289339,
7,15.5458512,
9,15.5645485,
5,15.5739191,
3,15.5955,
11,15.6154273,
7,15.6353549,
5,15.6591057,
9,15.7030715,
7,15.7397251,
3,15.7537565,
5,15.7688364,
3,15.8578,
7,15.9374357,
3,16.0414,
3,16.1637,
3,16.2564,
,16.703,

#ignore,test#2.26
