g,LeveleV
1,0.0000000,
1,4.6673829,
3,4.8864946,
5,5.4606248,
3,6.7036623,
3,7.7304551,
1,7.9260767,
5,8.540829,
1,8.6189570,
3,8.6369628,
7,8.794472,
5,8.8285795,
3,8.839436,
5,8.8441714,
3,8.8445374,
5,8.8519849,
7,8.8563376,
3,9.1700120,
1,9.224990,
1,9.4782339,
3,9.4806918,
5,9.524891,
3,9.5298144,
9,9.539998,
5,9.5547145,
3,9.5572500,
5,9.5601496,
7,9.5628234,
5,9.576150,
7,9.576423,
7,9.576727,
9,9.582349,
3,9.697563,
1,9.720887,
5,9.754706,
3,9.771569,
1,9.8413266,
3,9.8459094,
5,9.87059,
5,9.876651,
3,9.878884,
5,9.880321,
7,9.881854,
7,9.88695,
5,9.886959,
7,9.88705,
9,9.88757,
9,9.891950,
9,9.8920,
11,9.8925,
3,9.914254,
7,9.934544,
3,9.951960,
1,9.9640556,
1,10.0305869,
3,10.0323737,
5,10.045526,
5,10.0498662,
3,10.051518,
5,10.052323,
7,10.053254,
5,10.05556,
7,10.055788,
7,10.05586,
9,10.05595,
11,10.0566,
9,10.05822,
9,10.05834,
3,10.0617498,
3,10.094319,
1,10.10141,
1,10.141961,
3,10.1428931,
5,10.1510456,
5,10.153635,
3,10.15480,
5,10.155323,
7,10.155986,
5,10.15717,
7,10.15727,
7,10.15741,
9,10.15749,
9,10.15877,
9,10.15877,
3,10.1595526,
3,10.182076,
1,10.186612,
1,10.213124,
3,10.213617,
5,10.2190839,
5,10.22072,
3,10.221642,
5,10.221927,
7,10.22234,
7,10.22313,
5,10.22314,
7,10.22324,
9,10.22333,
3,10.2242234,
9,10.22473,
9,10.22473,
3,10.239962,
1,10.243041,
1,10.261339,
3,10.261635,
5,10.265476,
5,10.26653,
3,10.26726,
5,10.267419,
7,10.26769,
7,10.26819,
5,10.26820,
7,10.26823,
9,10.26830,
3,10.2688444,
9,10.26986,
9,10.26986,
3,10.280199,
1,10.28237,
1,10.295510,
3,10.295701,
5,10.298509,
5,10.299231,
3,10.29979,
5,10.299863,
7,10.30010,
7,10.30046,
5,10.30046,
7,10.30052,
9,10.30056,
3,10.300846,
9,10.3015,
9,10.3015,
3,10.30925,
1,10.31086,
1,10.320641,
3,10.320748,
5,10.322851,
5,10.32333,
3,10.32374,
5,10.32384,
7,10.32407,
5,10.32429,
7,10.32433,
7,10.32434,
9,10.32436,
3,10.324563,
9,10.3258,
9,10.3258,
3,10.330946,
1,10.332161,
1,10.339611,
3,10.339703,
5,10.341316,
5,10.341733,
3,10.34203,
5,10.34212,
7,10.34222,
7,10.34241,
5,10.34241,
9,10.34246,
7,10.34250,
3,10.342588,
3,10.34756,
1,10.34848,
1,10.354327,
3,10.354384,
5,10.355664,
5,10.35599,
3,10.35620,
5,10.35629,
7,10.35638,
7,10.35654,
9,10.35655,
7,10.35657,
5,10.35660,
3,10.356647,
3,10.36060,
1,10.36124,
1,10.365968,
3,10.365990,
5,10.367022,
5,10.367212,
3,10.36747,
5,10.36756,
7,10.36760,
7,10.36761,
7,10.36778,
3,10.367793,
3,10.37101,
1,10.37140,
3,10.375340,
1,10.375340,
5,10.376164,
7,10.37624,
5,10.37629,
5,10.37654,
3,10.37656,
7,10.37672,
7,10.37675,
3,10.376788,
3,10.37941,
1,10.37977,
1,10.382961,
3,10.382961,
5,10.383644,
5,10.38368,
7,10.38392,
5,10.38399,
7,10.38401,
3,10.38409,
3,10.384148,
5,10.38964,
7,10.39009,
7,10.39014,
5,10.39017,
3,10.39022,
7,10.39025,
9,10.39030,
7,10.39522,
7,10.39529,
9,10.39957,
7,10.39965,
7,10.40306,
9,10.40315,
,10.437504,
3,11.00479,
1,11.170927,
3,11.62183,
3,11.65203,
5,11.926,
7,12.03889,
5,12.064883,
3,13.1277,
3,13.9201,
3,13.97318,
3,13.97593,
3,14.2634,
3,14.28693,
3,14.28836,
3,14.44463,
3,14.45795,
3,14.45876,
3,14.55226,
3,14.56007,
3,14.56062,
3,14.62143,
3,14.62599,
3,14.62637,
3,14.66878,
3,14.67160,
3,14.67186,
3,14.70159,
3,14.70330,
3,14.70350,
3,14.72632,
3,14.72708,
3,14.72723,
3,14.74317,
3,14.7455,
3,14.7456,
3,14.75878,
3,14.77108,
3,14.77991,
3,14.78781,
,14.84091,
3,14.8723,
3,14.9660,
3,15.7426,
3,15.77729,
3,15.8418,
3,16.1088,
3,16.12381,
3,16.15373,
3,16.29818,
3,16.30723,
3,16.32366,
3,16.41037,
3,16.4138,
3,16.42636,
3,16.48129,
3,16.4857,
3,16.49191,
3,16.53034,
3,16.5321,
3,16.53533,
3,16.56392,
3,16.56795,
3,16.59062,
3,16.59217,
3,16.6078,
3,16.60801,
3,16.62357,
3,16.63529,
3,16.64642,
3,16.6517,
,16.70637,

#ignore,test#1.11
