g,LeveleV
6,0.0000000,
10,0.5934693,
4,1.0439271,
8,1.1600354,
6,1.6526197,
4,1.9578728,
6,2.0855300,
8,2.2438368,
4,2.6245879,
2,2.6926027,
6,2.9088612,
4,2.9601934,
10,3.0846676,
2,3.3792786,
8,3.5993269,
10,3.6280268,
4,3.9968848,
6,4.0813869,
8,4.2957135,
6,4.5234481,
4,4.6962555,
6,5.1371760,
4,5.2112904,
10,5.4227503,
2,5.7090336,
12,6.0245297,
8,6.2692177,
8,6.3738309,
2,6.646803,
4,6.6641075,
10,6.6797160,
6,6.7414572,
4,7.0160150,
6,7.0693528,
6,7.1987827,
10,7.251995,
10,7.5515948,
2,7.561406,
12,7.5702919,
6,7.5866019,
8,7.6455511,
2,7.7839402,
10,7.7887536,
8,7.9026144,
8,7.935477,
4,7.9831760,
6,8.0288922,
12,8.064707,
6,8.1025059,
2,8.131771,
4,8.1864360,
8,8.2368136,
8,8.4037072,
2,8.5841336,
6,8.6731125,
10,8.7013751,
6,8.7258948,
10,8.8055035,
8,8.8418862,
4,8.8481002,
6,8.9205334,
4,9.0541218,
10,9.1043323,
8,9.1452953,
6,9.1748151,
4,9.2047750,
12,9.2256036,
6,9.2515964,
8,9.2673197,
2,9.2684246,
8,9.3217437,
6,9.3441797,
4,9.3709075,
6,9.480028,
4,9.4984408,
2,9.535384,
10,9.6112272,
4,9.613523,
2,9.641459,
8,9.6761091,
6,9.7023624,
4,9.7268748,
10,9.783163,
4,9.8061828,
6,9.8700748,
2,9.879486,
8,9.943207,
6,10.0251778,
12,10.0531309,
8,10.1540274,
6,10.2331402,
10,10.252536,
4,10.268869,
4,10.2873132,
8,10.334372,
12,10.357464,
4,10.418432,
10,10.4373293,
6,10.442776,
8,10.574956,
10,10.625487,
6,10.625645,
12,10.634829,
8,10.6411465,
4,10.646107,
6,10.723367,
10,10.730175,
2,10.740072,
8,10.760179,
4,10.811966,
2,10.914220,
4,10.924285,
8,10.932106,
2,10.952966,
10,10.955159,
8,10.983708,
4,11.046383,
6,11.109974,
10,11.141628,
8,11.180064,
12,11.206183,
6,11.251154,
2,11.284629,
6,11.316192,
8,11.365630,
12,11.471883,
10,11.473139,
4,11.499420,
4,11.501764,
6,11.555022,
12,11.570480,
8,11.572235,
8,11.590295,
10,11.657295,
6,11.688181,
4,11.695424,
6,11.733032,
2,11.757393,
8,11.758976,
10,11.806525,
4,11.847647,
8,11.855008,
6,11.871994,
10,11.8781079,
12,11.916089,
10,11.918761,
6,11.952497,
2,11.957527,
8,11.9786587,
4,12.049208,
8,12.104653,
4,12.123989,
6,12.124766,
8,12.173639,
8,12.251847,
4,12.282963,
6,12.300356,
2,12.332835,
6,12.373354,
10,12.427272,
6,12.428112,
4,12.474266,
4,12.4970830,
8,12.510440,
2,12.536425,
6,12.5470935,
8,12.564794,
2,12.571265,
6,12.571739,
4,12.5865820,
10,12.590494,
12,12.599091,
6,12.636098,
10,12.657062,
6,12.697833,
8,12.710965,
12,12.722399,
4,12.730492,
8,12.754533,
10,12.777885,
4,12.822596,
6,12.827821,
8,12.834498,
2,12.849386,
8,12.905607,
4,12.905777,
6,12.914037,
12,12.945199,
4,12.962321,
10,12.971885,
10,12.9733286,
14,12.989016,
12,12.997471,
4,13.009701,
4,13.020595,
6,13.023601,
12,13.0265725,
8,13.0291138,
10,13.0664674,
8,13.087074,
10,13.088079,
6,13.092402,
2,13.108367,
8,13.1168551,
4,13.129500,
6,13.1376831,
8,13.170830,
6,13.1962549,
4,13.248070,
10,13.265720,
8,13.265884,
6,13.290055,
10,13.314206,
4,13.339232,
8,13.394919,
6,13.395018,
4,13.409583,
8,13.430272,
12,13.438140,
6,13.469555,
2,13.473679,
8,13.480497,
10,13.489762,
14,13.519346,
8,13.552455,
4,13.557221,
2,13.5772668,
6,13.579735,
4,13.579772,
8,13.598121,
8,13.605172,
6,13.607726,
2,13.6408546,
10,13.646539,
4,13.648892,
2,13.654889,
8,13.6564692,
6,13.6578777,
6,13.662616,
8,13.663354,
10,13.6701922,
4,13.6702770,
4,13.6888630,
10,13.713788,
6,13.717366,
4,13.723128,
10,13.732841,
6,13.7824212,
6,13.801990,
8,13.806227,
2,13.808339,
8,13.851077,
4,13.868050,
10,13.916946,
4,13.9399599,
12,13.975898,
2,14.0250511,
2,14.107635,
10,14.150025,
8,14.1659833,
8,14.189073,
6,14.190627,
12,14.201059,
12,14.228873,
10,14.240992,
6,14.243370,
6,14.2657344,
10,14.296545,
8,14.35763,
8,14.460775,
10,14.467602,
10,14.468748,
12,14.493387,
10,14.5484176,
8,14.567345,
12,14.639574,
6,14.761199,
10,15.0828290,
,18.56,

#ignore,test#21.39
