g,LeveleV
4,0.0000000,
4,1.2674142,
6,1.5401136,
2,2.5474526,
4,2.9796000,
6,8.8267483,
4,9.285598,
2,9.460102,
2,9.726340,
4,10.153739,
4,10.258865,
2,10.362278,
6,10.544783,
4,10.558452,
6,10.612034,
4,10.756857,
6,10.836782,
8,10.898194,
2,11.009321,
6,11.025271,
4,11.029769,
10,11.223009,
8,11.257419,
4,11.430286,
2,11.492283,
6,11.504893,
2,11.651902,
6,11.761219,
4,11.804333,
4,11.920429,
8,11.96877,
2,12.123186,
6,12.302912,
4,12.346916,
6,12.412318,
4,12.490261,
8,12.50205,
2,12.530509,
4,12.549801,
2,12.568385,
2,12.662162,
4,12.676715,
6,12.686620,
6,12.73361,
8,12.783497,
4,12.886409,
4,13.019095,
6,13.090626,
2,13.157104,
8,13.29661,
2,13.33100,
6,13.49189,
2,13.51500,
4,13.65516,
4,13.86839,
6,13.879621,
4,13.920007,
6,13.954278,
8,13.983991,
2,13.988385,
6,14.08020,
2,14.142694,
4,14.345041,
4,14.394777,
6,14.485980,
2,14.530003,
4,14.538886,
4,14.548269,
6,14.591183,
8,14.612661,
2,14.631254,
4,14.67049,
6,14.68228,
6,14.954618,
8,14.96086,
6,15.009998,
2,15.015256,
4,15.023654,
4,15.066427,
6,15.129515,
8,15.143170,
6,15.150477,
10,15.179013,
8,15.202527,
4,15.222185,
6,15.236123,
10,15.330636,
8,15.331212,
2,15.331571,
6,15.359836,
4,15.384216,
6,15.454183,
4,15.506215,
2,15.533648,
4,15.552883,
2,15.55724,
12,15.55945,
10,15.577913,
6,15.610358,
8,15.617930,
8,15.619998,
2,15.627959,
6,15.629821,
4,15.639162,
8,15.642370,
2,15.648294,
6,15.649282,
4,15.660388,
4,15.686091,
2,15.88021,
6,15.91312,
4,16.09181,
6,16.105203,
4,16.22125,
8,16.4951,
8,16.585242,
6,16.60207,
2,16.62922,
4,16.67529,
6,16.74941,
6,16.78787,
4,16.81005,
6,16.97117,
2,16.97213,
8,17.077545,
2,17.59269,
4,18.23873,
6,18.33356,
,18.6,

#ignore,test#6.78
