g,LeveleV
4,0.0000000,
6,0.06575514,
2,1.30545058,
4,1.35606353,
6,1.37357308,
8,1.39828486,
4,1.40843037,
10,1.42979768,
4,1.85343904,
2,1.88724197,
6,1.89023866,
6,1.90027370,
4,1.90053704,
6,1.91884554,
8,1.94810445,
8,1.96694496,
4,1.98300885,
6,1.99193807,
4,2.00186598,
6,2.00344392,
10,2.01280684,
2,2.03779275,
4,2.05780343,
6,2.08499775,
8,2.12213288,
10,2.29362274,
8,2.29524532,
2,2.35276953,
4,2.35912087,
6,2.37404732,
2,2.38515941,
4,2.40605546,
6,2.66920361,
8,2.71716727,
2,2.9093007,
4,2.99189369,
4,3.03521575,
6,3.03993769,
2,3.06226712,
6,3.06818402,
8,3.08716091,
2,3.4498166,
4,3.48887133,
6,3.55760755,
8,3.59415140,
4,3.62926285,
10,3.6406858,
6,3.64766285,
8,3.67163408,
12,3.6972552,
10,3.70001580,
4,3.9065488,
2,3.9267704,
6,3.9278247,
8,3.9562321,
2,3.96471512,
4,3.9787789,
10,3.9908127,
6,4.0129233,
4,4.0210264,
6,4.06933385,
2,4.10988177,
2,4.1181902,
4,4.12098815,
4,4.12437131,
6,4.13581629,
6,4.14250623,
8,4.14505113,
6,4.16689962,
2,4.16751186,
8,4.16766002,
8,4.18480679,
10,4.18929663,
4,4.19592494,
4,4.20390258,
2,4.20451395,
8,4.21915772,
4,4.23479337,
4,4.24417054,
6,4.24617698,
6,4.24738211,
2,4.26979609,
6,4.28008591,
2,4.4239221,
4,4.4406685,
6,4.4709746,
4,4.48023931,
8,4.5082074,
4,4.51558026,
6,4.51688879,
4,4.51950858,
6,4.540115,
6,4.55649629,
4,4.5701053,
2,4.5922861,
6,4.59661373,
2,4.6005233,
4,4.6058117,
4,4.6176405,
6,4.6220296,
4,4.62261272,
6,4.638608,
6,4.6464221,
6,4.6524377,
4,4.6555474,
10,4.6603364,
8,4.66426434,
12,4.7073492,
6,4.7308188,
8,4.76245264,
2,4.7696664,
2,4.7700784,
8,4.77079008,
4,4.77880789,
10,4.7854211,
4,4.7891387,
6,4.7901891,
6,4.79514144,
6,4.7981388,
8,4.8058700,
8,4.8099969,
6,4.8103456,
8,4.81872249,
6,4.8215709,
10,4.8291127,
4,4.8355654,
8,4.8423989,
2,4.8462047,
8,4.8561169,
10,4.8610134,
4,4.86134876,
12,4.863015,
4,4.8653220,
2,4.8690359,
6,4.87112256,
4,4.87422638,
4,4.8872308,
6,4.89013405,
4,4.8907206,
4,4.9039530,
6,4.9054453,
4,4.9204419,
6,4.9255638,
8,4.9293566,
10,4.9470366,
8,4.9548621,
2,4.9950453,
4,5.0157896,
6,5.0234715,
4,5.0382895,
6,5.04273107,
4,5.13578369,
6,5.1457829,
4,5.1652463,
6,5.16637902,
4,5.1891539,
4,5.21340772,
6,5.21957568,
4,5.2205747,
,5.2213801,
6,5.2387824,
8,5.2678374,
2,5.2886238,
4,5.29237338,
10,5.3074320,
6,5.3136968,
8,5.33071115,
6,5.34000,
4,5.3431957,
6,5.3731777,
2,5.4111169,
8,5.4186688,
6,5.4403949,
6,5.46185,
8,5.4783975,
10,5.4788871,
8,5.50070,
6,5.53649,
2,5.5371388,
4,5.54739,
4,5.54806909,
10,5.54948,
8,5.5696,
6,5.57732,
6,5.5803378,
6,5.58788,
8,5.60454389,
8,5.62746,
8,5.66154104,
10,5.67804,
2,5.6967646,
4,5.7025510,
,6.21726,
6,6.23070,

#ignore,test#45.94
