g,LeveleV
1,0.0000,
7,9.68271,
5,9.82867,
3,10.02415,
5,10.35272,
5,17.09326,
3,17.36659,
7,17.43897,
9,17.52231,
1,17.53044,
5,17.66568,
7,17.91587,
5,18.00795,
7,18.09755,
3,18.28750,
3,18.29650,
5,18.33993,
9,23.59931,
7,23.89965,
5,24.09054,
5,25.79383,
5,26.25062,
3,26.27482,
1,26.32684,
3,26.57688,
7,26.64148,
5,26.69882,
9,26.83818,
11,26.85589,
3,26.89159,
5,26.91372,
7,26.98588,
3,26.98686,
5,27.00956,
7,27.03358,
9,27.03370,
1,27.08162,
5,27.09554,
3,27.14131,
9,27.19717,
7,27.23746,
3,27.27734,
5,27.35938,
9,27.40698,
7,27.41832,
5,27.44311,
1,28.59150,
1,28.91366,
5,28.96400,
7,29.05991,
9,29.08372,
3,29.11978,
5,29.19239,
7,29.21364,
1,29.32970,
5,29.39018,
3,29.44709,
7,29.46394,
3,29.53372,
9,29.8692,
7,30.0960,
5,30.2829,
9,30.3930,
3,30.4137,
7,30.4990,
5,30.5865,
9,30.7666,
7,30.8733,
5,30.9435,
3,30.9786,
9,31.0355,
7,31.1691,
7,31.2461,
5,31.2942,
9,31.4346,
3,31.4536,
7,31.5070,
5,31.6530,
1,31.92483,
3,31.93413,
5,31.94809,
7,31.9513,
11,31.96263,
13,31.96300,
3,31.97654,
5,31.98327,
7,31.99731,
5,31.9986,
11,32.00915,
9,32.01003,
9,32.01763,
7,32.02235,
5,32.28773,
3,32.30831,
11,32.31191,
9,32.31315,
5,32.3239,
7,32.3330,
7,32.33466,
5,32.33581,
7,32.3449,
7,32.35763,
9,32.35844,
5,32.36078,
3,32.3710,
3,32.39543,
11,32.46276,
9,32.47266,
5,32.47414,
3,32.47597,
7,32.51310,
7,32.53917,
9,32.54534,
5,32.54836,
1,32.62169,
3,32.67721,
5,32.69985,
3,32.76126,
5,32.8070,
7,32.81024,
9,32.82902,
3,32.83428,
7,32.8556,
5,32.85647,
3,32.8667,
7,32.88756,
5,32.89467,
5,32.9159,
9,32.9216,
7,32.9742,
3,33.0712,
5,33.1675,
3,33.2461,
5,33.2539,
7,33.2801,
9,33.3293,
5,33.3551,
7,33.4035,
9,33.4136,
3,33.4383,
7,33.4402,
5,33.4587,
5,33.6715,
1,33.7026,
5,33.7352,
3,33.7352,
3,33.7593,
7,33.7630,
5,33.7740,
3,33.7902,
7,33.8251,
5,33.8596,
3,33.8911,
1,33.9346,
9,33.9901,
5,34.0648,
7,34.1274,
3,34.1912,
5,34.2074,
7,34.2340,
9,34.2367,
5,34.2663,
9,34.4165,
7,34.4173,
5,34.4955,
7,34.6297,
3,34.6530,
3,34.7777,
5,34.8040,
3,34.80570,
5,34.80570,
13,34.81132,
15,34.81132,
5,34.81263,
7,34.81263,
7,34.81938,
9,34.81938,
11,34.82234,
13,34.82234,
9,34.82350,
7,34.97069,
5,34.98450,
3,34.99515,
5,35.04148,
11,35.04292,
3,35.04436,
9,35.04790,
7,35.06763,
5,35.08142,
7,35.08388,
9,35.08475,
3,35.1105,
5,35.15140,
7,35.15140,
11,35.15517,
13,35.15517,
7,35.16214,
9,35.16214,
9,35.16591,
11,35.16591,
1,35.20764,
3,35.29694,
3,35.31278,
5,35.32328,
7,35.38654,
3,35.39795,
5,35.40891,
7,35.42520,
5,35.42892,
7,35.5414,
9,35.5522,
3,35.5600,
3,35.8733,
5,36.1966,
3,36.31022,
5,36.31022,
13,36.31325,
15,36.31325,
5,36.31404,
7,36.31404,
7,36.31787,
9,36.31787,
11,36.31961,
13,36.31961,
9,36.32025,
11,36.32025,
7,36.40900,
5,36.41717,
3,36.4200,
3,36.42266,
11,36.45207,
9,36.45561,
5,36.45571,
3,36.45687,
7,36.46669,
5,36.47470,
7,36.48545,
9,36.48890,
5,36.5642,
5,36.65417,
7,36.65417,
11,36.65634,
13,36.65634,
7,36.66034,
9,36.66034,
9,36.66245,
11,36.66245,
3,36.7441,
3,36.75114,
5,36.75689,
7,36.78870,
3,36.80504,
5,36.80788,
7,36.81355,
5,36.81748,
3,37.19634,
13,37.20109,
11,37.20131,
5,37.20186,
5,37.20469,
7,37.20555,
9,37.20742,
7,37.20866,
11,37.21056,
9,37.21088,
3,37.21676,
5,37.21676,
13,37.21862,
15,37.21862,
5,37.21920,
7,37.21920,
7,37.22158,
9,37.22158,
11,37.22267,
13,37.22267,
9,37.22306,
11,37.22306,
7,37.28033,
5,37.28222,
3,37.28674,
11,37.54295,
9,37.54346,
5,37.54576,
7,37.54947,
7,37.55107,
9,37.55587,
5,37.56001,
7,37.56001,
11,37.56136,
13,37.56136,
7,37.56383,
9,37.56383,
9,37.56522,
11,37.56522,
5,37.62937,
7,37.6706,
13,37.80620,
15,37.80620,
5,37.80659,
7,37.80659,
7,37.80808,
9,37.80808,
11,37.80881,
13,37.80881,
9,37.80899,
11,37.80899,
7,37.84625,
5,37.84785,
11,38.14859,
13,38.14859,
5,38.18974,
7,38.23629,
5,38.23732,
3,38.57766,
5,38.57886,
,39.72330,

#ignore,test#1.0
