,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
25,200.2553,6.189364,131400000.0,33.0,As,I,1.353271,2.5,7.542573,1.5,GUES,1.0,4.0
34,200.3345,6.186917,230200000.0,33.0,As,I,1.353271,2.5,7.540126,2.5,CB,1.0,6.0
117,200.9195,6.168906,42620000.0,33.0,As,I,2.312016,1.5,8.48086,2.5,CB,1.0,6.0
178,201.333,6.156239,48300000.0,33.0,As,I,2.312016,1.5,8.468192,1.5,CB,1.0,4.0
628,204.758,6.053276,100100000.0,33.0,As,I,2.2548169999999996,0.5,8.308033,0.5,GUES,1.0,2.0
815,206.537,6.001144,123800000.0,33.0,As,I,2.2548169999999996,0.5,8.255901,0.5,GUES,1.0,2.0
848,206.7116,5.996077,78000000.0,33.0,As,I,2.312016,1.5,8.308033,0.5,GUES,1.0,2.0
883,206.9785,5.988345,61650000.0,33.0,As,I,2.2548169999999996,0.5,8.243103,1.5,GUES,1.0,4.0
1048,208.5248,5.943944999999999,121500000.0,33.0,As,I,2.312016,1.5,8.255901,0.5,GUES,1.0,2.0
1456,211.2995,5.865901,74650000.0,33.0,As,I,2.2548169999999996,0.5,8.120659,0.5,GUES,1.0,2.0
1745,213.3804,5.808701999999999,73200000.0,33.0,As,I,2.312016,1.5,8.120659,0.5,GUES,1.0,2.0
1908,214.4093,5.780832,18170000.0,33.0,As,I,2.2548169999999996,0.5,8.035591,1.5,GUES,1.0,4.0
2196,216.5522,5.723633,31670000.0,33.0,As,I,2.312016,1.5,8.035591,1.5,CB,1.0,4.0
2455,218.2944,5.677957,17530000.0,33.0,As,I,2.2548169999999996,0.5,7.932717,1.5,GUES,1.0,4.0
2770,220.5973,5.618689,17160000.0,33.0,As,I,2.2548169999999996,0.5,7.87345,1.5,GUES,1.0,4.0
3120,222.8663,5.56149,66940000.0,33.0,As,I,2.312016,1.5,7.87345,1.5,GUES,1.0,4.0
3673,226.669,5.468198999999999,21620000.0,33.0,As,I,2.312016,1.5,7.780158999999999,2.5,GUES,1.0,6.0
3742,227.1363,5.456949,57440000.0,33.0,As,I,1.313323,1.5,6.770217999999999,1.5,GUES,1.0,4.0
4024,228.8115,5.417001,382700000.0,33.0,As,I,1.353271,2.5,6.770217999999999,1.5,CB,1.0,4.0
