,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
6039,239.73,5.170303,164500000.0,68.01,Er,II,0.8461639999999999,7.5,6.016416,6.5,MC,2.0,14.0
7494,245.9753,5.03904,48750000.0,68.01,Er,II,0.8461639999999999,7.5,5.885154,7.5,MC,2.0,16.0
7913,247.7597,5.00275,20120000.0,68.01,Er,II,0.8461639999999999,7.5,5.848864,8.5,MC,2.0,18.0
7932,247.833,5.00127,45130000.0,68.01,Er,II,0.8461639999999999,7.5,5.847384,7.5,MC,2.0,16.0
8092,248.5202,4.987443,43750000.0,68.01,Er,II,0.8461639999999999,7.5,5.833557,6.5,MC,2.0,14.0
8556,250.3464,4.9510629999999995,81220000.0,68.01,Er,II,0.8461639999999999,7.5,5.797178,7.5,MC,2.0,16.0
9479,253.499,4.889494,44650000.0,68.01,Er,II,0.8461639999999999,7.5,5.735608999999999,7.5,MC,2.0,16.0
9770,254.4917,4.870423000000001,58940000.0,68.01,Er,II,0.8461639999999999,7.5,5.716538,6.5,MC,2.0,14.0
11000,258.7047,4.791114,15600000.0,68.01,Er,II,0.0,6.5,4.791066000000001,5.5,MC,2.0,12.0
11539,260.6712,4.754971,71870000.0,68.01,Er,II,1.40216,7.5,6.157083,7.5,MC,2.0,16.0
11705,261.2377,4.744661,160200000.0,68.01,Er,II,1.6537979999999999,6.5,6.398411,7.5,MC,2.0,16.0
11767,261.4552,4.740714,152700000.0,68.01,Er,II,1.6537979999999999,6.5,6.394465,6.5,MC,2.0,14.0
11835,261.6875,4.736507,8612000.0,68.01,Er,II,0.054607,5.5,4.791066000000001,5.5,MC,2.0,12.0
12027,262.419,4.723304,101300000.0,68.01,Er,II,0.8461639999999999,7.5,5.56942,6.5,MC,2.0,14.0
12608,264.716,4.682322,107900000.0,68.01,Er,II,1.6537979999999999,6.5,6.336072,7.5,MC,2.0,16.0
12778,265.3727,4.6707339999999995,189200000.0,68.01,Er,II,1.6537979999999999,6.5,6.324485,7.5,MC,2.0,16.0
13086,266.6301,4.6487099999999995,60670000.0,68.01,Er,II,0.636362,4.5,5.285026,3.5,MC,2.0,8.0
13206,267.026,4.641817,262800000.0,68.01,Er,II,0.8461639999999999,7.5,5.487934,7.5,MC,2.0,16.0
13259,267.2252,4.638358,156300000.0,68.01,Er,II,0.8461639999999999,7.5,5.484475,8.5,MC,2.0,18.0
13338,267.5359,4.6329720000000005,165900000.0,68.01,Er,II,1.40216,7.5,6.035085,8.5,MC,2.0,18.0
13689,268.8409,4.610483,109100000.0,68.01,Er,II,1.619322,6.5,6.229759,7.5,MC,2.0,16.0
14043,270.0661,4.589568,15520000.0,68.01,Er,II,0.636362,4.5,5.225884,3.5,MC,2.0,8.0
14339,271.2118,4.570181,82620000.0,68.01,Er,II,0.669972,3.5,5.240108,2.5,MC,2.0,6.0
14450,271.6602,4.5626370000000005,40340000.0,68.01,Er,II,1.322562,6.5,5.885154,7.5,MC,2.0,16.0
14589,272.1588,4.55428,165600000.0,68.01,Er,II,1.701012,8.5,6.255246,7.5,MC,2.0,16.0
14716,272.622,4.546542,20930000.0,68.01,Er,II,0.054607,5.5,4.601103,4.5,MC,2.0,10.0
14826,273.0097,4.5400849999999995,286700000.0,68.01,Er,II,1.535927,5.5,6.0759669999999995,6.5,MC,2.0,14.0
14857,273.1556,4.53766,9142000.0,68.01,Er,II,0.054607,5.5,4.592221,4.5,MC,2.0,10.0
15081,273.9313,4.524812,129900000.0,68.01,Er,II,0.8461639999999999,7.5,5.370931,6.5,MC,2.0,14.0
15533,275.5621,4.498035,434800000.0,68.01,Er,II,0.669972,3.5,5.167962,2.5,MC,2.0,6.0
15839,276.561,4.48179,8243000.0,68.01,Er,II,0.0,6.5,4.481745,5.5,MC,2.0,12.0
15867,276.6386,4.480533,253500000.0,68.01,Er,II,1.535927,5.5,6.016416,6.5,MC,2.0,14.0
16124,277.4616,4.467243,223500000.0,68.01,Er,II,1.619322,6.5,6.08652,6.5,MC,2.0,14.0
16273,277.8971,4.460242,368200000.0,68.01,Er,II,1.588866,9.5,6.0490639999999996,9.5,MC,2.0,20.0
16293,277.9609,4.459219999999999,169000000.0,68.01,Er,II,1.770584,7.5,6.229759,7.5,MC,2.0,16.0
16339,278.1187,4.45669,242800000.0,68.01,Er,II,1.619322,6.5,6.0759669999999995,6.5,MC,2.0,14.0
16354,278.1545,4.456116000000001,153500000.0,68.01,Er,II,1.701012,8.5,6.157083,7.5,MC,2.0,16.0
16371,278.1997,4.4553910000000005,14490000.0,68.01,Er,II,0.636362,4.5,5.091709,4.5,MC,2.0,10.0
16450,278.495,4.450668,67320000.0,68.01,Er,II,0.636362,4.5,5.0869860000000005,3.5,MC,2.0,8.0
