element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
La	1	"321.581"	"321.5810+"	"35"	"2.6e+07"	C+	"0.1305757"	"3.984920"	"5d.6s2"	"2D"	"5/2"	""	"*"	"7/2"	6	8		"T9460"	"L3475"	
La	1	"334.223"	"334.2230+"	"95"	"5.4e+07"	B	"0.1305757"	"3.839135"	"5d.6s2"	"2D"	"5/2"	""	"*"	"7/2"	6	8		"T9460"	"L3475"	
La	1	""	"338.8607+"	""	"1.01e+07"	C+	"0.0000000"	"3.657804&dagger;"	"5d.6s2"	"2D"	"3/2"	"4f.5d.(3D*).6s"	"*"	"5/2"	4	6		"T9460"	""	
La	1	""	"340.4519+"	""	"1.4e+07"	B	"0.1305757"	"3.771284&dagger;"	"5d.6s2"	"2D"	"5/2"	"4f.5d.(3P*).6s"	"4P*"	"3/2"	6	4		"T9460"	""	
La	1	"346.118"	"346.1184+"	"65"	"1.96e+07"	C+	"0.1305757"	"3.711683&dagger;"	"5d.6s2"	"2D"	"5/2"	"4f.5d.(3P*).6s"	"*"	"3/2"	6	4		"T9460"	"L3475"	
La	1	"351.407"	"351.4055+"	"45"	"1.75e+07"	C+	"0.1305757"	"3.657804&dagger;"	"5d.6s2"	"2D"	"5/2"	"4f.5d.(3D*).6s"	"*"	"5/2"	6	6		"T9460"	"L3475"	
La	1	"357.443"	"357.4425+"	"200"	"9.5e+07"	B+	"0.0000000"	"3.467657"	"5d.6s2"	"2D"	"3/2"	"4f.5d.(3D*).6s"	"*"	"3/2"	4	4		"T9460"	"L3475"	
La	1	"361.308"	"361.3074+"	"75"	"1.57e+07"	B	"0.0000000"	"3.430565"	"5d.6s2"	"2D"	"3/2"	"4f.5d.(3F*).6s"	"2F*"	"5/2"	4	6		"T9460"	"L3475"	
La	2	"362.883"	"362.8822+"	"320"	"4.0e+06"	C+	"0.125980"	"3.541658"	"5d2"	"a 3F"	"3"	"5d.6p"	"x 3F*"	"4"	7	9		"T7455"	"L3475"	
La	1	"363.667"	"363.6661+"	"35"	"7.2e+06"	B	"0.1305757"	"3.538891"	"5d.6s2"	"2D"	"5/2"	"4f.5d.(3F*).6s"	"2F*"	"7/2"	6	8		"T9460"	"L3475"	
La	1	"364.153"	"364.1519+"	"170u"	"9.1e+07"	B+	"0.1305757"	"3.534344"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(3D).6p"	"*"	"5/2"	6	6		"T9460"	"L3475"	
La	2	"364.542"	"364.5414+"	"1000"	"4.3e+07"	B	"0.000000"	"3.400131"	"5d2"	"a 3F"	"2"	"5d.6p"	"*"	"1"	5	3		"T7455"	"L3475"	
La	1	"364.953"	"364.9522+"	"90"	"1.88e+07"	B	"0.0000000"	"3.396304"	"5d.6s2"	"2D"	"3/2"	"5d2.(1D).6p"	"*"	"5/2"	4	6		"T9460"	"L3475"	
La	2	"366.208"	"366.2075+"	"170"	"3.0e+06"	C	"0.125980"	"3.510644"	"5d2"	"a 3F"	"3"	"5d.6p"	"y 3D*"	"3"	7	7		"T7455"	"L3475"	
La	1	"367.202"	"367.2014+"	"17"	"1.26e+07"	C+	"0.0000000"	"3.375502"	"5d.6s2"	"2D"	"3/2"	"5d2.(3P).6p"	"2P*"	"3/2"	4	4		"T9460"	"L3475"	
La	1	""	"369.9551+"	""	"2.29e+06"	B	"0.0000000"	"3.350378"	"5d.6s2"	"2D"	"3/2"	"4f.5d.(3G*).6s"	"4G*"	"5/2"	4	6		"T9460"	""	
La	1	"370.454"	"370.4532+"	"120"	"2.08e+07"	B	"0.1305757"	"3.476449"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(1D).6p"	"*"	"7/2"	6	8		"T9460"	"L3475"	
La	2	"371.354"	"371.3545+"	"550"	"1.09e+07"	C+	"0.172891"	"3.510644"	"5d2"	""	"2"	"5d.6p"	"y 3D*"	"3"	5	7		"T7455"	"L3475"	
La	1	""	"371.4292+"	""	"5.9e+06"	B	"0.1305757"	"3.467657"	"5d.6s2"	"2D"	"5/2"	"4f.5d.(3D*).6s"	"*"	"3/2"	6	4		"T9460"	""	
La	2	"375.908"	"375.9079+"	"2400"	"4.9e+07"	B	"0.244336"	"3.541658"	"5d2"	"a 3F"	"4"	"5d.6p"	"x 3F*"	"4"	9	9		"T7455"	"L3475"	
La	2	"379.083"	"379.0823+"	"3700"	"9.9e+07"	B+	"0.125980"	"3.395693"	"5d2"	"a 3F"	"3"	"5d.6p"	"y 3D*"	"2"	7	5		"T7455"	"L3475"	
La	2	"379.478"	"379.4774+"	"3900"	"1.07e+08"	B	"0.244336"	"3.510644"	"5d2"	"a 3F"	"4"	"5d.6p"	"y 3D*"	"3"	9	7		"T7455"	"L3475"	
La	1	""	"379.5447+"	""	"4.7e+06"	B	"0.1305757"	"3.396304"	"5d.6s2"	"2D"	"5/2"	"5d2.(1D).6p"	"*"	"5/2"	6	6		"T9460"	""	
La	1	""	"381.9779+"	""	"1.28e+06"	C+	"0.1305757"	"3.375502"	"5d.6s2"	"2D"	"5/2"	"5d2.(3P).6p"	"2P*"	"3/2"	6	4		"T9460"	""	
La	1	""	"383.3375+"	""	"1.9e+06"	D+	"0.1305757"	"3.363994"	"5d.6s2"	"2D"	"5/2"	"5d2.(1G).6p"	"2G*"	"7/2"	6	8		"T9460"	""	
La	2	"384.072"	"384.0713+"	"600"	"2.18e+07"	B	"0.172891"	"3.400131"	"5d2"	""	"2"	"5d.6p"	"*"	"1"	5	3		"T7455"	"L3475"	
La	2	"384.902"	"384.9006+"	"1600"	"5.3e+07"	B+	"0.000000"	"3.220287"	"5d2"	"a 3F"	"2"	"5d.6p"	"y 3D*"	"1"	5	3		"T7455"	"L3475"	
La	1	""	"385.2425+"	""	"3.0e+06"	C	"0.0000000"	"3.217430"	"5d.6s2"	"2D"	"3/2"	"5d2.(3P).6p"	"*"	"3/2"	4	4		"T9460"	""	
La	2	"387.164"	"387.1635+"	"3400"	"4.67e+07"	B+	"0.125980"	"3.327446"	"5d2"	"a 3F"	"3"	"5d.6p"	"x 3F*"	"3"	7	7		"T7455"	"L3475"	
La	1	""	"387.8879+"	""	"8.2e+06"	C+	"0.5110098"	"3.706496"	"5d2.(3F).6s"	"4F"	"9/2"	"4f.5d.(3D*).6s"	"*"	"7/2"	10	8		"T9460"	""	
La	2	"388.637"	"388.6372+"	"1700"	"3.3e+07"	C+	"0.321317"	"3.510644"	"5d.6s"	"a 3D"	"2"	"5d.6p"	"y 3D*"	"3"	5	7		"T7455"	"L3475"	
La	1	"389.860"	"389.8595+"	"50"	"9.5e+06"	B	"0.0000000"	"3.179327"	"5d.6s2"	"2D"	"3/2"	"5d2.(3P).6p"	"4P*"	"3/2"	4	4		"T9460"	"L3475"	
La	1	"390.258"	"390.2560+"	"35"	"1.24e+07"	B	"0.0000000"	"3.176097"	"5d.6s2"	"2D"	"3/2"	"5d2.(3P).6p"	"4P*"	"1/2"	4	2		"T9460"	"L3475"	
La	2	"391.605"	"391.6042+"	"1300"	"4.5e+07"	B	"0.234969"	"3.400131"	"5d.6s"	"a 3D"	"1"	"5d.6p"	"*"	"1"	3	3		"T7455"	"L3475"	
