element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Tm	1	"251.3778"	"0.0005"	"251.3778+"	"900D"	"5.3e+06"	B+	"0.0000000"	"4.930702"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f12.(1G<4>).5d<5/2>.6s2"	"(4,5/2)"	"9/2"	8	10		"T6708"	"L2006,L3475"	
Tm	1	"252.7022"	"0.0005"	"252.7020+"	"1300"	"1.47e+07"	B+	"0.0000000"	"4.904866"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f12.(1G<4>).5d<3/2>.6s2"	""	"7/2"	8	8		"T3042n"	"L2006,L3475"	
Tm	1	"252.785"	"0.002"	"252.7857+"	"350"	"6.4e+06"	C+	"0.0000000"	"4.903242"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<7/2>).5d.6p.(3F*<2>)"	"(7/2,2)"	"5/2"	8	6		"T3042n"	"L3475"	
Tm	1	"254.9810"	"0.0005"	"254.9810+"	"400"	"2.7e+06"	C+	"0.0000000"	"4.861029"	"4f13.(2F*).6s2"	"2F*"	"7/2"	""	""	"9/2"	8	10		"T3042n"	"L2006"	
Tm	1	"255.2764"	"0.0005"	"255.2766+"	"3600"	"3.68e+07"	B+	"0.0000000"	"4.855401"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<7/2>).6s.7p"	""	"7/2?"	8	8		"T3042n"	"L2006,L3475"	
Tm	1	"258.342"	"0.002"	"258.3421+"	"350"	"3.5e+06"	C+	"0.0000000"	"4.797790"	"4f13.(2F*).6s2"	"2F*"	"7/2"	""	""	"5/2"	8	6		"T3042n"	"L3475"	
Tm	1	"259.6489"	"0.0005"	"259.6491+"	"1700h"	"1.40e+07"	B+	"0.0000000"	"4.773640"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<7/2>).6s.7p"	""	"9/2"	8	10		"T3042n"	"L2006,L3475"	
Tm	1	"260.1092"	"0.0005"	"260.1091+"	"1100"	"1.49e+07"	B+	"0.0000000"	"4.765199"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<7/2>).6s.7p"	""	"5/2"	8	6		"T3042n"	"L2006,L3475"	
Tm	1	"262.1936"	"0.0005"	"262.1937+"	"230"	"6.2e+05"	C+	"0.0000000"	"4.727315"	"4f13.(2F*).6s2"	"2F*"	"7/2"	""	""	"5/2"	8	6		"T3042n"	"L2006"	
Tm	1	"262.2467"	"0.0005"	"262.2464+"	"400"	"5.2e+06"	C+	"0.0000000"	"4.726366"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f12.(1G<4>).5d<3/2>.6s2"	"(4,3/2)"	"9/2"	8	10		"T3042n"	"L2006,L3475"	
Tm	1	"265.0950"	"0.0005"	"265.09517+"	"150"	"3.8e+05"	C+	"0.0000000"	"4.6755773"	"4f13.(2F*).6s2"	"2F*"	"7/2"	""	""	"9/2"	8	10		"T3042n"	"L2006"	
Tm	1	"266.0417"	"0.0005"	"266.04203+"	"260"	"4.6e+05"	C+	"0.0000000"	"4.6589376"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<7/2>).6s.7p"	""	"9/2"	8	10		"T3042n"	"L2006"	
Tm	1	"283.5098"	"0.0005"	"283.50993+"	"210"	"1.13e+06"	C+	"0.0000000"	"4.3719013"	"4f13.(2F*).6s2"	"2F*"	"7/2"	""	""	"5/2"	8	6		"T3042n"	"L2006"	
Tm	1	"284.1123"	"0.0005"	"284.1124+"	"800"	"1.4e+07"	D+	"1.0874955"	"5.450126"	"4f13.(2F*).6s2"	"2F*"	"5/2"	"4f13.(2F*<7/2>).5d.6p.(3D*<3>)"	"(7/2,3)"	"5/2"	6	6		"T3338n"	"L2006,L3475"	
Tm	1	"285.4166"	"0.0005"	"285.4166+"	"2000"	"2.42e+07"	B	"0.0000000"	"4.342698"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<5/2>).6s.6p.(1P*<1>)"	""	"5/2"	8	6		"T6708"	"L2006,L3475"	
Tm	1	"291.4839"	"0.0005"	"291.4839+"	"1700"	"9.4e+06"	C+	"0.0000000"	"4.252307"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<5/2>).6s.6p.(1P*<1>)"	"(5/2,1)"	"7/2"	8	8		"T6708"	"L2006,L3475"	
Tm	1	"293.2966"	"0.0005"	"293.2967+"	"800"	"1.13e+07"	B	"0.0000000"	"4.226026"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<5/2>).6s.6p.(1P*<1>)"	"(5/2,1)"	"5/2"	8	6		"T6708"	"L2006,L3475"	
Tm	1	"297.3218"	"0.0005"	"297.3218+"	"4900"	"2.17e+07"	B+	"0.0000000"	"4.168817"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f12.(3F<2>).5d<5/2>.6s2"	""	"7/2"	8	8		"T6708"	"L2006,L3475"	
Tm	1	"304.6870"	"0.0005"	"304.6870+"	"3400D"	"1.61e+07"	B+	"0.0000000"	"4.068048"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f12.(3F<3>).5d<5/2>.6s2"	"(3,5/2)"	"7/2"	8	8		"T3042n"	"L2006,L3475"	
