g,LeveleV
2,0.000000,
2,6.655835,
4,6.684806,
6,14.376738,
4,14.377022,
2,15.642349,
2,17.808269,
4,17.818203,
6,20.554884,
4,20.555032,
6,20.781332,
8,20.781409,
2,21.156335,
2,22.122926,
4,22.127500,
6,23.417834,
4,23.417915,
6,23.541636,
8,23.541676,
8,23.548132,
10,23.548155,
2,23.741019,
2,24.254002,
4,24.256484,
6,24.967343,
4,24.967387,
6,25.041232,
8,25.041232,
8,25.045252,
10,25.045252,
12,25.046012,
10,25.046012,
2,25.159072,
2,25.463347,
4,25.464838,
6,25.898046,
4,25.898046,
6,25.945336,
8,25.945336,
8,25.947975,
10,25.947975,
10,25.948462,
12,25.948462,
2,26.020550,
6,26.500065,
4,26.500065,
8,26.532058,
6,26.532058,
10,26.533886,
8,26.533886,
12,26.534222,
10,26.534222,
8,26.934242,
6,26.934242,
10,26.935588,
8,26.935588,
12,26.935834,
10,26.935834,
,28.447642,
4,72.884,
2,73.333,
4,77.522,
8,78.4142,
6,78.509,
4,78.6108,
2,78.72,
6,79.0339,
4,79.14,
4,79.37,
6,79.51,
2,79.60,
4,79.70,
2,86.002,
4,86.13,
6,86.8022,
8,87.3472,
6,87.4487,
6,88.7654,
10,88.8103,
2,89.31,
4,89.774,
6,89.885,
4,89.954,
2,90.20,

#ignore,test#2.01
