g,LeveleV
4,0.00000000,
2,0.10939764,
6,8.9217000,
4,8.9874370,
2,9.0294019,
4,9.2028320,
2,9.2821597,
6,10.2806325,
4,10.3069180,
2,10.3359337,
8,10.4015349,
6,10.4295834,
4,10.4297829,
6,10.4310711,
4,10.4748433,
6,10.4950268,
2,10.5000528,
4,10.5372286,
2,10.5689499,
4,10.5935112,
2,10.622835,
4,10.6297965,
2,10.6524665,
8,10.9080665,
6,10.9205334,
4,10.933987,
2,10.944422,
10,11.182586,
8,11.219066,
6,11.251487,
4,11.276181,
2,11.291119,
8,11.293652,
6,11.298312,
4,11.304075,
6,11.325151,
4,11.349328,
2,11.352526,
6,11.364464,
4,11.366994,
6,11.394990,
4,11.4239198,
2,11.425315,
4,11.430623,
2,11.481272,
4,11.6934712,
2,11.7126455,
6,11.7143043,
4,11.7367992,
8,11.745308,
6,11.7570682,
2,11.7752360,
6,11.7964298,
8,11.8008680,
4,11.8173988,
6,11.8281832,
2,11.8448209,
2,11.8525909,
4,11.8544214,
8,11.8653962,
4,11.8660979,
6,11.8760437,
4,11.8897827,
2,11.9019327,
4,11.9413310,
6,11.9623537,
4,11.9627639,
10,11.9638208,
2,11.9761416,
8,11.9931368,
2,12.0178108,
6,12.0197146,
4,12.0269732,
2,12.0449809,
8,12.0493147,
6,12.0559411,
4,12.0586797,
6,12.0684839,
4,12.0703647,
4,12.0860620,
6,12.0926909,
10,12.1091213,
8,12.1092138,
8,12.1100440,
6,12.110074,
4,12.113707,
6,12.1137448,
12,12.114822,
10,12.114826,
2,12.118097,
4,12.118131,
6,12.1266121,
4,12.1309590,
4,12.1560283,
2,12.1628920,
4,12.196694,
6,12.196751,
10,12.197991,
8,12.198027,
2,12.198897,
8,12.202387,
6,12.202413,
6,12.235241,
8,12.2363741,
6,12.236400,
4,12.246960,
8,12.247819,
6,12.253755,
2,12.263955,
4,12.276846,
8,12.2992798,
6,12.3078024,
4,12.3184091,
2,12.3250097,
2,12.328503,
6,12.331938,
10,12.3386587,
2,12.3406952,
4,12.3407891,
4,12.3449145,
2,12.347135,
8,12.3573052,
4,12.3589789,
2,12.3626267,
6,12.3693959,
4,12.376512,
