g,LeveleV
8,0.000000,
6,1.602337,
8,1.617857,
10,1.639324,
12,1.668481,
14,1.708339,
8,1.744192,
10,1.805653,
4,1.876838,
6,1.890605,
8,1.911991,
12,1.931870,
10,1.944107,
6,1.970175,
8,1.977834,
12,1.993636,
10,2.059599,
8,2.149967,
6,2.195440,
4,2.224957,
10,2.389577,
8,2.400892,
12,2.411144,
6,2.412987,
4,2.423109,
2,2.429986,
10,2.433966,
8,2.443995,
6,2.450396,
4,2.454169,
6,2.658789,
8,2.678700,
10,2.698052,
6,3.453319,
4,3.536026,
6,3.554303,
10,3.566259,
8,3.574195,
8,3.585396,
10,3.601214,
6,3.611013,
10,3.618642,
8,3.659748,
12,3.671506,
8,3.695873,
10,3.699514,
6,3.717356,
6,3.730851,
14,3.745698,
6,3.796333,
10,3.799199,
8,3.816685,
6,3.818473,
4,3.818801,
10,3.821086,
12,3.821124,
8,3.823919,
10,3.831340,
16,3.834051,
6,3.836700,
12,3.845305,
6,3.856811,
8,3.857939,
8,3.860634,
6,3.868740,
8,3.870452,
10,3.890948,
10,3.912168,
8,3.924531,
12,3.933514,
2,3.934733,
4,3.941174,
8,3.948749,
6,3.952131,
8,3.967896,
14,3.982013,
10,3.983643,
10,3.990388,
10,3.993516,
10,3.995290,
12,4.008004,
8,4.016871,
12,4.019367,
12,4.027125,
10,4.041427,
14,4.041637,
8,4.051944,
14,4.061938,
12,4.085082,
8,4.086749,
8,4.121960,
6,4.167657,
10,4.188124,
6,4.188998,
10,4.200480,
8,4.204152,
6,4.211107,
6,4.223612,
4,4.225525,
8,4.228082,
8,4.231137,
8,4.232592,
8,4.253447,
12,4.254762,
6,4.258095,
10,4.260857,
6,4.267901,
8,4.270078,
10,4.273339,
12,4.278143,
14,4.282983,
10,4.283166,
6,4.284376,
8,4.285126,
10,4.305452,
10,4.307062,
4,4.328733,
6,4.335441,
8,4.343660,
8,4.345726,
8,4.346047,
10,4.352706,
6,4.361045,
12,4.364812,
10,4.374216,
4,4.374438,
8,4.386306,
6,4.388812,
12,4.395640,
12,4.396571,
8,4.415384,
6,4.426688,
10,4.430156,
4,4.433938,
4,4.438521,
10,4.440304,
4,4.456179,
8,4.464142,
4,4.469059,
6,4.469959,
10,4.472322,
6,4.472435,
8,4.473475,
8,4.475537,
6,4.476803,
10,4.490584,
12,4.493477,
6,4.498744,
4,4.504906,
8,4.510732,
6,4.514384,
6,4.518204,
4,4.525628,
10,4.525989,
10,4.531477,
10,4.533686,
6,4.535876,
4,4.536129,
8,4.536493,
8,4.537925,
6,4.538866,
4,4.540549,
2,4.541598,
8,4.545175,
8,4.550268,
6,4.554716,
12,4.570930,
10,4.573730,
6,4.587625,
12,4.591734,
6,4.599046,
10,4.603047,
8,4.606329,
10,4.611686,
6,4.620440,
8,4.624814,
12,4.636096,
6,4.649716,
8,4.649998,
6,4.658615,
8,4.659944,
8,4.660493,
10,4.660716,
12,4.686655,
8,4.688190,
8,4.693021,
10,4.700096,
10,4.709923,
8,4.710653,
6,4.716029,
8,4.720409,
6,4.721353,
10,4.732125,
4,4.741857,
10,4.743994,
8,4.747470,
12,4.747624,
8,4.749248,
10,4.756117,
8,4.762460,
6,4.768093,
4,4.777225,
12,4.777628,
2,4.781324,
4,4.781541,
8,4.782006,
6,4.782397,
10,4.783376,
12,4.783534,
16,4.784011,
14,4.784021,
10,4.793405,
8,4.795318,
6,4.802997,
12,4.817090,
8,4.825185,
6,4.827169,
10,4.832301,
10,4.837255,
6,4.838170,
12,4.840382,
10,4.841801,
8,4.842786,
14,4.843231,
6,4.846019,
8,4.851117,
4,4.851417,
2,4.851762,
6,4.852356,
4,4.854191,
6,4.857623,
10,4.859201,
8,4.860655,
8,4.865457,
10,4.867179,
6,4.868564,
4,4.869954,
8,4.870686,
12,4.871508,
10,4.873339,
8,4.876088,
12,4.876631,
14,4.881157,
12,4.895665,
10,4.896321,
8,4.896949,
6,4.897414,
6,4.911181,
6,4.930941,
10,4.932416,
6,4.968489,
12,4.983917,
10,4.984218,
8,4.984306,
4,4.984583,
6,4.984621,
2,4.984997,
2,4.986384,
4,4.987098,
12,4.988646,
8,4.988708,
6,4.988796,
14,4.989702,
10,4.990324,
8,4.996318,
10,4.996820,
8,4.999495,
10,5.005566,
8,5.005692,
10,5.015844,
8,5.020503,
8,5.030783,
8,5.034912,
6,5.036746,
6,5.037456,
8,5.040021,
10,5.054102,
10,5.054626,
6,5.057617,
10,5.063349,
10,5.063906,
10,5.065264,
8,5.066293,
6,5.075834,
10,5.078689,
8,5.082507,
8,5.088011,
12,5.090150,
6,5.093070,
16,5.102213,
4,5.103936,
6,5.104075,
8,5.104330,
10,5.104553,
10,5.105017,
12,5.105264,
14,5.106180,
8,5.106336,
6,5.108299,
4,5.109215,
8,5.111073,
6,5.113883,
6,5.114083,
6,5.118440,
10,5.118760,
8,5.124970,
10,5.130276,
10,5.132440,
6,5.133996,
12,5.138364,
6,5.145065,
8,5.147268,
10,5.150357,
8,5.156560,
10,5.160307,
8,5.161632,
10,5.162092,
8,5.169263,
6,5.176349,
10,5.187681,
8,5.194432,
6,5.196139,
10,5.208607,
10,5.213337,
8,5.218125,
6,5.223544,
6,5.224578,
8,5.225614,
8,5.239733,
6,5.247714,
10,5.252572,
6,5.256243,
10,5.257386,
6,5.268308,
10,5.269294,
10,5.291618,
10,5.296740,
8,5.304912,
10,5.306677,
8,5.317148,
6,5.321861,
10,5.322506,
6,5.324596,
6,5.326196,
10,5.328419,
6,5.340588,
8,5.343801,
10,5.351355,
8,5.352157,
10,5.357613,
8,5.359419,
6,5.359666,
8,5.366456,
6,5.368703,
10,5.371965,
10,5.372264,
6,5.376083,
10,5.377481,
10,5.378487,
8,5.379942,
6,5.384482,
6,5.385649,
8,5.389199,
10,5.390801,
8,5.394312,
8,5.400692,
10,5.401714,
6,5.406156,
6,5.410033,
6,5.410312,
6,5.414819,
8,5.418552,
6,5.423007,
10,5.424553,
8,5.435574,
8,5.441549,
10,5.448815,
6,5.449827,
6,5.459668,
6,5.460255,
8,5.462894,
10,5.464011,
8,5.465272,
6,5.466724,
10,5.467305,
8,5.475050,
10,5.476578,
6,5.480085,
6,5.483395,
6,5.484823,
6,5.484994,
6,5.485615,
6,5.496808,
6,5.497070,
8,5.502989,
10,5.506330,
6,5.507976,
8,5.508076,
6,5.508289,
8,5.511204,
6,5.516046,
6,5.517671,
