g,LeveleV
1,0.00000,
7,5.31276,
5,5.70693,
3,7.24140,
5,7.57366,
9,12.13728,
5,12.83849,
7,13.09618,
5,13.14573,
7,13.91425,
9,14.62945,
5,14.69808,
3,14.70544,
5,14.74501,
5,14.99314,
7,15.07673,
1,15.20803,
3,15.21719,
9,15.68007,
3,15.69098,
1,16.20503,
5,16.58059,
7,16.68679,
3,16.73771,
5,16.92124,
3,18.24333,
7,18.40248,
7,18.56258,
9,18.63185,
3,18.63218,
3,18.70388,
3,18.84529,
5,19.00115,
7,19.12009,
7,19.18257,
7,19.31625,
7,19.41345,
5,19.57428,
5,19.61491,
3,19.69313,
1,19.70220,
5,19.82029,
7,19.83942,
3,19.85855,
5,19.93533,
3,19.95165,
9,19.99644,
5,20.01494,
7,20.01864,
9,20.10466,
5,20.20598,
9,20.26539,
3,20.31087,
5,20.44565,
7,20.45799,
7,20.60362,
5,20.61995,
7,20.77731,
7,20.96114,
7,21.03600,
7,21.24676,
7,21.28816,
5,21.56935,
5,21.76071,
5,21.98004,
7,22.12231,
5,22.19799,
5,22.34776,
3,22.59833,
7,22.75658,
9,22.80352,
5,22.84647,
7,22.89968,
3,22.91202,
11,22.92212,
7,22.94506,
7,23.07648,
5,23.08859,
9,23.12561,
7,23.18858,
1,23.52079,
3,24.06244,
5,24.11194,
5,24.16502,
5,24.34776,
3,24.68873,
7,24.73364,
3,24.84089,
9,24.91224,
5,24.91453,
5,24.97851,
7,25.04942,
1,25.507,
,34.49,

#ignore,test#1.06
