g,LeveleV
4,0.000000,
2,0.665808,
2,13.514322,
6,13.988923,
4,14.2695909,
2,14.5809157,
4,14.6889484,
8,14.904124,
6,14.931036,
4,15.002134,
2,15.0023545,
2,15.098739,
10,15.622111,
4,15.820073,
6,15.852807,
8,15.861239,
2,16.057823,
6,16.080402,
4,16.181516,
2,16.228719,
4,16.288480,
8,16.320302,
4,16.485623,
6,16.486240,
6,16.6044423,
4,16.6494248,
6,16.684175,
4,16.690928,
2,16.8347312,
8,16.8347499,
6,16.8704343,
6,16.998005,
4,17.1568850,
2,17.2463964,
6,17.3723222,
4,17.3745746,
2,17.3778065,
4,17.5711590,
4,17.6050048,
2,17.6506186,
2,18.078372,
6,18.494926,
6,18.537381,
8,18.560782,
4,18.619715,
4,18.622635,
4,18.824070,
2,18.868538,
4,18.869171,
2,18.875254,
6,18.884589,
6,19.475108,
4,19.575078,
2,19.936031,
6,19.962923,
8,19.996617,
4,20.011988,
6,20.017261,
4,20.060664,
2,20.070019,
4,20.092546,
10,20.111121,
8,20.151178,
2,20.155418,
2,20.213381,
6,20.379549,
2,20.387645,
4,20.413543,
8,20.451296,
6,20.464482,
6,20.466766,
4,20.474773,
4,20.600400,
8,20.653046,
2,20.699355,
6,20.705323,
4,20.710988,
6,20.769481,
4,20.818353,
10,20.839733,
8,20.843767,
6,20.851841,
8,20.861400,
2,20.861739,
4,20.876864,
6,20.886461,
12,20.888125,
10,20.889972,
2,20.907266,
4,20.918254,
4,20.945585,
6,21.040507,
4,21.147908,
6,21.321420,
4,21.331495,
4,21.413628,
6,21.420955,
10,21.424499,
8,21.431338,
8,21.465250,
6,21.468457,
6,21.487447,
4,21.528403,
8,21.532798,
6,21.534334,
8,21.739342,
6,21.750707,
10,21.779656,
8,21.801884,
8,21.807572,
4,21.834763,
10,21.894521,
4,22.029774,
6,22.033046,
8,22.057687,
4,22.063618,
2,22.075765,
6,22.108700,
10,22.111575,
8,22.114008,
6,22.119081,
8,22.126530,
2,22.131786,
4,22.132559,
12,22.136610,
10,22.138130,
6,22.139804,
2,22.150248,
4,22.153799,
2,22.166624,
6,22.465907,
4,22.488084,
10,22.682541,
6,22.682579,
4,22.684626,
8,22.689343,
8,22.704842,
6,22.708274,
8,22.779443,
6,22.780534,
10,22.805523,
8,22.811031,
6,22.816488,
12,22.818211,
4,22.818694,
10,22.819252,
2,22.826634,
4,22.829786,
10,23.219037,
8,23.220032,
12,23.229124,
10,23.229745,
10,23.372566,
8,23.376601,
6,23.385683,
10,23.488248,
12,23.495458,
10,23.495979,
10,23.673113,
12,23.677871,
10,23.678196,
12,23.808129,
,24.35984,

#ignore,test#5.03
