g,LeveleV
5,0.000000,
7,0.125980,
5,0.172891,
3,0.234969,
9,0.244336,
5,0.321317,
7,0.402992,
1,0.650880,
3,0.708957,
5,0.772102,
1,0.916810,
9,0.926574,
5,1.251603,
5,1.754126,
7,1.782294,
9,1.946396,
7,1.955698,
9,2.058035,
5,2.134007,
9,2.210095,
7,2.260921,
11,2.303677,
5,2.342732,
9,2.382299,
13,2.448641,
7,2.529627,
9,2.644781,
3,2.658436,
5,2.740797,
11,2.762727,
7,2.794269,
1,2.812420,
3,2.815080,
5,2.882252,
5,3.032983,
7,3.040427,
3,3.220287,
5,3.274920,
7,3.327446,
5,3.395693,
3,3.400131,
1,3.415250,
3,3.490719,
7,3.510644,
11,3.536737,
9,3.541658,
5,3.657292,
3,3.763333,
1,3.940939,
3,3.987455,
7,3.992421,
5,4.116822,
7,4.395570,
5,4.437088,
7,4.581793,
9,4.608839,
7,4.613416,
9,4.685434,
5,4.738861,
3,4.777621,
11,4.837707,
9,4.862865,
7,4.885294,
5,5.016117,
3,5.665107,
3,6.166122,
5,6.184871,
7,6.351533,
5,6.388144,
7,6.464247,
3,6.468213,
5,6.538283,
7,6.553542,
3,6.608675,
9,6.612495,
7,6.656657,
5,6.680918,
3,6.740500,
11,6.749036,
1,6.793568,
7,6.799298,
1,6.814691,
9,6.832428,
5,6.841950,
3,6.847688,
9,6.858973,
11,6.940895,
9,6.947541,
5,6.947653,
13,7.047006,
7,7.112244,
5,7.116641,
7,7.180979,
9,7.223246,
9,7.283935,
9,7.380482,
5,7.391025,
5,7.426663,
1,7.450811,
3,7.520904,
9,7.531317,
7,7.565226,
3,7.579009,
7,7.626821,
5,7.690277,
13,7.737655,
5,7.749801,
1,7.868527,
9,7.885255,
3,7.898188,
5,7.969570,
3,7.979782,
7,7.985967,
5,8.000688,
7,8.020859,
1,8.256345,
7,8.583910,
1,8.617529,
,11.18496,

#ignore,test#61.34
