g,LeveleV
4,0.000000,
6,0.247215,
2,0.512815,
4,0.926954,
4,2.160707,
6,2.294276,
4,2.337265,
6,2.405701,
8,2.510344,
8,2.533311,
2,2.574218,
4,2.627891,
10,2.633705,
6,2.660996,
2,2.662243,
4,2.743121,
6,2.755137,
4,2.785622,
10,2.803216,
6,2.827105,
8,2.916634,
2,2.989100,
2,2.991242,
4,3.013819,
4,3.039882,
6,3.063812,
6,3.123355,
6,3.206328,
8,3.294310,
10,3.306822,
10,3.433037,
8,3.470517,
6,3.474051,
2,3.569929,
2,3.648985,
8,3.655915,
4,3.670925,
4,3.711827,
6,3.742283,
4,3.780107,
2,3.812179,
4,3.908358,
4,3.910739,
6,3.931985,
8,3.936643,
2,3.974698,
6,4.024118,
2,4.089820,
2,4.146416,
4,4.194566,
4,4.269581,
2,4.291158,
6,4.373481,
6,4.541958,
8,4.543292,
4,4.558806,
2,4.563705,
2,4.574982,
6,4.581582,
4,4.603704,
4,4.611466,
6,4.679481,
2,4.768229,
4,4.796942,
4,4.814154,
6,4.861744,
8,4.862681,
8,4.870035,
2,4.875266,
18,4.877061,
4,4.888031,
2,4.994333,
6,5.028665,
8,5.036115,
6,5.037084,
2,5.041324,
4,5.050537,
4,5.071079,
2,5.098264,
4,5.128956,
2,5.128956,
6,5.139921,
8,5.140395,
2,5.143735,
4,5.149473,
4,5.158420,
2,5.182304,
8,5.203369,
6,5.207426,
8,5.208080,
2,5.210044,
4,5.213894,
4,5.218780,
2,5.251906,
6,5.253575,
8,5.254036,
2,5.255288,
4,5.258764,
4,5.260669,
4,5.278837,
6,5.286498,
8,5.286940,
2,5.287808,
2,5.288880,
4,5.290041,
4,5.296915,
6,5.310792,
8,5.311234,
2,5.312513,
4,5.313456,
4,5.315593,
6,5.329187,
8,5.329670,
4,5.331637,
4,5.332364,
6,5.343490,
8,5.344005,
4,5.345168,
4,5.345306,
6,5.354664,
8,5.355355,
4,5.355754,
4,5.360661,
2,5.363396,
8,5.364495,
4,5.367412,
4,5.367456,
8,5.371968,
2,5.372044,
6,5.372554,
4,5.373086,
4,5.373993,
8,5.378154,
6,5.378349,
4,5.379000,
4,5.379704,
8,5.383337,
6,5.383414,
2,5.383871,
4,5.384024,
4,5.384577,
8,5.387717,
6,5.387743,
2,5.388062,
4,5.388288,
4,5.388738,
6,5.391454,
8,5.391454,
2,5.391719,
4,5.391938,
4,5.392306,
6,5.394653,
8,5.394668,
2,5.394881,
4,5.395084,
4,5.395391,
6,5.397426,
8,5.397451,
2,5.397640,
4,5.397805,
4,5.398076,
6,5.399848,
8,5.399878,
4,5.400166,
4,5.400417,
6,5.401973,
8,5.402008,
4,5.402480,
6,5.403849,
8,5.403885,
4,5.404308,
6,5.405513,
8,5.405547,
10,5.405668,
4,5.405926,
6,5.406993,
8,5.407033,
4,5.407360,
6,5.408317,
8,5.408349,
4,5.408664,
6,5.409510,
8,5.409540,
4,5.409831,
6,5.410585,
8,5.410618,
4,5.410892,
6,5.411554,
8,5.411580,
4,5.411799,
6,5.412435,
8,5.412464,
6,5.413251,
8,5.413268,
6,5.413983,
8,5.413999,
,5.425871,
6,5.464669,
12,5.640364,
6,5.666942,

#ignore,test#27.27
