g,LeveleV
10,0.000000,
12,0.173372,
14,0.358704,
16,0.552196,
4,1.161814,
10,1.243924,
6,1.256974,
8,1.346352,
4,1.357657,
10,1.458264,
12,1.549137,
10,1.592783,
12,1.655449,
8,1.721843,
6,1.759007,
10,1.805064,
12,1.842400,
6,1.865441,
8,1.914747,
14,1.916072,
12,1.924917,
10,1.947188,
14,1.994799,
8,2.000605,
8,2.047742,
10,2.078469,
4,2.119588,
14,2.121765,
12,2.158513,
16,2.174033,
10,2.185469,
16,2.187337,
10,2.239571,
6,2.257970,
12,2.261663,
2,2.317717,
16,2.345935,
8,2.354470,
6,2.361414,
12,2.394002,
14,2.400346,
18,2.436249,
12,2.442600,
8,2.463867,
4,2.499566,
10,2.518820,
6,2.584871,
4,2.585921,
4,2.622071,
14,2.633273,
8,2.640230,
6,2.655598,
10,2.670021,
6,2.679446,
12,2.697380,
8,2.737688,
4,2.762078,
8,2.793079,
10,2.820354,
4,2.857911,
4,2.863006,
14,2.873345,
6,2.882135,
12,2.906469,
2,2.909343,
6,2.917703,
14,2.931950,
8,2.932459,
6,2.944819,
10,2.956351,
2,2.970087,
4,3.006694,
4,3.013957,
12,3.020005,
6,3.032807,
8,3.034005,
10,3.073323,
8,3.085534,
10,3.103809,
16,3.129933,
14,3.148176,
8,3.150406,
6,3.215528,
16,3.221028,
12,3.235396,
8,3.279006,
18,3.279119,
4,3.337839,
10,3.345052,
8,3.364751,
12,3.394726,
6,3.403670,
6,3.421608,
10,3.422492,
12,3.484175,
8,3.521081,
10,3.560914,
10,3.581301,
4,3.587664,
14,3.628160,
6,3.628752,
10,3.699080,
12,3.782227,
12,3.810472,
10,3.842834,
8,3.875090,
8,3.941201,
2,3.943156,
4,4.003316,
14,4.061736,
4,4.133431,
12,4.149306,
6,4.173307,
2,4.240087,
6,4.279968,
8,4.317810,
8,4.342483,
4,4.356534,
10,4.375526,
6,4.387078,
8,4.438773,
10,4.442163,
4,4.446537,
8,4.542828,
14,4.543045,
6,4.544305,
12,4.546571,
2,4.548138,
6,4.588893,
4,4.611920,
8,4.701429,
10,4.766992,
2,4.779578,
6,4.797508,
14,4.798386,
8,4.801474,
16,4.808821,
10,4.838393,
4,4.850323,
10,4.863355,
2,4.895576,
16,4.925395,
12,4.926263,
10,4.943271,
8,4.952018,
6,4.971600,
4,4.984876,
8,5.086325,
18,5.086684,
8,5.539612,
6,5.567315,
10,5.679214,
6,5.67936,
4,5.684012,
8,5.786811,
4,6.001039,
6,6.043669,
4,6.227452,
12,6.279471,
14,6.280881,
2,6.30699,
6,6.36198,
4,6.45051,
8,6.582668,
8,7.210683,
10,7.212675,
10,7.459658,
12,7.491092,
8,7.503563,
10,7.607303,
8,7.638128,
6,7.652054,
10,7.694785,
12,7.716879,
10,7.753429,
12,7.756287,
14,7.771168,
4,7.838440,
8,7.839786,
6,7.882453,
10,7.884571,
8,7.906306,
12,7.912288,
12,7.953703,
14,7.961701,
10,7.964201,
6,7.984710,
6,8.036350,
10,8.041262,
12,8.042254,
8,8.056437,
8,8.095660,
6,8.171729,
12,8.173338,
8,8.174929,
14,8.178884,
14,8.201356,
16,8.220320,
2,8.223232,
6,8.267408,
14,8.274195,
8,8.288699,
4,8.290463,
6,8.299879,
10,8.313039,
8,8.336741,
6,8.355955,
10,8.356385,
8,8.391153,
10,8.414902,
4,8.426644,
12,8.460449,
16,8.46875,
8,8.472055,
10,8.477363,
8,8.491979,
12,8.496094,
10,8.498396,
8,8.530320,
6,8.552250,
8,8.553307,
10,8.572054,
12,8.605558,
8,8.608347,
6,8.63942,
10,8.639995,
12,8.676176,
14,8.726191,
10,8.80549,
8,8.85069,
4,8.86499,
6,8.869381,
10,8.876319,
12,8.894186,
