g,LeveleV
1,0.00000,
3,0.382378,
5,0.741261,
7,1.035290,
9,1.254861,
1,1.79820,
9,2.101083,
3,2.397841,
7,2.457006,
5,2.461150,
11,2.594931,
13,2.838730,
9,3.015749,
5,3.019283,
9,3.229046,
7,3.282560,
7,3.536808,
5,3.620460,
11,3.725933,
3,3.910799,
13,4.016571,
5,4.413439,
9,4.467685,
1,4.52349,
7,4.768152,
3,4.849984,
5,5.095700,
5,5.157936,
7,5.496035,
9,5.545294,
5,5.64158,
3,5.696735,
7,5.768390,
9,5.914438,
1,6.04371,
9,6.101126,
11,6.300979,
5,6.494875,
3,6.598718,
5,6.881458,
7,7.182548,
7,7.285045,
9,7.329548,
3,7.545471,
1,7.627400,
11,7.632110,
7,7.825864,
9,7.926888,
5,8.039551,
9,8.171486,
3,8.223097,
13,8.406404,
11,8.676771,
7,8.766935,
5,8.779482,
3,8.84395,
1,9.049715,
11,9.249792,
5,9.338288,
7,9.351057,
9,9.388335,
9,9.480607,
5,9.521798,
5,9.729645,
7,10.355253,
5,11.858190,
3,12.279301,
7,12.545225,
5,12.738247,
9,13.099303,
7,13.408618,
3,13.422710,
1,13.444953,
5,13.461318,
11,13.472667,
1,13.79586,
3,13.797489,
9,13.877384,
7,14.019285,
5,14.031268,
3,14.135895,
9,14.181029,
7,14.393747,
11,14.449070,
7,14.523666,
3,14.524015,
9,14.524320,
5,14.576273,
5,14.624290,
11,14.805762,
7,14.874395,
3,14.900418,
9,14.913317,
5,14.930046,
13,14.932652,
5,15.073663,
7,15.160296,
1,15.19953,
9,15.271111,
7,15.318295,
3,15.354069,
5,15.37495,
13,15.452055,
11,15.479425,
9,15.488556,
7,15.505962,
3,15.623572,
5,15.685282,
11,15.821822,
9,15.853573,
7,15.942802,
11,15.983748,
3,16.012759,
5,16.036828,
5,16.057745,
9,16.096244,
7,16.103064,
5,16.180172,
9,16.192458,
11,16.217211,
7,16.321034,
13,16.332404,
3,16.372513,
9,16.380820,
7,16.508811,
9,16.552343,
3,16.55479,
5,16.55634,
7,16.603804,
5,16.621154,
11,16.632199,
5,16.719725,
7,16.749251,
13,16.847518,
3,16.911133,
7,17.022191,
15,17.08420,
5,17.110607,
11,17.190810,
3,17.209334,
9,17.25470,
7,17.491252,
5,17.495367,
9,17.497782,
11,17.555393,
13,17.622267,
5,17.67037,
7,17.671811,
9,17.742550,
3,17.74434,
7,17.808853,
11,18.112750,
9,18.117226,
7,18.118425,
5,18.162707,
3,18.31786,
9,18.36671,
7,18.460833,
3,18.80628,
7,19.03050,
7,19.97460,
,39.1,

#ignore,test#17.39
