g,LeveleV
11,0.000000,
9,0.147621,
7,0.259318,
5,0.336399,
3,0.385032,
9,0.811480,
9,0.927782,
5,0.997290,
7,1.002303,
7,1.063217,
7,1.087457,
5,1.123004,
3,1.124906,
9,1.130814,
5,1.138629,
1,1.176904,
3,1.192764,
5,1.317150,
7,1.321005,
5,1.419286,
1,1.457139,
3,1.461284,
11,1.513481,
9,1.589067,
5,1.691857,
7,1.698468,
3,1.733506,
9,1.822607,
1,1.838376,
5,1.866467,
13,1.927974,
7,2.007380,
11,2.013520,
3,2.072096,
5,2.113431,
9,2.119742,
11,2.486591,
3,2.509689,
5,2.595454,
9,2.683401,
13,2.747745,
3,2.763935,
5,2.770196,
7,2.779659,
11,2.791985,
9,2.852228,
9,2.900313,
5,2.907860,
1,2.997154,
5,3.090614,
11,3.126157,
9,3.157194,
11,3.174318,
9,3.179288,
7,3.227998,
7,3.232975,
9,3.262375,
5,3.282201,
3,3.320354,
11,3.324789,
9,3.383435,
7,3.410383,
7,3.411620,
3,3.417078,
9,3.473391,
5,3.529296,
11,3.532942,
13,3.542463,
7,3.581962,
3,3.610233,
13,3.615436,
5,3.639235,
5,3.648523,
11,3.653571,
1,3.666200,
9,3.669258,
3,3.681533,
9,3.706001,
7,3.706123,
7,3.716922,
5,3.721800,
3,3.730112,
1,3.733815,
9,3.750572,
11,3.754202,
9,3.762728,
7,3.786113,
5,3.838402,
7,3.849009,
5,3.866575,
9,3.886383,
7,3.891199,
7,3.949256,
5,3.993240,
5,4.010058,
7,4.016090,
5,4.112806,
7,4.144872,
9,4.146880,
3,4.163417,
5,4.181821,
7,4.224440,
3,4.226753,
1,4.262532,
11,4.311247,
5,4.324807,
3,4.345246,
9,4.397862,
7,4.439455,
5,4.458952,
3,4.493035,
9,4.530707,
7,4.557701,
5,4.583111,
5,4.602157,
3,4.630406,
7,4.632920,
1,4.646045,
3,4.664226,
5,4.670219,
1,4.686879,
3,4.736246,
9,4.741575,
11,4.748234,
3,4.784196,
7,4.798977,
13,4.822675,
5,4.836452,
9,4.839993,
9,4.869266,
7,4.889156,
11,4.891258,
5,4.927384,
3,4.931284,
1,4.946288,
3,4.949020,
7,4.988553,
9,4.993663,
5,5.013082,
9,5.013828,
11,5.035769,
7,5.054606,
7,5.076986,
3,5.085416,
5,5.106034,
11,5.115142,
7,5.115593,
7,5.143194,
13,5.154984,
11,5.175014,
5,5.177103,
9,5.185668,
7,5.192564,
5,5.208236,
15,5.239638,
9,5.250346,
13,5.257443,
3,5.258890,
5,5.273520,
1,5.284306,
3,5.318230,
9,5.318351,
5,5.318579,
9,5.323772,
11,5.328628,
7,5.331111,
9,5.333623,
3,5.344651,
7,5.345637,
5,5.394450,
13,5.399347,
11,5.405287,
11,5.423417,
3,5.435657,
9,5.438308,
5,5.441926,
5,5.443329,
7,5.452303,
13,5.455131,
11,5.468870,
7,5.477154,
5,5.484401,
9,5.485494,
3,5.492641,
11,5.495204,
3,5.497944,
7,5.510055,
9,5.530639,
9,5.537384,
7,5.554593,
5,5.565824,
5,5.575574,
7,5.588141,
5,5.603760,
7,5.604331,
9,5.624508,
7,5.638277,
9,5.644828,
7,5.647419,
5,5.652728,
9,5.672965,
5,5.677287,
5,5.693771,
3,5.700563,
3,5.710245,
9,5.711610,
1,5.716035,
3,5.727004,
9,5.737146,
9,5.752939,
1,5.761093,
11,5.764652,
3,5.765228,
3,5.768769,
9,5.789445,
7,5.795809,
3,5.801125,
5,5.802907,
11,5.815642,
7,5.820634,
9,5.823838,
13,5.826160,
7,5.833028,
11,5.837771,
9,5.846758,
1,5.849190,
7,5.850606,
5,5.858003,
9,5.859682,
7,5.869328,
5,5.870044,
11,5.879972,
9,5.887633,
3,5.889316,
7,5.892484,
5,5.895118,
7,5.906028,
11,5.906963,
7,5.925046,
3,5.927574,
9,5.928657,
7,5.934919,
7,5.951613,
9,5.964795,
9,5.969093,
5,5.971673,
5,5.991751,
11,5.999140,
7,6.001466,
7,6.011952,
7,6.012367,
11,6.013643,
11,6.015933,
9,6.018674,
7,6.022018,
9,6.025316,
3,6.026170,
5,6.040618,
9,6.041462,
7,6.046199,
5,6.047844,
7,6.051579,
9,6.057086,
7,6.067034,
5,6.079857,
3,6.081129,
7,6.092760,
9,6.095689,
9,6.104381,
7,6.111313,
7,6.112902,
3,6.125932,
5,6.126989,
9,6.130712,
5,6.135923,
3,6.138871,
7,6.143879,
11,6.148736,
9,6.152624,
7,6.159035,
9,6.164765,
5,6.169191,
3,6.169653,
7,6.189078,
9,6.192918,
5,6.195571,
7,6.201280,
5,6.202677,
11,6.214387,
5,6.220639,
3,6.223024,
3,6.241239,
9,6.242669,
7,6.242844,
5,6.266138,
3,6.275941,
3,6.294932,
5,6.330465,
9,6.367854,
7,6.368426,
5,6.447346,
7,6.503620,
3,6.537662,
9,6.660137,
9,6.700525,
,7.36050,

#ignore,test#98.09
