g,LeveleV
1,0.00000,
3,0.37872,
5,0.70153,
5,1.58573,
1,2.96390,
5,6.41282,
3,8.21911,
5,8.24523,
7,8.41698,
1,8.57193,
3,8.62133,
5,8.97518,
5,9.33285,
3,9.41026,
5,9.50857,
1,9.52915,
3,9.56407,
7,9.63691,
5,9.71923,
9,10.05301,
3,10.39315,
3,10.55032,
1,10.60576,
3,10.65616,
5,10.66603,
5,10.68540,
7,10.94281,
3,11.19865,
3,11.23873,
1,11.29806,
7,11.31046,
5,11.31248,
3,11.32721,
7,11.35487,
5,11.37158,
3,11.53064,
5,11.63631,
3,12.10548,
5,12.1567,
1,12.16545,
1,12.56219,
3,12.58908,
5,12.98396,
3,13.04197,
7,13.05153,
7,13.07697,
9,13.08273,
5,13.09163,
5,13.18739,
3,13.25488,
3,13.32415,
1,13.33626,
3,13.34386,
5,13.35873,
5,13.36867,
3,13.42860,
7,13.67825,
7,13.79560,
9,13.81581,
1,13.86648,
3,13.86999,
7,13.87719,
5,13.89367,
11,13.93535,
9,13.94137,
5,14.00618,
3,14.00834,
3,14.03427,
5,14.05029,
3,14.05340,
5,14.11476,
1,14.12207,
7,14.12607,
5,14.13933,
3,14.14061,
3,14.14813,
5,14.20693,
7,14.38501,
7,14.39132,
9,14.39554,
5,14.39647,
1,14.40163,
3,14.49125,
3,14.52544,
1,14.52996,
5,14.53369,
5,14.74653,
5,14.94351,
7,15.14374,
5,15.15237,
5,15.18416,
3,15.21229,
3,15.26042,
3,15.27041,
5,15.31791,
7,15.32136,
3,15.32622,
5,15.34792,
5,15.35296,
1,15.45373,
7,15.45999,
5,15.76717,
1,15.79334,
3,15.79375,
1,16.32878,
,16.626,
3,17.92371,
5,17.99810,
7,18.01159,
5,18.21713,

#ignore,test#6.63
