g,LeveleV
9,0.000000,
7,0.029378,
5,1.087302,
7,1.110585,
13,1.544507,
11,2.054104,
5,2.185178,
9,2.228529,
9,2.267841,
13,2.421017,
15,2.432456,
17,2.440377,
11,2.508045,
19,2.537438,
11,2.556436,
11,2.606393,
13,2.620242,
7,2.679083,
7,2.692161,
5,2.725020,
15,2.734148,
3,2.745253,
9,2.765941,
13,2.771720,
9,2.784376,
17,2.854648,
9,2.916615,
11,2.946961,
9,2.951231,
13,2.963772,
7,2.967528,
15,2.970860,
17,2.982946,
11,3.009493,
9,3.091174,
11,3.101434,
5,3.126821,
7,3.131533,
5,3.161445,
9,3.185924,
7,3.221112,
11,3.246956,
15,3.255361,
13,3.282888,
9,3.294838,
7,3.295347,
13,3.311547,
7,3.327436,
11,3.331170,
9,3.348738,
9,3.379117,
5,3.384123,
13,3.421787,
7,3.434662,
15,3.483374,
13,3.483481,
7,3.504770,
11,3.505817,
9,3.579937,
11,3.580059,
15,3.592433,
9,3.618279,
5,3.630967,
7,3.648233,
17,3.678785,
5,3.715456,
11,3.744007,
13,3.764292,
9,3.766288,
9,3.782604,
11,3.797336,
7,3.804384,
9,3.823768,
7,3.848049,
5,3.854680,
9,3.860339,
13,3.883648,
11,3.933572,
7,3.935939,
15,3.947273,
9,3.955096,
11,3.958421,
13,4.003353,
5,4.029519,
15,4.040662,
13,4.081250,
11,4.096011,
5,4.103478,
13,4.110136,
15,4.114044,
9,4.140025,
7,4.140911,
7,4.161544,
9,4.174051,
11,4.235008,
9,4.253590,
7,4.264846,
5,4.265585,
11,4.287467,
15,4.300485,
17,4.310535,
9,4.323499,
7,4.328764,
3,4.337572,
5,4.339940,
9,4.354686,
15,4.363639,
11,4.367676,
5,4.373472,
7,4.432896,
11,4.435264,
3,4.439475,
5,4.442803,
9,4.459267,
13,4.460944,
7,4.468517,
7,4.479807,
13,4.481446,
5,4.512360,
9,4.531355,
15,4.563328,
7,4.571172,
5,4.606148,
5,4.647259,
9,4.659508,
9,4.683532,
5,4.691717,
3,4.700999,
7,4.706157,
13,4.707536,
9,4.722996,
11,4.736241,
13,4.739353,
7,4.743766,
9,4.756188,
3,4.777553,
13,4.778098,
7,4.783676,
15,4.833091,
3,4.834224,
7,4.834387,
5,4.835478,
9,4.838561,
11,4.846818,
13,4.853865,
9,4.855478,
5,4.859771,
13,4.894599,
5,4.899196,
7,4.904077,
9,4.914303,
15,4.914536,
13,4.923789,
5,4.938121,
9,4.939932,
11,4.942483,
7,4.946209,
11,4.955490,
5,4.966351,
3,4.967237,
5,4.988168,
13,5.003695,
7,5.003971,
15,5.011817,
13,5.014714,
5,5.022089,
7,5.026970,
9,5.078315,
3,5.081925,
9,5.103978,
11,5.146787,
11,5.150528,
11,5.162064,
5,5.167966,
7,5.188321,
13,5.197242,
11,5.230640,
17,5.278121,
13,5.321621,
9,5.358304,
9,5.367922,
15,5.420254,
11,5.435569,
11,5.442413,
11,5.442800,
15,5.446378,
13,5.455157,
17,5.471315,
9,5.484710,
9,5.559234,
11,5.603001,
7,5.621225,
9,5.659746,
11,5.701772,
11,5.803368,
15,5.864413,
11,5.903401,
17,5.908396,
11,5.927504,
13,5.942208,
9,5.957216,
13,5.975535,
11,6.051329,
13,6.062595,
5,6.092693,
9,6.093532,
7,6.096805,
13,6.099406,
7,6.128488,
15,6.170158,
9,6.173473,
11,6.233262,
13,6.275778,
9,6.294208,
7,6.314053,
11,6.333298,
17,6.337612,
15,6.345127,
9,6.351428,
9,6.395494,
7,6.433019,
17,6.447612,
11,6.450466,
13,6.454228,
9,6.478911,
15,6.488258,
7,6.492054,
11,6.509092,
15,6.529214,
13,6.545263,
11,6.559739,
9,6.571460,
13,6.572873,
7,6.589862,
15,6.608963,
11,6.612932,
5,6.622234,
7,6.632426,
9,6.642647,
9,6.654608,
7,6.662105,
15,6.662772,
5,6.681327,
13,6.682307,
9,6.689647,
11,6.734457,
7,6.739038,
9,6.747180,
11,6.760062,
7,6.761719,
9,6.767531,
17,6.774033,
7,6.779385,
13,6.783245,
15,6.817762,
7,6.836263,
13,6.838672,
11,6.839922,
13,6.878170,
13,6.912595,
15,6.913149,
9,6.922446,
13,6.939689,
7,6.948331,
11,6.951405,
15,6.962617,
9,6.986756,
7,6.987368,
11,7.005908,
13,7.022802,
9,7.031666,
11,7.048968,
11,7.073338,
7,7.098470,
7,7.124820,
9,7.131628,
13,7.132365,
7,7.135040,
15,7.138184,
11,7.141409,
9,7.159061,
13,7.169924,
9,7.173640,
7,7.181059,
13,7.186314,
15,7.197445,
11,7.204448,
13,7.220408,
9,7.234711,
7,7.238138,
11,7.238614,
13,7.253162,
11,7.257894,
7,7.270963,
11,7.277652,
7,7.283201,
15,7.312449,
9,7.323409,
5,7.331916,
5,7.334526,
9,7.351926,
11,7.390382,
9,7.397311,
7,7.409709,
7,7.416205,
9,7.425381,
9,7.439662,
7,7.453479,
11,7.470716,
13,7.471659,
9,7.473610,
15,7.479434,
17,7.488236,
13,7.490949,
7,7.501444,
15,7.505950,
9,7.505974,
7,7.510079,
13,7.520718,
9,7.531471,
13,7.542258,
11,7.552026,
9,7.577227,
15,7.579582,
11,7.580634,
9,7.589455,
13,7.592918,
5,7.599635,
7,7.600345,
13,7.601005,
11,7.607241,
9,7.618724,
7,7.637525,
11,7.643725,
13,7.650254,
11,7.655510,
9,7.661064,
11,7.677635,
13,7.677739,
9,7.700485,
15,7.701043,
15,7.722450,
11,7.726616,
9,7.730271,
5,7.740272,
7,7.741534,
7,7.753755,
11,7.755284,
7,7.778712,
9,7.785801,
9,7.793008,
7,7.836616,
11,7.877104,
11,7.886082,
13,7.898873,
11,7.908616,
7,7.937294,
7,8.062819,
13,8.113149,
9,8.122522,
7,8.134957,
15,8.277717,
,12.065,

#ignore,test#70.58
