,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
7396,245.5155,5.048476,17720000.0,66.01,Dy,II,0.102697,7.5,5.151123,6.5,MC,2.0,14.0
11339,260.0159,4.766954,259300000.0,66.01,Dy,II,1.529505,7.5,6.296411,7.5,MC,2.0,16.0
12008,262.3688,4.724207,150100000.0,66.0,Dy,I,0.0,8.0,4.7241599999999995,9.0,MC,1.0,19.0
12293,263.4803,4.704279,29460000.0,66.01,Dy,II,0.0,8.5,4.704232,7.5,MC,2.0,16.0
12489,264.2163,4.691175,41610000.0,66.0,Dy,I,0.0,8.0,4.691128,9.0,MC,1.0,19.0
13142,266.7931,4.6458699999999995,48020000.0,66.0,Dy,I,0.0,8.0,4.645823,7.0,MC,1.0,15.0
13391,267.7337,4.629548000000001,82830000.0,66.01,Dy,II,1.529505,7.5,6.159007,8.5,MC,2.0,18.0
13713,268.9307,4.608944,175200000.0,66.01,Dy,II,1.687513,7.5,6.296411,7.5,MC,2.0,16.0
13810,269.2835,4.602905000000001,81500000.0,66.01,Dy,II,1.313512,8.5,5.916371,8.5,MC,2.0,18.0
14746,272.7166,4.544965,65970000.0,66.01,Dy,II,1.4127889999999999,7.5,5.957708,7.5,MC,2.0,16.0
15080,273.93,4.524833999999999,68620000.0,66.01,Dy,II,1.529505,7.5,6.054293,6.5,MC,2.0,14.0
15569,275.7082,4.495653,47630000.0,66.01,Dy,II,1.313512,8.5,5.80912,7.5,MC,2.0,16.0
15873,276.65,4.480348,104000000.0,66.01,Dy,II,1.662457,9.5,6.14276,9.5,MC,2.0,20.0
16062,277.2422,4.470779,2576000.0,66.01,Dy,II,0.0,8.5,4.470733999999999,8.5,MC,2.0,18.0
16066,277.2615,4.470467,6576000.0,66.01,Dy,II,0.102697,7.5,4.573119999999999,6.5,MC,2.0,14.0
16292,277.9583,4.459262,76670000.0,66.01,Dy,II,2.112263,8.5,6.57148,8.5,MC,2.0,18.0
16644,279.144,4.44032,47310000.0,66.01,Dy,II,1.4127889999999999,7.5,5.853065,8.5,MC,2.0,18.0
16883,280.0327,4.426229,168400000.0,66.01,Dy,II,1.529505,7.5,5.95569,6.5,MC,2.0,14.0
16887,280.053,4.425908,103300000.0,66.01,Dy,II,1.4127889999999999,7.5,5.838653,7.5,MC,2.0,16.0
16913,280.1407,4.424523000000001,119600000.0,66.01,Dy,II,1.529505,7.5,5.953983999999999,8.5,MC,2.0,18.0
17197,281.0855,4.409653,3105000.0,66.01,Dy,II,0.0,8.5,4.409608,7.5,MC,2.0,16.0
17210,281.1093,4.409279,95470000.0,66.01,Dy,II,1.846752,8.5,6.255987,8.5,MC,2.0,18.0
17220,281.1422,4.408764,4476000.0,66.01,Dy,II,0.102697,7.5,4.511417,6.5,MC,2.0,14.0
17393,281.6395,4.400978,9577000.0,66.01,Dy,II,0.0,8.5,4.4009339999999995,8.5,MC,2.0,18.0
17719,282.8371,4.382345,2739000.0,66.01,Dy,II,0.102697,7.5,4.484998,6.5,MC,2.0,14.0
17899,283.5125,4.371905,54900000.0,66.01,Dy,II,1.529505,7.5,5.901366,7.5,MC,2.0,16.0
17973,283.7608,4.36808,2073000.0,66.01,Dy,II,0.102697,7.5,4.470733999999999,8.5,MC,2.0,18.0
18091,284.2041,4.361267,2627000.0,66.01,Dy,II,0.102697,7.5,4.463921,6.5,MC,2.0,14.0
18487,285.7012,4.338415,37150000.0,66.01,Dy,II,1.925488,6.5,6.26386,7.5,MC,2.0,16.0
18567,286.0173,4.333621,6683000.0,66.01,Dy,II,0.5382279999999999,7.5,4.871805,6.5,MC,2.0,14.0
