,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
5547,237.284,5.223596,20660000.0,63.0,Eu,I,0.0,3.5,5.223544,2.5,PGK,1.0,6.0
5608,237.5304,5.218178,22350000.0,63.0,Eu,I,0.0,3.5,5.218125,3.5,PGK,1.0,8.0
5649,237.7486,5.213389,5644000.0,63.0,Eu,I,0.0,3.5,5.213337,4.5,PGK,1.0,10.0
5700,237.9645,5.208659,21420000.0,63.0,Eu,I,0.0,3.5,5.208607,4.5,PGK,1.0,10.0
5892,238.9245,5.187733000000001,3002000.0,63.0,Eu,I,0.0,3.5,5.1876809999999995,4.5,PGK,1.0,10.0
6527,241.8483,5.125021,5125000.0,63.0,Eu,I,0.0,3.5,5.124969999999999,3.5,PGK,1.0,8.0
6692,242.506,5.111124,2960000.0,63.0,Eu,I,0.0,3.5,5.111072,3.5,PGK,1.0,8.0
7073,244.0524,5.07874,1774000.0,63.0,Eu,I,0.0,3.5,5.078689,4.5,PGK,1.0,10.0
7196,244.6496,5.066344,782900.0,63.0,Eu,I,0.0,3.5,5.066293,3.5,PGK,1.0,8.0
7514,246.0502,5.037506,5724000.0,63.0,Eu,I,0.0,3.5,5.037456,2.5,PGK,1.0,6.0
7543,246.1745,5.034962,5276000.0,63.0,Eu,I,0.0,3.5,5.034911,3.5,PGK,1.0,8.0
7761,247.1104,5.015894,10430000.0,63.0,Eu,I,0.0,3.5,5.015844,4.5,PGK,1.0,10.0
8455,249.9397,4.9591199999999995,1637000.0,63.01,Eu,II,0.206956,3.0,5.1660260000000005,4.0,CB,2.0,9.0
10083,255.4778,4.851626,32190000.0,63.01,Eu,II,2.090463,5.0,6.9420399999999995,5.0,CB,2.0,11.0
10221,255.9178,4.843284,39210000.0,63.01,Eu,II,2.1082349999999996,4.0,6.95147,4.0,CB,2.0,9.0
10363,256.4171,4.833854,192600000.0,63.01,Eu,II,2.1082349999999996,4.0,6.9420399999999995,5.0,CB,2.0,11.0
10386,256.4969,4.83235,1218000.0,63.0,Eu,I,0.0,3.5,4.832301,4.5,PGK,1.0,10.0
10466,256.8173,4.826322,158600000.0,63.01,Eu,II,2.125197,3.0,6.95147,4.0,CB,2.0,9.0
10487,256.8753,4.825233,815300.0,63.0,Eu,I,0.0,3.5,4.825185,3.5,PGK,1.0,8.0
10659,257.4756,4.813984,50970000.0,63.01,Eu,II,2.125197,3.0,6.939133,3.0,CB,2.0,7.0
10714,257.7139,4.809532,233200000.0,63.01,Eu,II,2.090463,5.0,6.899946000000001,6.0,CB,2.0,13.0
10834,258.062,4.803045,798500.0,63.0,Eu,I,0.0,3.5,4.802997,2.5,PGK,1.0,6.0
10866,258.1864,4.800731,50690000.0,63.01,Eu,II,2.13845,2.0,6.939133,3.0,CB,2.0,7.0
11407,260.2587,4.762508,588800.0,63.0,Eu,I,0.0,3.5,4.76246,3.5,PGK,1.0,8.0
11514,260.6058,4.756165,314000.0,63.0,Eu,I,0.0,3.5,4.756117,4.5,PGK,1.0,10.0
11894,261.9272,4.732172,777200.0,63.0,Eu,I,0.0,3.5,4.732125,4.5,PGK,1.0,10.0
12067,262.5773,4.720457,578400.0,63.0,Eu,I,0.0,3.5,4.720409,3.5,PGK,1.0,8.0
12221,263.1619,4.709969999999999,538800.0,63.0,Eu,I,0.0,3.5,4.709923000000001,4.5,PGK,1.0,10.0
12308,263.5498,4.7030389999999995,725700.0,63.01,Eu,II,0.0,4.0,4.702992,5.0,CB,2.0,11.0
12361,263.7114,4.700157,536500.0,63.0,Eu,I,0.0,3.5,4.70011,4.5,PGK,1.0,10.0
12399,263.8765,4.697216,44340000.0,63.01,Eu,II,0.206956,3.0,4.9041239999999995,4.0,CB,2.0,9.0
12457,264.1098,4.693068,475600.0,63.0,Eu,I,0.0,3.5,4.693021,3.5,PGK,1.0,8.0
12462,264.1267,4.692767,8687000.0,63.01,Eu,II,0.0,4.0,4.69272,5.0,CB,2.0,11.0
12530,264.382,4.688237,667300.0,63.0,Eu,I,0.0,3.5,4.6881900000000005,3.5,PGK,1.0,8.0
12910,265.9405,4.660762999999999,1283000.0,63.0,Eu,I,0.0,3.5,4.660716000000001,4.5,PGK,1.0,10.0
13153,266.8328,4.645178,25540000.0,63.01,Eu,II,0.206956,3.0,4.852087,4.0,CB,2.0,9.0
13411,267.828,4.627919,9861000.0,63.01,Eu,II,0.206956,3.0,4.834828,4.0,CB,2.0,9.0
13534,268.2588,4.620486,1357000.0,63.0,Eu,I,0.0,3.5,4.62044,2.5,PGK,1.0,6.0
13620,268.5657,4.615207,5909000.0,63.01,Eu,II,0.0,4.0,4.6151599999999995,4.0,CB,2.0,9.0
13778,269.2022,4.604295,27450000.0,63.01,Eu,II,0.206956,3.0,4.811204,3.0,CB,2.0,7.0
13804,269.2725,4.603093,440000.0,63.0,Eu,I,0.0,3.5,4.603047,4.5,PGK,1.0,10.0
13887,269.5068,4.599092,608900.0,63.0,Eu,I,0.0,3.5,4.5990459999999995,2.5,PGK,1.0,6.0
14059,270.112,4.588788,16460000.0,63.01,Eu,II,0.0,4.0,4.588742,4.0,CB,2.0,9.0
14083,270.1901,4.587461,15460000.0,63.01,Eu,II,0.0,4.0,4.587415,5.0,CB,2.0,11.0
14160,270.5265,4.581758,5562000.0,63.01,Eu,II,0.0,4.0,4.5817120000000005,4.0,CB,2.0,9.0
14288,270.9986,4.5737760000000005,14520000.0,63.0,Eu,I,0.0,3.5,4.57373,4.5,PGK,1.0,10.0
14460,271.6996,4.5619760000000005,32400000.0,63.01,Eu,II,0.206956,3.0,4.768886,3.0,CB,2.0,7.0
14659,272.396,4.550314,12570000.0,63.0,Eu,I,0.0,3.5,4.550268,3.5,PGK,1.0,8.0
