,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
379,202.6844,6.115197,162300000.0,44.01,Ru,II,0.188878,3.5,6.304014,4.5,GUES,2.0,10.0
644,204.9116,6.048741000000001,793800000.0,44.01,Ru,II,1.051064,1.5,7.099744,0.5,GUES,2.0,2.0
924,207.4578,5.974511,387200000.0,44.01,Ru,II,1.051064,1.5,7.0255149999999995,1.5,GUES,2.0,4.0
945,207.6441,5.9691529999999995,17990000.0,44.0,Ru,I,0.0,5.0,5.969093,4.0,CB',1.0,9.0
1031,208.3781,5.948128,27660000.0,44.0,Ru,I,0.147621,4.0,6.095689,4.0,CB',1.0,9.0
1075,208.7459,5.93765,764900000.0,44.01,Ru,II,1.162153,0.5,7.099744,0.5,GUES,2.0,2.0
1352,210.7338,5.881646,250200000.0,44.01,Ru,II,1.0237,2.5,6.9052869999999995,2.5,GUES,2.0,6.0
1470,211.3889,5.86342,372900000.0,44.01,Ru,II,1.162153,0.5,7.0255149999999995,1.5,GUES,2.0,4.0
2603,219.2889,5.652211,231000000.0,44.01,Ru,II,1.051064,1.5,6.703218,2.5,GUES,2.0,6.0
2786,220.7314,5.615276000000001,342000000.0,44.01,Ru,II,1.162153,0.5,6.777373,1.5,GUES,2.0,4.0
2948,221.8563,5.586809,169300000.0,44.01,Ru,II,1.0237,2.5,6.610453,3.5,GUES,2.0,8.0
3478,225.5527,5.495259,12760000.0,44.0,Ru,I,0.0,5.0,5.495204,5.0,CB',1.0,11.0
3550,225.952,5.485549,6786000.0,44.0,Ru,I,0.0,5.0,5.485494,4.0,CB',1.0,9.0
3758,227.2097,5.455186,13090000.0,44.0,Ru,I,0.0,5.0,5.455131,6.0,CB',1.0,13.0
3867,227.82,5.440575,11060000.0,44.0,Ru,I,0.147621,4.0,5.588141,3.0,CB',1.0,7.0
3978,228.5385,5.423472,3669000.0,44.0,Ru,I,0.0,5.0,5.423417,5.0,CB',1.0,11.0
4257,230.2538,5.383072,13340000.0,44.0,Ru,I,0.147621,4.0,5.530639,4.0,CB',1.0,9.0
4508,231.7797,5.347637000000001,18720000.0,44.0,Ru,I,0.147621,4.0,5.495204,5.0,CB',1.0,11.0
4600,232.2013,5.337927,6885000.0,44.0,Ru,I,0.147621,4.0,5.485494,4.0,CB',1.0,9.0
4807,233.3916,5.310706,305900000.0,44.01,Ru,II,1.345452,2.5,6.656103999999999,1.5,GUES,2.0,4.0
4843,233.4985,5.308275,267500000.0,44.01,Ru,II,1.258514,3.5,6.566736,4.5,CB,2.0,10.0
4932,234.0695,5.295328,20900000.0,44.0,Ru,I,0.259318,3.0,5.5545919999999995,3.0,CB',1.0,7.0
4967,234.2866,5.290422,769500000.0,44.01,Ru,II,1.258514,3.5,6.548883,2.5,CB,2.0,6.0
5093,234.9337,5.27585,8721000.0,44.0,Ru,I,0.147621,4.0,5.423417,5.0,CB',1.0,11.0
5117,235.1332,5.271374,23280000.0,44.0,Ru,I,0.259318,3.0,5.530639,4.0,CB',1.0,9.0
5250,235.792,5.256648,485000000.0,44.01,Ru,II,1.134641,4.5,6.391237,3.5,CB,2.0,8.0
5264,235.8799,5.254689,299500000.0,44.01,Ru,II,1.401468,1.5,6.656103999999999,1.5,GUES,2.0,4.0
5305,236.0551,5.25079,14550000.0,44.0,Ru,I,0.259318,3.0,5.510055,3.0,CB',1.0,7.0
5486,237.0171,5.229478,30570000.0,44.0,Ru,I,0.336399,2.0,5.565824,2.0,CB',1.0,5.0
5606,237.5273,5.218246,32160000.0,44.0,Ru,I,0.336399,2.0,5.5545919999999995,3.0,CB',1.0,7.0
5615,237.5644,5.2174309999999995,741700000.0,44.01,Ru,II,1.438725,0.5,6.656103999999999,1.5,CB,2.0,4.0
5749,238.2013,5.203483,195800000.0,44.01,Ru,II,1.345452,2.5,6.548883,2.5,GUES,2.0,6.0
5946,239.2422,5.1808440000000004,38660000.0,44.0,Ru,I,0.38503200000000004,1.0,5.565824,2.0,CB',1.0,5.0
6029,239.6719,5.171557,372900000.0,44.01,Ru,II,1.134641,4.5,6.306146,3.5,CB,2.0,8.0
6046,239.7708,5.169423999999999,115900000.0,44.01,Ru,II,1.134641,4.5,6.304014,4.5,GUES,2.0,10.0
6287,240.7937,5.1474660000000005,1128000000.0,44.01,Ru,II,1.401468,1.5,6.548883,2.5,CB,2.0,6.0
6436,241.483,5.1327739999999995,278600000.0,44.01,Ru,II,1.258514,3.5,6.391237,3.5,CB,2.0,8.0
6800,242.9588,5.101599,28740000.0,44.0,Ru,I,1.063217,3.0,6.164765,4.0,CB',1.0,9.0
6890,243.2926,5.094599,36020000.0,44.0,Ru,I,0.81148,4.0,5.906028,3.0,CB',1.0,7.0
7219,244.7442,5.064386,84980000.0,44.0,Ru,I,1.1769040000000002,0.0,6.241239,1.0,CB',1.0,3.0
7292,245.0581,5.057898000000001,19510000.0,44.0,Ru,I,0.81148,4.0,5.869328,3.0,CB',1.0,7.0
7389,245.492,5.048959,54790000.0,44.0,Ru,I,0.99729,2.0,6.046198,3.0,CB',1.0,7.0
7404,245.5541,5.047683,1290000000.0,44.01,Ru,II,1.258514,3.5,6.306146,3.5,CB,2.0,8.0
7420,245.644,5.045835,1122000000.0,44.01,Ru,II,1.345452,2.5,6.391237,3.5,CB,2.0,8.0
7461,245.8621,5.041361,37000000.0,44.0,Ru,I,0.927782,4.0,5.969093,4.0,CB',1.0,9.0
7572,246.2938,5.032523,39510000.0,44.0,Ru,I,1.063217,3.0,6.095689,4.0,CB',1.0,9.0
7612,246.4698,5.02893,159700000.0,44.0,Ru,I,0.99729,2.0,6.02617,1.0,CB',1.0,3.0
7745,247.0537,5.017046,273000000.0,44.01,Ru,II,1.345452,2.5,6.362447,1.5,GUES,2.0,4.0
7827,247.403,5.009963,48760000.0,44.0,Ru,I,1.192764,1.0,6.202676,2.0,CB',1.0,5.0
7858,247.5402,5.007187,77890000.0,44.0,Ru,I,0.927782,4.0,5.934919,3.0,CB',1.0,7.0
7897,247.6867,5.004226,79610000.0,44.0,Ru,I,0.99729,2.0,6.001466000000001,3.0,CB',1.0,7.0
7999,248.1096,4.995696,122600000.0,44.01,Ru,II,3.5978480000000004,5.5,8.593494,6.5,MC,2.0,14.0
8212,248.9909,4.978014,13400000.0,44.0,Ru,I,0.81148,4.0,5.789445,4.0,CB',1.0,9.0
8264,249.1757,4.974323,17610000.0,44.0,Ru,I,1.1386290000000001,2.0,6.112902,3.0,CB',1.0,7.0
8309,249.3679,4.970489,278000000.0,44.01,Ru,II,3.237165,5.5,8.207605000000001,6.5,MC,2.0,14.0
8319,249.4022,4.969805,76730000.0,44.0,Ru,I,1.1230040000000001,2.0,6.09276,3.0,CB',1.0,7.0
8329,249.4494,4.968865,1244000000.0,44.01,Ru,II,1.401468,1.5,6.370283000000001,0.5,MC,2.0,2.0
8355,249.5684,4.966497,429800000.0,44.01,Ru,II,3.4150949999999995,4.5,8.381542999999999,5.5,MC,2.0,12.0
8385,249.6561,4.964751000000001,42080000.0,44.0,Ru,I,0.927782,4.0,5.892484,3.0,CB',1.0,7.0
8436,249.8435,4.961029,1934000000.0,44.01,Ru,II,1.401468,1.5,6.362447,1.5,MC,2.0,4.0
8438,249.8578,4.960744,966900000.0,44.01,Ru,II,1.345452,2.5,6.306146,3.5,MC,2.0,8.0
8488,250.0833,4.956272,67700000.0,44.0,Ru,I,1.124906,1.0,6.081129,1.0,CB',1.0,3.0
8507,250.1475,4.955,93000000.0,44.0,Ru,I,1.124906,1.0,6.0798559999999995,2.0,CB',1.0,5.0
8518,250.1889,4.95418,51550000.0,44.0,Ru,I,1.1386290000000001,2.0,6.09276,3.0,CB',1.0,7.0
8710,250.8261,4.9415949999999995,81290000.0,44.0,Ru,I,0.927782,4.0,5.869328,3.0,CB',1.0,7.0
8726,250.907,4.940002,699600000.0,44.0,Ru,I,1.130814,4.0,6.070766000000001,0.0,CB',1.0,1.0
8829,251.2802,4.932665,79150000.0,44.0,Ru,I,1.0023030000000002,3.0,5.934919,3.0,CB',1.0,7.0
8844,251.3341,4.931608,3064000000.0,44.01,Ru,II,1.438725,0.5,6.370283000000001,0.5,MC,2.0,2.0
8894,251.5281,4.927805,45460000.0,44.0,Ru,I,0.99729,2.0,5.925046,3.0,CB',1.0,7.0
8943,251.7341,4.9237720000000005,1534000000.0,44.01,Ru,II,1.438725,0.5,6.362447,1.5,MC,2.0,4.0
8957,251.7611,4.923244,47510000.0,44.0,Ru,I,1.1230040000000001,2.0,6.046198,3.0,CB',1.0,7.0
9091,252.1612,4.915433999999999,47360000.0,44.0,Ru,I,1.130814,4.0,6.046198,3.0,CB',1.0,7.0
9211,252.5171,4.908505,29530000.0,44.0,Ru,I,1.063217,3.0,5.971673,2.0,CB',1.0,5.0
9260,252.6824,4.9052940000000005,43010000.0,44.0,Ru,I,0.927782,4.0,5.833028,3.0,CB',1.0,7.0
9317,252.8877,4.901313,107400000.0,44.0,Ru,I,1.124906,1.0,6.02617,1.0,CB',1.0,3.0
9358,253.0652,4.897876,51100000.0,44.0,Ru,I,0.99729,2.0,5.895118,2.0,CB',1.0,5.0
9427,253.3225,4.892901,26390000.0,44.0,Ru,I,0.927782,4.0,5.820634,3.0,CB',1.0,7.0
9496,253.5597,4.888324,1150000000.0,44.01,Ru,II,3.336588,2.5,8.224864,3.5,MC,2.0,8.0
