,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
3,200.0492,6.195741,1689000.0,22.01,Ti,II,4.008748000000001,2.5,10.204426,1.5,K88,2.0,4.0
77,200.6634,6.176779,16740000.0,22.01,Ti,II,4.008748000000001,2.5,10.185464,3.5,K88,2.0,8.0
90,200.7332,6.174631,745600.0,22.01,Ti,II,4.008748000000001,2.5,10.183317,3.5,K88,2.0,8.0
97,200.778,6.173254,10500000.0,22.01,Ti,II,4.0016300000000005,1.5,10.174821000000001,1.5,K88,2.0,4.0
112,200.8652,6.170573,4159000.0,22.01,Ti,II,4.0016300000000005,1.5,10.172141,0.5,K88,2.0,2.0
121,200.9578,6.167733,512400.0,22.01,Ti,II,4.0016300000000005,1.5,10.1693,1.5,K88,2.0,4.0
126,201.0078,6.166196,1877000.0,22.01,Ti,II,4.0016300000000005,1.5,10.167764,0.5,K88,2.0,2.0
127,201.0098,6.166136,2417000.0,22.01,Ti,II,4.008748000000001,2.5,10.174821000000001,1.5,K88,2.0,4.0
132,201.0552,6.164743,17340000.0,22.01,Ti,II,4.0016300000000005,1.5,10.166311,2.5,K88,2.0,6.0
151,201.19,6.160615,766600.0,22.01,Ti,II,4.008748000000001,2.5,10.1693,1.5,K88,2.0,4.0
155,201.2068,6.160099,17310000.0,22.01,Ti,II,3.094773,1.5,9.25481,2.5,K88,2.0,6.0
166,201.2721,6.1581,456200.0,22.01,Ti,II,4.0016300000000005,1.5,10.159668,2.5,K88,2.0,6.0
171,201.2877,6.157625,966200.0,22.01,Ti,II,4.008748000000001,2.5,10.166311,2.5,K88,2.0,6.0
174,201.3209,6.15661,2426000.0,22.01,Ti,II,2.59767,2.5,8.754218,2.5,K88,2.0,6.0
201,201.5051,6.150982,2095000.0,22.01,Ti,II,4.008748000000001,2.5,10.159668,2.5,K88,2.0,6.0
212,201.5788,6.148733,3341000.0,22.01,Ti,II,4.0016300000000005,1.5,10.150300999999999,1.5,K88,2.0,4.0
222,201.6284,6.147222,3182000.0,22.01,Ti,II,4.008748000000001,2.5,10.155908,3.5,K88,2.0,8.0
246,201.8264,6.141192,624900.0,22.01,Ti,II,4.0016300000000005,1.5,10.14276,1.5,K88,2.0,4.0
249,201.8404,6.140765,1161000.0,22.01,Ti,II,4.008748000000001,2.5,10.149451,3.5,K88,2.0,8.0
255,201.8941,6.139133,441100.0,22.01,Ti,II,1.224063,0.5,7.363134,1.5,K88,2.0,4.0
259,201.9173,6.138426,1408000.0,22.01,Ti,II,1.231249,1.5,7.369613,0.5,K88,2.0,2.0
262,201.9605,6.137112999999999,5691000.0,22.01,Ti,II,4.0016300000000005,1.5,10.138681,2.5,K88,2.0,6.0
283,202.102,6.132818,1913000.0,22.01,Ti,II,1.236856,1.5,7.369613,0.5,K88,2.0,2.0
296,202.1499,6.131364,190700000.0,22.01,Ti,II,3.123508,2.5,9.25481,2.5,K88,2.0,6.0
299,202.164,6.130937,826600.0,22.01,Ti,II,4.0016300000000005,1.5,10.132506,2.5,K88,2.0,6.0
330,202.2917,6.127068,52100000.0,22.01,Ti,II,3.094773,1.5,9.22178,1.5,K88,2.0,4.0
333,202.3158,6.126339,533000.0,22.01,Ti,II,1.236856,1.5,7.363134,1.5,K88,2.0,4.0
359,202.5158,6.120287,2558000.0,22.01,Ti,II,1.242908,2.5,7.363134,1.5,K88,2.0,4.0
365,202.5563,6.119063,737300.0,22.01,Ti,II,4.008748000000001,2.5,10.12775,3.5,K88,2.0,8.0
390,202.7954,6.111851000000001,396900.0,22.01,Ti,II,4.008748000000001,2.5,10.120536999999999,3.5,K88,2.0,8.0
448,203.245,6.098333,669500000.0,22.01,Ti,II,3.123508,2.5,9.22178,1.5,K88,2.0,4.0
557,204.062,6.073919999999999,203800000.0,22.01,Ti,II,3.094773,1.5,9.168633,1.5,K88,2.0,4.0
566,204.0986,6.072831,436600.0,22.0,Ti,I,0.021093999999999998,3.0,6.093864,3.0,K,1.0,7.0
571,204.1165,6.072299,1297000.0,22.01,Ti,II,4.282818,3.5,10.355056,3.5,K88,2.0,8.0
573,204.1473,6.071383,32880000.0,22.01,Ti,II,0.573871,2.5,6.645192999999999,1.5,K88,2.0,4.0
589,204.3109,6.066523,822800.0,22.0,Ti,I,0.021093999999999998,3.0,6.087556,2.0,K,1.0,5.0
591,204.324,6.066134,3468000.0,22.01,Ti,II,0.573871,2.5,6.639944,2.5,K88,2.0,6.0
656,204.9752,6.046864,46490000.0,22.01,Ti,II,4.3082519999999995,4.5,10.355056,3.5,K88,2.0,8.0
659,205.0059,6.045958000000001,2276000.0,22.0,Ti,I,0.047966,4.0,6.093864,3.0,K,1.0,7.0
660,205.0321,6.045185,6717000.0,22.01,Ti,II,3.123508,2.5,9.168633,1.5,K88,2.0,4.0
677,205.1426,6.041931,3167000.0,22.01,Ti,II,2.590236,3.5,8.632106,2.5,K88,2.0,6.0
691,205.2661,6.038296,437600.0,22.01,Ti,II,4.282818,3.5,10.321053,2.5,K88,2.0,6.0
705,205.3953,6.034497,293400.0,22.01,Ti,II,2.59767,2.5,8.632106,2.5,K88,2.0,6.0
707,205.4131,6.0339730000000005,717100000.0,22.01,Ti,II,3.094773,1.5,9.128686,0.5,K88,2.0,2.0
713,205.454,6.032773000000001,31280000.0,22.01,Ti,II,0.6072310000000001,3.5,6.639944,2.5,K88,2.0,6.0
729,205.6621,6.026669,279500000.0,22.01,Ti,II,3.123508,2.5,9.150117,3.5,K88,2.0,8.0
