element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ca	3	"200.0895"	"0.0008"	"200.08954"	"0.00024"	"1400"	"2.6e+08"	B	"34.544603"	"40.739032"	"3s2.3p5.4p"	"3D"	"1"	"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	3	3		"u33"	"L262"	
Ca	3	"200.1402"	"0.0008"	"200.1404"	"0.0004"	"1100"	"4.9e+06"	C	"28.197988"	"34.390844"	"3s2.3p5.3d"	"3D*"	"1"	"3s2.3p5.4p"	"3D"	"2"	3	5		"T7942"	"L262"	
Ca	3	"200.2987"	"0.0008"	"200.2986"	"0.0004"	"1100"	"3.0e+08"	B	"34.856862"	"41.044828"	"3s2.3p5.4p"	"1P"	"1"	"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	3	1		"u33"	"L262"	
Ca	3	"201.4103"	"0.0008"	"201.4104"	"0.0005"	"1000"	"3.2e+06"	C	"28.192588"	"34.346400"	"3s2.3p5.3d"	"3D*"	"2"	"3s2.3p5.4p"	"3D"	"3"	5	7		"T7942"	"L262"	
Ca	3	"201.8697"	"0.0008"	"201.86956"	"0.00024"	"1300"	"3.5e+08"	B	"34.948944"	"41.088760"	"3s2.3p5.4p"	"3P"	"2"	"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	5	3		"u33"	"L262"	
Ca	3	"202.6050"	"0.0008"	"202.60553"	"0.00025"	"1000"	"2.16e+08"	B	"34.544603"	"40.662119"	"3s2.3p5.4p"	"3D"	"1"	"3s2.3p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"	3	3		"u33"	"L262"	
Ca	3	"202.6589"	"0.0008"	"202.65914"	"0.00025"	"470"	"3.6e+07"	C	"34.972861"	"41.088760"	"3s2.3p5.4p"	"3P"	"0"	"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	1	3		"u33"	"L262"	
Ca	3	"202.7667"	"0.0008"	"202.76681"	"0.00021"	"470"	"9.9e+06"	C	"34.544603"	"40.657254"	"3s2.3p5.4p"	"3D"	"1"	"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	3	5		"u33"	"L262"	
Ca	3	"203.3358"	"0.0008"	"203.3358"	"0.0003"	"1700"	"1.51e+08"	B	"34.346400"	"40.441949"	"3s2.3p5.4p"	"3D"	"3"	"3s2.3p5.(2P*<3/2>).4d"	"2[5/2]*"	"3"	7	7		"u33"	"L262"	
Ca	3	"204.1538"	"0.0008"	"204.1540"	"0.0005"	"1700"	"2.6e+07"	C	"28.319721"	"34.390844"	"3s2.3p5.3d"	"1F*"	"3"	"3s2.3p5.4p"	"3D"	"2"	7	5		"T7942"	"L262"	
Ca	3	"204.5803"	"0.0008"	"204.57991"	"0.00025"	"1300"	"1.84e+08"	B	"34.683563"	"40.742048"	"3s2.3p5.4p"	"1D"	"2"	"3s2.3p5.(2P*<1/2>).4d"	"2[3/2]*"	"2"	5	5		"u33"	"L262"	
Ca	3	"204.6819"	"0.0008"	"204.68184"	"0.00025"	"1000"	"1.45e+08"	B	"34.683563"	"40.739032"	"3s2.3p5.4p"	"1D"	"2"	"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	5	3		"u33"	"L262"	
Ca	3	"204.7193"	"0.0008"	"204.71906"	"0.00021"	"700"	"8.9e+07"	B	"35.034392"	"41.088760"	"3s2.3p5.4p"	"3P"	"1"	"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	3	3		"u33"	"L262"	
Ca	3	"205.6595"	"0.0008"	"205.6597"	"0.0005"	"1000"	"3.6e+06"	C	"28.319721"	"34.346400"	"3s2.3p5.3d"	"1F*"	"3"	"3s2.3p5.4p"	"3D"	"3"	7	7		"T7942"	"L262"	
Ca	3	"206.2155"	"0.0008"	"206.2156"	"0.0003"	"700"	"2.35e+08"	B	"35.034392"	"41.044828"	"3s2.3p5.4p"	"3P"	"1"	"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	3	1		"u33"	"L262"	
Ca	3	"206.3524"	"0.0008"	"206.3525"	"0.0003"	"600"	"1.6e+07"	C	"34.346400"	"40.352848"	"3s2.3p5.4p"	"3D"	"3"	"3s2.3p5.(2P*<3/2>).4d"	"2[5/2]*"	"2"	7	5		"u33"	"L262"	
