element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fe	3	"200.0046"	"0.0005"	"200.00470"	"0.00020"	"44000"	"2.3e+08"	C	"11.121102"	"17.318159"	"3d5.(a 2G).4s"	"3G"	"3"	"3d5.(4F).4p"	"3G*"	"3"	7	7		"u45"	"L11223"	
Fe	2	"200.037731"	"0.000011"	"200.037732"	"0.000010"	"80000"	"9.5e+07"	C+	"2.52186911"	"8.7179023"	"3d7"	"a 2H"	"11/2"	"3d6.(3G).4p"	"x 2G*"	"9/2"	12	10		"T6892c83"	"L18349c139"	
Fe	3	"200.0593"	"0.0010"	"200.05886"	"0.00024"	"18000*"	"3.5e+06"	D	"9.141113"	"15.336492"	"3d5.(4P).4s"	"3P"	"2"	"3d5.(4D).4p"	"5P*"	"2"	5	5		"T6105"	"L11223"	
Fe	2	"200.09046"	"0.00004"	"200.090426"	"0.000010"	"1400"	"6.e+06"	D	"7.12826481"	"13.3226665"	"3d5.4s2"	"d 4P"	"3/2"	"3d5.(2D3).4s.4p.(3P*)"	"4D*"	"1/2"	4	2		"T6892c83"	"L18349c139"	
Fe	3	"200.1160"	"0.0005"	"200.11662"	"0.00024"	"44000"	"6.e+07"	D	"8.240615"	"14.434206"	"3d5.(4P).4s"	"5P"	"3"	"3d5.(4P).4p"	"5D*"	"2"	7	5		"u44"	"L11223"	
Fe	3	"200.1372"	"0.0005"	"200.13638"	"0.00016"	"18000"	"9.e+07"	D+	"10.767674"	"16.960654"	"3d5.(a 2D).4s"	"1D"	"2"	"3d5.(a 2F).4p"	"3F*"	"3"	5	7		"u45"	"L11223"	
Fe	3	"200.1490"	"0.0005"	"200.14880"	"0.00020"	"18000"	"4.5e+07"	D	"10.767674"	"16.960270"	"3d5.(a 2D).4s"	"1D"	"2"	"3d5.(a 2F).4p"	"3F*"	"2"	5	5		"u45"	"L11223"	
Fe	3	"200.1828"	"0.0005"	"200.18307"	"0.00024"	"59000"	"1.6e+08"	C+	"11.147182"	"17.338718"	"3d5.(a 2G).4s"	"3G"	"5"	"3d5.(2H).4p"	"3I*"	"6"	11	13		"u45"	"L11223"	
Fe	3	"200.2477"	"0.0005"	"200.2475"	"0.0003"	"44000"	"4.2e+08"	C+	"13.585070"	"19.774614"	"3d5.(b 2D).4s"	"1D"	"2"	"3d5.(b 2D).4p"	"1F*"	"3"	5	7		"u44"	"L11223"	
Fe	3	"200.2601"	"0.0005"	"200.25932"	"0.00016"	"33000"	"5.5e+07"	D+	"11.147182"	"17.336361"	"3d5.(a 2G).4s"	"3G"	"5"	"3d5.(a 2G).4p"	"1G*"	"4"	11	9		"T6105"	"L11223"	
