element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Re	3	"200.00225"	"0.00090"	"200.0035"	"0.0004"	"64"	"6.67e+07"		"5.792319"	"11.989412"	"5d4.(3D).6s"	"4D"	"7/2"	"5d4.6p"	"96701*"	"5/2"	8	6		"T9867"	"L20378"	
Re	3	"200.06640"	"0.00090"	"200.0673"	"0.0004"	"64"	"3.63e+07"		"5.281794"	"11.476911"	""	"42600"	"5/2"	"5d4.6p"	"92567*"	"7/2"	6	8		"T9867"	"L20378"	
Re	4	"200.12291"	"0.00090"	"200.1221"	"0.0004"	"31"	"3.29e+07"		"7.825864"	"14.019285"	"5d3.(4F).6s"	"3F     "	"3"	"5d3.6p"	"113073*"	"3"	7	7		"T9813"	"L20111"	
Re	3	"200.13385"	"0.00090"	"200.1343"	"0.0005"	"26"	"4.50e+07"		"5.940114"	"12.133158"	"5d4.6s"	"47910"	"5/2"	"5d4.6p"	"97860*"	"5/2"	6	6		"T9867"	"L20378"	
Re	3	"200.14631"	"0.00090"	"200.1462"	"0.0005"	"700"	"5.75e+07"		"2.280404"	"8.473079"	"5d5"	"18392"	"1/2"	"5d4.(5D).6p"	"6F*"	"3/2"	2	4		"T9867"	"L20378"	
Re	3	"200.32482"	"0.00090"	"200.3249"	"0.0004"	"96"	"2.88e+07"		"4.959442"	"11.146594"	""	"40000"	"5/2"	"5d4.6p"	"89903*"	"7/2"	6	8		"T9867"	"L20378"	
Re	3	"200.68663"	"0.00090"	"200.6872"	"0.0003"	"64"	"1.67e+07"		"4.294950"	"10.470934"	"5d4.(3H).6s"	"4H"	"7/2"	"5d4.6p"	"84453*"	"5/2"	8	6		"T9867"	"L20378"	
Re	3	"200.70033"	"0.00090"	"200.7012"	"0.0005"	"38"	"1.15e+08"		"5.838541"	"12.014095"	"5d4.(3D).6s"	"4D"	"3/2"	""	"96900*"	"1/2"	4	2		"T9867"	"L20378"	
Re	3	"200.92478"	"0.00090"	"200.9245"	"0.0004"	"43"	"6.50e+07"		"5.424355"	"11.593046"	""	"43750"	"7/2"	"5d4.6p"	"93504*"	"5/2"	8	6		"T9867"	"L20378"	
Re	3	"200.93586"	"0.00090"	"200.9358"	"0.0004"	"313"	"8.10e+07"		"4.578429"	"10.746774"	"5d5"	"2H"	"11/2"	"5d4.6p"	"86678*"	"9/2"	12	10		"T9867"	"L20378"	
Re	3	"201.12425"	"0.00090"	"201.1243"	"0.0004"	"483"	"7.92e+07"		"5.611096"	"11.773660"	"5d4.(3G).6s"	"4G"	"11/2"	"5d4.6p"	"94960*"	"11/2"	12	12		"T9867"	"L20378"	
Re	3	"201.29894"	"0.00090"	"201.2977"	"0.0004"	"31"	"5.00e+06"		"2.674203"	"8.831460"	"5d5"	"21568"	"5/2"	"5d4.(5D).6p"	"6F*"	"5/2"	6	6		"T9867"	"L20378"	
Re	3	"201.43374"	"0.00090"	"201.4337"	"0.0004"	"229"	"3.50e+07"		"4.317834"	"10.470934"	"5d4.6s"	"34825"	"3/2"	"5d4.6p"	"84453*"	"5/2"	4	6		"T9867"	"L20378"	
Re	3	"201.50598"	"0.00090"	"201.5067"	"0.0005"	"173"	"8.00e+07"		"5.838541"	"11.989412"	"5d4.(3D).6s"	"4D"	"3/2"	"5d4.6p"	"96701*"	"5/2"	4	6		"T9867"	"L20378"	
Re	3	"201.56827"	"0.00090"	"201.5686"	"0.0004"	"156"	"7.00e+07"		"5.936543"	"12.085526"	"5d4.(1I).6s"	"2I"	"11/2"	"5d4.6p"	"97476*"	"9/2"	12	10		"T9867"	"L20378"	
Re	4	"201.76056"	"0.00090"	"201.7610"	"0.0004"	"429"	"1.15e+08"		"7.329548"	"13.472667"	"5d3.(2H).6s"	"3H     "	"4"	"5d3.6p"	"108664*"	"5"	9	11		"T9813"	"L20111"	
Re	3	"201.82038"	"0.00090"	"201.8202"	"0.0005"	"53"	"8.00e+07"		"6.940100"	"13.081417"	""	"55975"	"9/2"	""	"105508*"	"11/2"	10	12		"T9867"	"L20378"	
Re	3	"201.93221"	"0.00090"	"201.9325"	"0.0004"	"309"	"5.88e+07"		"4.356803"	"10.494706"	"5d4.(3H).6s"	"4H"	"9/2"	"5d4.6p"	"84645*"	"7/2"	10	8		"T9867"	"L20378"	
Re	3	"202.08320"	"0.00090"	"202.0835"	"0.0004"	"53"	"1.50e+07"		"4.070761"	"10.204079"	"5d5"	"32832"	"7/2"	"5d4.6p"	"82301*"	"7/2"	8	8		"T9867"	"L20378"	
Re	4	"202.22661"	"0.00090"	"202.2262"	"0.0005"	"28"	"1.64e+07"		"8.676771"	"14.805762"	"5d3.(2H).6s"	"3H     "	"5"	"5d3.6p"	"119416*"	"5"	11	11		"T9813"	"L20111"	
Re	3	"202.33666"	"0.00090"	"202.3357"	"0.0004"	"23"	"3.13e+07"		"6.406135"	"12.531809"	"5d4.6s"	"51668"	"7/2"	""	"101075*"	"7/2"	8	8		"T9867"	"L20378"	
Re	3	"202.40077"	"0.00090"	"202.4004"	"0.0004"	"323"	"2.83e+07"		"4.804674"	"10.928389"	"5d4.6s"	"38752"	"7/2"	"5d4.6p"	"88143*"	"5/2"	8	6		"T9867"	"L20378"	
Re	3	"202.50609"	"0.00090"	"202.5060"	"0.0006"	"862"	"1.60e+08"		"2.220423"	"8.340946"	"5d4.(5D).6s"	"6D"	"3/2"	"5d4.6p"	"67274*"	"1/2"	4	2		"T9867"	"L20378"	
Re	3	"202.58130"	"0.00090"	"202.5815"	"0.0004"	"21"	"1.40e+07"		"5.742302"	"11.860543"	"5d4.(3H).6s"	"2H"	"9/2"	"5d4.6p"	"95661*"	"9/2"	10	10		"T9867"	"L20378"	
Re	3	"202.74365"	"0.00180"	"202.7418"	"0.0004"	"29"	"1.50e+07"		"4.792754"	"10.906158"	"5d4.6s"	"38656"	"3/2"	"5d4.6p"	"87964*"	"5/2"	4	6		"T9867"	"L20378"	
Re	3	"202.95756"	"0.00180"	"202.9561"	"0.0005"	"321*"	"1.70e+07"		"4.258779"	"10.365730"	""	"34349"	"7/2"	"5d4.6p"	"83605*"	"9/2"	8	10		"T9867"	"L20378"	
Re	3	"202.95756"	"0.00180"	"202.9578"	"0.0004"	"321*"	"2.70e+07"		"5.611096"	"11.717995"	"5d4.(3G).6s"	"4G"	"11/2"	"5d4.6p"	"94512*"	"9/2"	12	10		"T9867"	"L20378"	
Re	3	"203.13851"	"0.00090"	"203.1380"	"0.0004"	"52"	"7.17e+07"		"4.804674"	"10.906158"	"5d4.6s"	"38752"	"7/2"	"5d4.6p"	"87964*"	"5/2"	8	6		"T9867"	"L20378"	
Re	3	"203.38704"	"0.00090"	"203.3872"	"0.0004"	"242"	"7.33e+07"		"5.936543"	"12.030553"	"5d4.(1I).6s"	"2I"	"11/2"	"5d4.(3H).6p"	"4H*"	"11/2"	12	12		"T9867"	"L20378"	
Re	3	"203.47155"	"0.00090"	"203.4711"	"0.0004"	"26"	"7.63e+07"		"5.075291"	"11.166786"	"5d4.6s"	"40934"	"9/2"	"5d4.6p"	"90066*"	"7/2"	10	8		"T9867"	"L20378"	
Re	3	"203.49827"	"0.00180"	"203.4987"	"0.0005"	"480*"	"6.20e+07"		"4.070761"	"10.161431"	"5d5"	"32832"	"7/2"	"5d4.6p"	"81957*"	"9/2"	8	10		"T9867"	"L20378"	
Re	3	"203.49827"	"0.00180"	"203.4999"	"0.0005"	"480*"	"5.33e+07"		"2.740824"	"8.831460"	"5d4.(5D).6s"	"6D"	"7/2"	"5d4.(5D).6p"	"6F*"	"5/2"	8	6		"T9867"	"L20378"	
Re	3	"203.81727"	"0.00090"	"203.8168"	"0.0005"	"742"	"8.42e+07"		"4.578429"	"10.659596"	"5d5"	"2H"	"11/2"	"5d4.6p"	"85975*"	"11/2"	12	12		"T9867"	"L20378"	
Re	3	"204.14830"	"0.00090"	"204.1480"	"0.0004"	"313"	"7.88e+07"		"5.075291"	"11.146594"	"5d4.6s"	"40934"	"9/2"	"5d4.6p"	"89903*"	"7/2"	10	8		"T9867"	"L20378"	
Re	3	"204.17865"	"0.00090"	"204.1783"	"0.0005"	"23"	"3.25e+07"		"5.355085"	"11.425486"	""	"43191"	"5/2"	"5d4.6p"	"92152*"	"7/2"	6	8		"T9867"	"L20378"	
Re	3	"204.22300"	"0.00090"	"204.2234"	"0.0004"	"534"	"8.50e+07"		"5.097724"	"11.166786"	"5d4.6s"	"41115"	"7/2"	"5d4.6p"	"90066*"	"7/2"	8	8		"T9867"	"L20378"	
Re	3	"204.27636"	"0.00090"	"204.2768"	"0.0007"	"16"	"1.50e+07"		"1.955476"	"8.022949"	"5d5"	"15771"	"3/2"	"5d4.6p"	"64709*"	"1/2"	4	2		"T9867"	"L20378"	
Re	3	"204.29525"	"0.00090"	"204.2947"	"0.0005"	"44"	"5.25e+07"		"3.823146"	"9.890089"	"5d4.6s"	"30835"	"1/2"	"5d4.6p"	"79768*"	"3/2"	2	4		"T9867"	"L20378"	
Re	3	"204.37976"	"0.00090"	"204.3789"	"0.0005"	"96"	"8.75e+07"		"5.838541"	"11.902984"	"5d4.(3D).6s"	"4D"	"3/2"	"5d4.6p"	"96004*"	"3/2"	4	4		"T9867"	"L20378"	
Re	3	"204.40984"	"0.00090"	"204.4101"	"0.0004"	"45"	"3.50e+07"		"2.843797"	"8.907316"	"5d5"	"22936"	"3/2"	"5d4.6p"	"71842*"	"3/2"	4	4		"T9867"	"L20378"	
Re	3	"204.51036"	"0.00090"	"204.5105"	"0.0006"	"181"	"7.00e+07"		"2.280404"	"8.340946"	"5d5"	"18392"	"1/2"	"5d4.6p"	"67274*"	"1/2"	2	2		"T9867"	"L20378"	
Re	3	"204.61240"	"0.00090"	"204.6114"	"0.0006"	"596"	"2.78e+08"		"4.872610"	"10.930162"	"5d4.(3H).6s"	"4H"	"13/2"	"5d4.6p"	"88157*"	"13/2"	14	14		"T9867"	"L20378"	
Re	3	"204.80891"	"0.00090"	"204.8095"	"0.0005"	"29"	"1.58e+07"		"4.356803"	"10.408497"	"5d4.(3H).6s"	"4H"	"9/2"	"5d4.(5D).6p"	"6F*"	"11/2"	10	12		"T9867"	"L20378"	
Re	3	"204.90524"	"0.00090"	"204.9052"	"0.0004"	"22"	"5.63e+07"		"5.097724"	"11.146594"	"5d4.6s"	"41115"	"7/2"	"5d4.6p"	"89903*"	"7/2"	8	8		"T9867"	"L20378"	
Re	3	"205.22400"	"0.00090"	"205.2244"	"0.0004"	"21"	"5.00e+07"		"5.654675"	"11.694136"	""	"45608"	"7/2"	"5d4.6p"	"94319*"	"7/2"	8	8		"T9867"	"L20378"	
Re	3	"205.27774"	"0.00090"	"205.2786"	"0.0004"	"371"	"9.00e+07"		"5.424355"	"11.462223"	""	"43750"	"7/2"	"5d4.6p"	"92449*"	"9/2"	8	10		"T9867"	"L20378"	
Re	5	"205.28941"	"0.00090"	"205.2903"	"0.0021"	"16"	"5.00e+07"		"11.44705"	"17.48457"	"5d2.(3P).6s"	"2P"	"1/2"	"5d2.(3P).6p"	"4D*"	"1/2"	2	2		"T9811"	"L20109"	
Re	3	"205.33433"	"0.00090"	"205.3349"	"0.0005"	"32"	"3.00e+07"		"5.040576"	"11.076789"	"5d5"	"40654"	"5/2"	"5d4.6p"	"89340*"	"5/2"	6	6		"T9867"	"L20378"	
Re	3	"205.48428"	"0.00090"	"205.4843"	"0.0004"	"26"	"2.40e+07"		"5.828718"	"11.860543"	"5d4.6s"	"47011"	"9/2"	"5d4.6p"	"95661*"	"9/2"	10	10		"T9867"	"L20378"	
Re	3	"205.49925"	"0.00090"	"205.5002"	"0.0004"	"91"	"1.92e+07"		"5.742302"	"11.773660"	"5d4.(3H).6s"	"2H"	"9/2"	"5d4.6p"	"94960*"	"11/2"	10	12		"T9867"	"L20378"	
Re	3	"205.60532"	"0.00090"	"205.6060"	"0.0004"	"211"	"5.25e+07"		"2.444825"	"8.473079"	"5d4.(5D).6s"	"6D"	"5/2"	"5d4.(5D).6p"	"6F*"	"3/2"	6	4		"T9867"	"L20378"	
Re	4	"205.69777"	"0.00090"	"205.6977"	"0.0007"	"46"	"7.44e+07"		"10.355253"	"16.380820"	"5d3.(2F).6s"	"1F     "	"3"	"5d3.6p"	"132120*"	"4"	7	9		"T9813"	"L20111"	
Re	3	"205.75464"	"0.00090"	"205.7550"	"0.0004"	"194"	"5.71e+07"		"5.936543"	"11.960432"	"5d4.(1I).6s"	"2I"	"11/2"	"5d4.6p"	"96467*"	"13/2"	12	14		"T9867"	"L20378"	
Re	3	"205.81457"	"0.00090"	"205.8152"	"0.0004"	"118"	"1.00e+07"		"4.070761"	"10.092888"	"5d5"	"32832"	"7/2"	"5d4.6p"	"81404*"	"7/2"	8	8		"T9867"	"L20378"	
