g,LeveleV
1,0.00000000,
5,11.54835442,
3,11.62359272,
1,11.72316039,
3,11.82807116,
3,12.90701530,
7,13.07571571,
5,13.09487256,
3,13.15314387,
5,13.17177770,
1,13.27303810,
3,13.28263902,
5,13.30222747,
3,13.32785705,
1,13.47988682,
1,13.8450385,
3,13.8636686,
5,13.9034546,
9,13.9792373,
7,14.0127381,
5,14.0630272,
5,14.0682977,
3,14.0899685,
7,14.0990559,
3,14.1525151,
5,14.2136715,
5,14.2340226,
7,14.2361061,
1,14.2410277,
3,14.2550856,
3,14.3036684,
3,14.46399577,
7,14.49905364,
5,14.50606764,
3,14.52491330,
5,14.52891349,
1,14.57594878,
3,14.68065033,
3,14.68711824,
5,14.68829030,
1,14.6936397,
3,14.71089810,
1,14.73811536,
5,14.74254085,
9,14.7570516,
7,14.780512,
5,14.809272,
7,14.824298,
5,14.83881100,
3,14.84836899,
3,14.859230,
3,14.9014416,
5,14.9014911,
11,14.9037852,
9,14.9037902,
7,14.9065892,
5,14.9066280,
7,14.9090845,
9,14.9090892,
5,14.95260474,
5,14.95485204,
7,14.97152236,
3,15.00356588,
3,15.0106102,
1,15.0140655,
3,15.02208834,
7,15.0225909,
5,15.0258688,
3,15.0339719,
5,15.0356402,
1,15.0603901,
7,15.0830792,
9,15.0830844,
7,15.0832027,
5,15.0832456,
1,15.10054371,
3,15.11774638,
9,15.13054437,
5,15.13684847,
7,15.14592830,
5,15.1610486,
7,15.1669463,
5,15.18063359,
3,15.18550800,
3,15.1898239,
3,15.2006146,
3,15.2016576,
5,15.2048089,
3,15.2111334,
5,15.2111762,
11,15.2123201,
9,15.2123276,
7,15.2138409,
5,15.2138686,
5,15.214033,
7,15.214033,
11,15.214453,
13,15.214453,
7,15.2150709,
9,15.2150746,
7,15.215275,
9,15.215275,
9,15.215712,
11,15.215712,
1,15.2240875,
3,15.2713718,
7,15.2755699,
5,15.277418,
3,15.281661,
5,15.2824814,
5,15.29629325,
1,15.2977958,
3,15.30807770,
